name,email,country,language,city,instagram,phone,organization,type,notes
Greenpeace France,,FRA,fr,Paris,@greenpeace_france,,Greenpeace France,ngo,
WWF France,,FRA,fr,Paris,@wwffrance,,WWF France,ngo,
Réseau Action Climat,,FRA,fr,Paris,@reseauactionclimat,,Réseau Action Climat,ngo,
France Nature Environnement,,FRA,fr,Paris,@fne.asso,,France Nature Environnement,ngo,
LPO (Ligue pour la Protection des Oiseaux),,FRA,fr,Paris,@lpo_officiel,,LPO,ngo,
Les Amis de la Terre France,,FRA,fr,Paris,@amisdelaterrefrance,,Les Amis de la Terre France,ngo,
Alternatiba,,FRA,fr,Paris,@alternatiba_,,Alternatiba,activist,
ANV-COP21,,FRA,fr,Paris,@anvcop21,,Alternatiba/ANV-COP21,activist,
Notre Affaire à Tous,,FRA,fr,Paris,@notreaffaireatous,,Notre Affaire à Tous,ngo,
Extinction Rebellion France,,FRA,fr,Paris,@extinctionrebellionfrance,,Extinction Rebellion France,activist,
Reporterre,,FRA,fr,Paris,@reporterre_media,,Reporterre,journalist,Écologie media
"Vert, le média",,FRA,fr,Paris,@vert_le_media,,Vert.eco,journalist,
Sea Shepherd France,,FRA,fr,Paris,@seashepherdfrance,,Sea Shepherd France,ngo,
Zero Waste France,,FRA,fr,Paris,@zerowastefr,,Zero Waste France,ngo,
Surfrider Foundation Europe,,FRA,fr,Paris,@surfridereurope,,Surfrider Foundation Europe,ngo,
Extinction Rebellion Paris IDF,,FRA,fr,Paris,@extinctionrebellionparis,,XR Paris Île-de-France,activist,
Hugo Clément,,FRA,fr,Paris,@hugoclementk,,Vakita / France TV,journalist,
Greenpeace Volontaires Paris,,FRA,fr,Paris,@seashepherd.paris,,Sea Shepherd Paris Groupe local,activist,Local group
LPO Île-de-France,,FRA,fr,Paris,@lpo_idf,,LPO Île-de-France,ngo,
Zero Waste Paris,,FRA,fr,Paris,@zerowaste_paris,,Zero Waste Paris,ngo,
Notre Affaire du Siècle,,FRA,fr,Paris,@notreaffaireatous,,Coalition climatique,ngo,Duplicate handle to main account
Greenpeace Europe (EU),,FRA,fr,Paris,@greenpeaceeu,,Greenpeace EU,ngo,Brussels-based EU office
Fondation 1% for the Planet France,,FRA,fr,Paris,@1percentftp_france,,1% for the Planet France,ngo,
France Nature Environnement Jeunes,,FRA,fr,Paris,@fne.asso,,FNE,ngo,Uses main handle
Sea Shepherd Paris Groupe Local,,FRA,fr,Paris,@seashepherd.paris,,Sea Shepherd France,ngo,duplicate of local
Extinction Rebellion France Media,,FRA,fr,Paris,@extinctionrebellionfrance,,XR France,activist,
Les Amis de la Terre (Paris local),,FRA,fr,Paris,@amisdelaterrefrance,,Les Amis de la Terre,ngo,
Surfrider Paris (chapter),,FRA,fr,Paris,@surfridereurope,,Surfrider Europe,ngo,
Notre Affaire à Tous Jeunes,,FRA,fr,Paris,@notreaffaireatous,,NAAT,ngo,
Reporterre Journalistes,,FRA,fr,Paris,@reporterre_media,,Reporterre,journalist,
