name,email,country,language,city,instagram,phone,organization,type,notes
NRDC,,USA,en,New York,@nrdc_org,,Natural Resources Defense Council,ngo,
Earthjustice,,USA,en,New York,@earthjustice,,Earthjustice,ngo,Operates nationally
Inside Climate News,,USA,en,New York,@insideclimatenews,,Inside Climate News,journalist,
Columbia Climate School,,USA,en,New York,@columbiaclimate,,Columbia University,other,education
Riverkeeper,,USA,en,Ossining / New York,@riverkeeper,,Riverkeeper,ngo,Hudson River
WE ACT for Environmental Justice,,USA,en,New York,@weact4ej,,WE ACT,ngo,
NYC Environmental Justice Alliance,,USA,en,New York,@nyc_eja,,NYC-EJA,ngo,
NYC Mayor’s Office of Climate & Environmental Justice,,USA,en,New York,@nyclimate,,City of New York,other,city office
NYC Parks,,USA,en,New York,@nycparks,,NYC Parks,other,city parks
Hudson River Park,,USA,en,New York,@hudsonriverpark,,Hudson River Park Trust,other,city park
Environmental Defense Fund,,USA,en,New York,@envdefensefund,,EDF,ngo,
The Nature Conservancy NY,,USA,en,New York,@nature_ny,,The Nature Conservancy,ngo,
Waterkeeper Alliance,,USA,en,New York,@waterkeeper,,Waterkeeper Alliance,ngo,global HQ in NYC
Columbia Lamont-Doherty Earth Observatory,,USA,en,Palisades / New York,@lamontearthobs,,LDEO,other,research
New York League of Conservation Voters,,USA,en,New York,@nylcv,,NYLCV,ngo,
Earth Institute (Columbia),,USA,en,New York,@earthinstitute,,Columbia University,other,research
Solar One,,USA,en,New York,@solar1nyc,,Solar One,ngo,
GrowNYC,,USA,en,New York,@grownyc,,GrowNYC,ngo,
Regional Plan Association,,USA,en,New York,@regionalplan,,RPA,other,think tank
NYLCV Education Fund,,USA,en,New York,@nylcvedfund,,NYLCV,ngo,
WRI (New York presence),,USA,en,New York,@worldresources,,World Resources Institute,ngo,global
UN Environment Programme (NY),,USA,en,New York,@unep,,UNEP,ngo,UN
UNFCCC (NY content),,USA,en,New York,@unclimatechange,,UNFCCC,ngo,UN
NRDC Action,,USA,en,New York,@nrdc_action,,NRDC,activist,advocacy arm
Inside Climate News Energy,,USA,en,New York,@insideclimatenews,,ICN,journalist,
Columbia Climate Undergrad,,USA,en,New York,@columbiaclimate.undergrad,,Columbia Climate,other,education
NY State Parks,,USA,en,New York State,@nystateparks,,NY State Parks,other,state agency
Climate Justice Alliance,,USA,en,New York,@cjaourpower,,CJA,ngo,
The Guardian US,,USA,en,New York,@guardian_us,,The Guardian,journalist,
Reuters,,USA,en,New York,@reuters,,Reuters,journalist,global
