name,email,country,language,city,instagram,phone,organization,type,notes
Greenpeace UK,,GBR,en,London,@greenpeaceuk,,Greenpeace UK,ngo,
WWF UK,,GBR,en,London,@wwf_uk,,WWF UK,ngo,
Friends of the Earth,,GBR,en,London,@friends_earth,,Friends of the Earth,ngo,
RSPB,,GBR,en,London,@rspb_love_nature,,Royal Society for the Protection of Birds,ngo,
Marine Conservation Society,,GBR,en,London,@mcs_uk,,MCS UK,ngo,
ClientEarth,,GBR,en,London,@clientearth,,ClientEarth,ngo,
Carbon Brief,,GBR,en,London,@carbonbrief,,Carbon Brief,journalist,climate media
Chatham House,,GBR,en,London,@chathamhouse,,Chatham House,other,think tank
IISS,,GBR,en,London,@iissorg,,International Institute for Strategic Studies,other,think tank
The Guardian,,GBR,en,London,@guardian,,The Guardian,journalist,
BBC News,,GBR,en,London,@bbcnews,,BBC,journalist,
Financial Times (FT),,GBR,en,London,@financialtimes,,Financial Times,journalist,
FT Climate,,GBR,en,London,@ftclimate,,Financial Times,journalist,climate desk
Energy & Climate Intelligence Unit,,GBR,en,London,@eciunit,,ECIU,other,think tank
Carbon Tracker,,GBR,en,London,@carbontracker,,Carbon Tracker Initiative,other,think tank
Ember Climate,,GBR,en,London,@emberclimate,,Ember,other,think tank
InfluenceMap,,GBR,en,London,@influencemap,,InfluenceMap,other,think tank
Surfers Against Sewage,,GBR,en,London,@surfersagainstsewage,,SAS,ngo,
Green Alliance,,GBR,en,London,@greenallianceuk,,Green Alliance,other,think tank
London National Park City,,GBR,en,London,@lonnpc,,London National Park City,ngo,
The Wildlife Trusts,,GBR,en,London,@thewildlifetrusts,,The Wildlife Trusts,ngo,
ZSL (London Zoo),,GBR,en,London,@zsllondonzoo,,Zoological Society of London,ngo,
"Royal Botanic Gardens, Kew",,GBR,en,London,@kewgardens,,RBG Kew,ngo,
Met Office,,GBR,en,Exeter/London,@metoffice,,UK Met Office,other,agency
UK Climate Committee,,GBR,en,London,@thecccuk,,Climate Change Committee,other,advisory body
Defra,,GBR,en,London,@defrauk,,UK Department for Environment,other,government
Natural England,,GBR,en,London,@naturalengland,,Natural England,other,agency
London Wildlife Trust,,GBR,en,London,@ldn_wildlife,,London Wildlife Trust,ngo,
Greater London Authority Environment,,GBR,en,London,@ldnofficial,,GLA,other,city
Transport for London,,GBR,en,London,@transportforlondon,,TfL,other,transport
