name,email,country,language,city,instagram,phone,organization,type,notes
Sierra Club San Francisco Bay Chapter,,FRA,en,San,@sierraclub,,,ngo,Local chapter of national environmental NGO
350 Bay Area,,FRA,en,San,@350bayarea,,,ngo,Focuses on climate change action in Bay Area
Greenpeace USA,,FRA,en,San,@greenpeaceusa,,,ngo,National NGO with strong local presence
Earthjustice,,FRA,en,San,@earthjustice,,,ngo,Environmental law organization based in SF
Friends of the Urban Forest,,FRA,en,San,@fufsf,,,ngo,Promotes urban forestry in San Francisco
San Francisco Baykeeper,,FRA,en,San,@sfbaykeeper,,,ngo,Protects SF Bay from pollution
The Nature Conservancy California,,FRA,en,San,@nature_org,,,ngo,Conserves lands and waters in California
Rainforest Action Network,,FRA,en,San,@ran,,,ngo,Focuses on forest preservation and climate
California Academy of Sciences,,FRA,en,San,@calacademy,,,ngo,Promotes biodiversity and environmental education
Save The Bay,,FRA,en,San,@savesfbay,,,ngo,Protects and restores SF Bay ecosystems
Environmental Defense Fund,,FRA,en,San,@edf_earth,,,ngo,National NGO with SF office
WildAid,,FRA,en,San,@wildaid,,,ngo,Focuses on wildlife conservation and climate
Center for Biological Diversity,,FRA,en,San,@centerforbiodiv,,,ngo,Protects endangered species and habitats
Global Exchange,,FRA,en,San,@globalexchange,,,ngo,"Promotes social, economic, and environmental justice"
San Francisco Estuary Partnership,,FRA,en,San,@sfestuary,,,ngo,Focuses on estuary health and restoration
Climate Reality Project Bay Area,,FRA,en,San,@climatereality,,,ngo,Local chapter of climate action NGO
Bay Area Open Space Council,,FRA,en,San,@openspacecouncil,,,ngo,Promotes open space conservation in Bay Area
San Francisco Parks Alliance,,FRA,en,San,@sfparksalliance,,,ngo,Supports SF parks and public spaces
Golden Gate National Parks Conservancy,,FRA,en,San,@parksconservancy,,,ngo,Supports Golden Gate National Parks
San Francisco Green Film Festival,,FRA,en,San,@greenfilmfest,,,ngo,Focuses on environmental film and media
Urban Habitat,,FRA,en,San,@urbanhabitat,,,ngo,Advocates for social and environmental justice
Bay Area Air Quality Management District,,FRA,en,San,@airdistrict,,,ngo,Monitors and improves air quality in Bay Area
San Francisco Bicycle Coalition,,FRA,en,San,@sfbike,,,ngo,Advocates for bicycle-friendly policies in SF
San Francisco Public Utilities Commission,,FRA,en,San,@sfwater,,,ngo,"Manages SF's water, power, and sewer services"
San Francisco Department of the Environment,,FRA,en,San,@sfenvironment,,,ngo,Leads SF's environmental policies and programs
California Interfaith Power & Light,,FRA,en,San,@interfaithpower,,,ngo,Faith-based climate action network
San Francisco Climate Emergency Coalition,,FRA,en,San,@sfclimateemergency,,,ngo,Coalition addressing climate emergency in SF
San Francisco Bay Area Planning and Urban Research Association (SPUR),,FRA,en,San,@spur_urbanist,,,ngo,Focuses on urban planning and policy
San Francisco Zero Waste,,FRA,en,San,@sfzerowaste,,,ngo,Promotes zero waste initiatives in SF
San Francisco Green Party,,FRA,en,San,@sfgreenparty,,,ngo,Political party focused on environmental issues
San Francisco League of Conservation Voters,,FRA,en,San,@sflcv,,,ngo,Endorses pro-environment candidates in SF
San Francisco Urban Agriculture Alliance,,FRA,en,San,@sfuaa,,,ngo,Supports urban agriculture in SF
San Francisco Community Power,,FRA,en,San,@sfcommunitypower,,,ngo,Promotes renewable energy in SF communities
San Francisco Food Bank,,FRA,en,San,@sffoodbank,,,ngo,Addresses food insecurity and waste in SF
San Francisco Bay Area Water Emergency Transportation Authority,,FRA,en,San,@sfwateremergency,,,ngo,Manages water transportation in SF Bay Area
San Francisco Green Business Program,,FRA,en,San,@sfgreenbusiness,,,ngo,Certifies and supports green businesses in SF
San Francisco Clean City Coalition,,FRA,en,San,@sfcleancity,,,ngo,Promotes clean and green SF neighborhoods
San Francisco Transit Riders,,FRA,en,San,@sftransitriders,,,ngo,Advocates for public transit improvements in SF
San Francisco Green Schoolyard Alliance,,FRA,en,San,@sfgreenschoolyards,,,ngo,Promotes green schoolyards in SF
San Francisco Public Library Green Stacks,,FRA,en,San,@sfplgreenstacks,,,ngo,Environmental education through SF public libraries
San Francisco Green Drinks,,FRA,en,San,@sfgreendrinks,,,ngo,Networking for environmental professionals in SF
San Francisco Green Challenge,,FRA,en,San,@sfgreenchallenge,,,ngo,Encourages sustainable living practices in SF
San Francisco Green Festival,,FRA,en,San,@sfgreenfest,,,ngo,Annual event promoting sustainability in SF
Friends of the Earth,,FRA,en,San,@foe_us,,Friends of the Earth,ngo,Focus on environmental justice
Natural Resources Defense Council,,FRA,en,San,@nrdc_org,,NRDC,ngo,Environmental advocacy group
Pacific Environment,,FRA,en,San,@pacificenvironment,,Pacific Environment,ngo,Protects communities and wildlife of the Pacific Rim
The Ocean Cleanup,,FRA,en,San,@theoceancleanup,,The Ocean Cleanup,ngo,Removes plastic pollution from oceans
Bioneers,,FRA,en,San,@bioneers,,Bioneers,ngo,Innovative solutions for environmental challenges
The Pachamama Alliance,,FRA,en,San,@pachamamaorg,,The Pachamama Alliance,ngo,Empowers indigenous people and protects the Amazon
Earth Island Institute,,FRA,en,San,@earthislandinstitute,,Earth Island Institute,ngo,Supports environmental action projects
International Rivers,,FRA,en,San,@internationalrivers,,International Rivers,ngo,Protects rivers and defends rights of communities
Amazon Watch,,FRA,en,San,@amazonwatch,,Amazon Watch,ngo,Protects the rainforest and indigenous rights
