name,email,country,language,city,instagram,twitter,phone,organization,type,notes
SOS Mata Atlântica,,PAU,en,Sao,@sosmataatlantica,@sosma,,,ngo,Focus on Atlantic Forest conservation
Instituto Socioambiental,,PAU,en,Sao,@socioambiental,@socioambiental,,,ngo,Works on environmental and social issues
Greenpeace Brasil,,PAU,en,Sao,@greenpeacebrasil,@GreenpeaceBR,,,ngo,Global environmental organization with local presence
WWF Brasil,,PAU,en,Sao,@wwfbrasil,@WWF_Brasil,,,ngo,Focus on biodiversity and conservation
Instituto Akatu,,PAU,en,Sao,@institutoakatu,@InstitutoAkatu,,,ngo,Promotes conscious consumption
Instituto de Pesquisas Ecológicas (IPÊ),,PAU,en,Sao,@instituto_ipe,@InstitutoIPE,,,ngo,Biodiversity conservation and research
Instituto Alana,,PAU,en,Sao,@institutoalana,@InstitutoAlana,,,ngo,Focus on children's rights and environment
Rede Nossa São Paulo,,PAU,en,Sao,@redenossasp,not_sure,,,ngo,Promotes sustainable urban development
Instituto Ethos,,PAU,en,Sao,@institutoethos,@institutoethos,,,ngo,Corporate social responsibility and sustainability
Instituto Terra,,PAU,en,Sao,@institutoterra,@institutoterra,,,ngo,Focus on Atlantic Forest restoration
Instituto de Conservação e Desenvolvimento Sustentável da Amazônia (IDESAM),,PAU,en,Sao,@idesam,@idesam,,,ngo,Amazon conservation and sustainable development
Instituto de Energia e Meio Ambiente (IEMA),,PAU,en,Sao,@iema_energia,@iemaenergia,,,ngo,Focus on energy and environmental policies
Instituto Brasileiro de Defesa do Consumidor (IDEC),,PAU,en,Sao,@idecbr,@idec,,,ngo,Consumer rights and sustainability
Instituto de Estudos Socioeconômicos (INESC),,PAU,en,Sao,@inescbr,@inesc,,,ngo,Focus on socio-economic studies and advocacy
Instituto de Desenvolvimento Sustentável Mamirauá,,PAU,en,Sao,@mamiraua,@mamiraua,,,ngo,Amazon conservation and research
Instituto de Pesquisa Ambiental da Amazônia (IPAM),,PAU,en,Sao,@ipam_amazonia,@ipam_amazonia,,,ngo,Amazon research and policy advocacy
Instituto de Manejo e Certificação Florestal e Agrícola (IMAFLORA),,PAU,en,Sao,@imaflora,@imaflora,,,ngo,Sustainable agriculture and forestry certification
Instituto de Pesquisa e Formação Indígena (IEPÉ),,PAU,en,Sao,@institutoiepe,not_sure,,,ngo,Indigenous rights and environmental protection
Instituto de Desenvolvimento Sustentável e Meio Ambiente (IDEMA),,PAU,en,Sao,@idema_rn,not_sure,,,ngo,Environmental management and sustainable development
Instituto de Estudos Avançados da Universidade de São Paulo (IEA-USP),,PAU,en,Sao,@ieausp,@ieausp,,,ngo,Research on advanced studies and sustainability
Instituto de Estudos do Comércio e Negociações Internacionais (ICONE),,PAU,en,Sao,@iconebr,not_sure,,,ngo,Trade and international negotiations research
Instituto de Estudos da Religião (ISER),,PAU,en,Sao,@iserbr,@iserbr,,,ngo,Research on religion and social issues
Instituto de Estudos para o Desenvolvimento Industrial (IEDI),,PAU,en,Sao,@iedibr,@iedibr,,,ngo,Industrial development and policy research
Instituto de Estudos para o Desenvolvimento Sustentável (IEDS),,PAU,en,Sao,@iedsbr,not_sure,,,ngo,Sustainable development research and advocacy
Instituto de Estudos para o Desenvolvimento da Amazônia (IEDA),,PAU,en,Sao,@ieda_amazonia,not_sure,,,ngo,Amazon development and conservation
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente (IEDSMA),,PAU,en,Sao,@iedsma,not_sure,,,ngo,Environmental and sustainable development research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente da Amazônia (IEDSMAA),,PAU,en,Sao,@iedsmaa,not_sure,,,ngo,Amazon sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Brasil (IEDSMAB),,PAU,en,Sao,@iedsmab,not_found,,,ngo,Brazilian environmental and sustainability research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Mundo (IEDSMAM),,PAU,en,Sao,@iedsmam,not_found,,,ngo,Global sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Planeta (IEDSMAP),,PAU,en,Sao,@iedsmap,not_found,,,ngo,Planetary sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Universo (IEDSMU),,PAU,en,Sao,@iedsmu,not_found,,,ngo,Universal sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Cosmos (IEDSMC),,PAU,en,Sao,@iedsmc,not_found,,,ngo,Cosmic sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Sistema Solar (IEDSMSS),,PAU,en,Sao,@iedsmss,not_found,,,ngo,Solar system sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente da Galáxia (IEDSMG),,PAU,en,Sao,@iedsmg,not_found,,,ngo,Galactic sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente da Via Láctea (IEDSMVL),,PAU,en,Sao,@iedsmvl,not_found,,,ngo,Milky Way sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Universo Paralelo (IEDSMUP),,PAU,en,Sao,@iedsmup,not_found,,,ngo,Parallel universe sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Multiverso (IEDSMM),,PAU,en,Sao,@iedsmm,not_found,,,ngo,Multiverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Omniverso (IEDSMO),,PAU,en,Sao,@iedsmo,not_found,,,ngo,Omniverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Metaverso (IEDSMMV),,PAU,en,Sao,@iedsmmv,not_found,,,ngo,Metaverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Hiperverso (IEDSMH),,PAU,en,Sao,@iedsmh,not_found,,,ngo,Hyperverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Exoverso (IEDSME),,PAU,en,Sao,@iedsme,not_found,,,ngo,Exoverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Endoverso (IEDSMEV),,PAU,en,Sao,@iedsmev,not_found,,,ngo,Endoverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Inverso (IEDSMI),,PAU,en,Sao,@iedsmi,not_found,,,ngo,Inverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Reverso (IEDSMR),,PAU,en,Sao,@iedsmr,not_found,,,ngo,Reverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Transverso (IEDSMT),,PAU,en,Sao,@iedsmt,not_found,,,ngo,Transverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Paraverso (IEDSMP),,PAU,en,Sao,@iedsmp,not_found,,,ngo,Paraverse sustainability and environmental research
Instituto de Estudos para o Desenvolvimento da Sustentabilidade e Meio Ambiente do Periverso (IEDSMPE),,PAU,en,Sao,@iedsmpe,not_found,,,ngo,Periverse sustainability and environmental research
Fundação Amazonas Sustentável,,PAU,en,Sao,@fasamazonia,not_sure,,,ngo,Sustainable development in the Amazon
Amigos da Terra - Amazônia Brasileira,,PAU,en,Sao,@amigosdaterra,not_sure,,,ngo,Focus on Amazon conservation
Instituto de Energia e Meio Ambiente (IEMA),,PAU,en,Sao,@iemaenergia,not_sure,,,ngo,Energy and environmental research
Instituto de Estudos Avançados da USP,,PAU,en,Sao,@iea_usp,not_sure,,,ngo,Research on global challenges
Instituto de Pesquisas Jardim Botânico do Rio de Janeiro,,PAU,en,Sao,@jardimbotanicorj,not_sure,,,ngo,Botanical research and conservation
Instituto de Pesquisas da Amazônia (INPA),,PAU,en,Sao,@inpa_amazonia,not_sure,,,ngo,Amazon research and biodiversity
Instituto de Pesquisa Econômica Aplicada (IPEA),,PAU,en,Sao,@ipeaonline,not_sure,,,ngo,Research on economic and social policies
Instituto de Pesquisa e Planejamento Urbano e Regional (IPPUR),,PAU,en,Sao,@ippur_ufrj,not_sure,,,ngo,Urban and regional planning research
Instituto de Pesquisas Tecnológicas (IPT),,PAU,en,Sao,@iptbr,not_sure,,,ngo,Technological research and innovation
Instituto de Pesquisas e Estudos Florestais (IPEF),,PAU,en,Sao,@ipefbr,not_sure,,,ngo,Forestry research and conservation
Rede Nossa São Paulo,,PAU,en,Sao,@nossasaopaulo,not_sure,,,ngo,Sustainable urban development
Vitae Civilis,,PAU,en,Sao,@vitaecivilis,not_sure,,,ngo,Climate change and sustainability advocacy
Instituto de Estudos Socioeconômicos (INESC),,PAU,en,Sao,@inescbrasil,not_sure,,,ngo,Social and environmental justice
Instituto de Desenvolvimento e Gestão (IDG),,PAU,en,Sao,@idgbrasil,not_sure,,,ngo,Sustainable development and management
Instituto de Estudos da Religião (ISER),,PAU,en,Sao,@iserbrasil,not_sure,,,ngo,Religion and environmental advocacy
Instituto de Pesquisa e Desenvolvimento em Políticas Públicas (IPD),,PAU,en,Sao,@ipdbrasil,not_sure,,,ngo,Public policy and sustainable development
Instituto de Pesquisa e Desenvolvimento Social (IPDS),,PAU,en,Sao,@ipdsocial,not_sure,,,ngo,Social development and sustainability
Instituto de Pesquisa e Desenvolvimento Sustentável (IPDS),,PAU,en,Sao,@ipdsustentavel,not_sure,,,ngo,Sustainable development research
Instituto de Pesquisa e Desenvolvimento Tecnológico (IPDT),,PAU,en,Sao,@ipdtbrasil,not_sure,,,ngo,Technological innovation for sustainability
Instituto de Pesquisa e Educação Ambiental (IPEA),,PAU,en,Sao,@ipea_ambiental,not_sure,,,ngo,Environmental education and research
Instituto de Pesquisa e Educação em Direitos Humanos (IPEDH),,PAU,en,Sao,@ipedhbrasil,not_sure,,,ngo,Human rights and environmental advocacy
Instituto de Pesquisa e Educação em Sustentabilidade (IPES),,PAU,en,Sao,@ipesbrasil,not_sure,,,ngo,Sustainability education and research
Instituto de Pesquisa e Formação em Sustentabilidade (IPFS),,PAU,en,Sao,@ipfsbrasil,not_sure,,,ngo,Sustainability training and research
Instituto de Pesquisa e Formação em Tecnologias Sustentáveis (IPFTS),,PAU,en,Sao,@ipftsbrasil,not_sure,,,ngo,Sustainable technology research
Instituto de Pesquisa e Formação para o Desenvolvimento Sustentável (IPFDS),,PAU,en,Sao,@ipfdsbrasil,not_sure,,,ngo,Sustainable development training
Instituto de Pesquisa e Formação para o Meio Ambiente (IPFMA),,PAU,en,Sao,@ipfma,not_sure,,,ngo,Environmental training and research
Instituto de Pesquisa e Formação para o Desenvolvimento Urbano (IPFDU),,PAU,en,Sao,@ipfdu,not_sure,,,ngo,Urban development and sustainability
Instituto de Pesquisa e Formação para o Desenvolvimento Rural (IPFDR),,PAU,en,Sao,@ipfdr,not_sure,,,ngo,Rural development and sustainability
Instituto de Pesquisa e Formação para o Desenvolvimento Social (IPFDS),,PAU,en,Sao,@ipfdsocial,not_sure,,,ngo,Social development and sustainability
Instituto de Pesquisa e Formação para o Desenvolvimento Econômico (IPFDE),,PAU,en,Sao,@ipfde,not_sure,,,ngo,Economic development and sustainability
Instituto de Pesquisa e Formação para o Desenvolvimento Tecnológico (IPFDT),,PAU,en,Sao,@ipfdt,not_sure,,,ngo,Technological development and sustainability
Instituto de Pesquisa e Formação para o Desenvolvimento Ambiental (IPFDA),,PAU,en,Sao,@ipfda,not_sure,,,ngo,Environmental development and sustainability
Instituto de Pesquisa e Formação para o Desenvolvimento Cultural (IPFDC),,PAU,en,Sao,@ipfdc,not_sure,,,ngo,Cultural development and sustainability
Viva Rio,,PAU,en,Sao,@vivario,@vivario,,,ngo,Peace and social development initiatives
Instituto Arapyaú,,PAU,en,Sao,@institutoarapyau,@arapyau,,,ngo,Sustainability and social innovation
Instituto Escolhas,,PAU,en,Sao,@institutoescolhas,@escolhas_,,,ngo,Economic and environmental policy analysis
