name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace East Asia,,CHN,zh,Shanghai,@greenpeaceeastasia,@GreenpeaceEA,,Greenpeace,other,Environmental advocacy in East Asia
Shanghai Roots & Shoots,,CHN,zh,Shanghai,@rootsandshoots_sh,not_sure,,Roots & Shoots,other,Youth-led environmental projects
The Nature Conservancy China,,CHN,zh,Shanghai,@nature_org,@nature_org,,The Nature Conservancy,other,Conservation projects in China
Shanghai Environmental Protection Bureau,,CHN,zh,Shanghai,@shanghai_epb,not_sure,,Shanghai Government,other,Local environmental policies
Friends of Nature,,CHN,zh,Shanghai,@fonchina,not_sure,,Friends of Nature,other,Oldest environmental NGO in China
Shanghai Climate Exchange,,CHN,zh,Shanghai,@shanghaiclimate,not_sure,,Shanghai Climate Exchange,other,Carbon trading platform
Shanghai International Peace Research Institute,,CHN,zh,Shanghai,@shanghai_peace,not_sure,,SIPRI,other,Research on peace and conflict
Shanghai Green Building Council,,CHN,zh,Shanghai,@shgreenbuilding,not_sure,,Green Building Council,other,Promotes sustainable architecture
Shanghai Urban Planning and Design Research Institute,,CHN,zh,Shanghai,@shupdi,not_sure,,SUPDRI,other,Urban sustainability research
Shanghai Institute for International Studies,,CHN,zh,Shanghai,@siis_sh,not_sure,,SIIS,other,Geopolitical research institute
Shanghai Environmental Protection Foundation,,CHN,zh,Shanghai,@shanghai_epf,not_sure,,SEPF,other,Funds local environmental projects
Shanghai Biodiversity Conservation Center,,CHN,zh,Shanghai,@shanghai_bcc,not_sure,,SBCC,other,Biodiversity protection initiatives
Shanghai Climate Action Network,,CHN,zh,Shanghai,@shclimateaction,not_sure,,SCAN,other,Local climate action group
Shanghai Peace and Development Foundation,,CHN,zh,Shanghai,@shpeacefoundation,not_sure,,SPDF,other,Promotes peace and development
Shanghai Environmental Volunteers Association,,CHN,zh,Shanghai,@sh_env_volunteers,not_sure,,SEVA,other,Volunteer-driven environmental initiatives
Shanghai Institute of Ecology and Biodiversity,,CHN,zh,Shanghai,@sh_ecology,not_sure,,SIEB,other,Research on local ecosystems
Shanghai International Studies University - Green Society,,CHN,zh,Shanghai,@shisu_green,not_sure,,SISU,other,University environmental group
Shanghai Environmental Education Center,,CHN,zh,Shanghai,@sh_env_edu,not_sure,,SEEC,other,Environmental education programs
Shanghai Green Earth Volunteers,,CHN,zh,Shanghai,@shgreenearth,not_sure,,SGEV,other,Community environmental projects
Shanghai Peace Forum,,CHN,zh,Shanghai,@shpeaceforum,not_sure,,SPF,other,Annual peace conference
