name,email,country,language,city,instagram,twitter,phone,organization,type,notes
TreePeople,,ANG,en,Los,@treepeople_org,@TreePeople_org,,TreePeople,ngo,Urban forestry and watershed management in LA
Heal the Bay,,ANG,en,Los,@healthebay,@HealTheBay,,Heal the Bay,ngo,Protects Santa Monica Bay and local watersheds
Los Angeles Audubon Society,,ANG,en,Los,@losangelesaudubon,not_sure,,Los Angeles Audubon Society,ngo,Bird conservation and education in LA
California Native Plant Society - LA/Santa Monica Mountains Chapter,,ANG,en,Los,@cnpslasmm,not_sure,,California Native Plant Society,ngo,Promotes native plant conservation in LA
Surfrider Foundation Los Angeles,,ANG,en,Los,@surfriderla,not_sure,,Surfrider Foundation,ngo,Protects LA beaches and oceans
Friends of the Los Angeles River,,ANG,en,Los,@folarorg,@FoLARorg,,Friends of the Los Angeles River,ngo,Advocates for LA River restoration
Climate Resolve,,ANG,en,Los,@climateresolve,@ClimateResolve,,Climate Resolve,ngo,Focuses on climate change solutions in LA
Los Angeles Waterkeeper,,ANG,en,Los,@lawaterkeeper,@LAWATERKEEPER,,Los Angeles Waterkeeper,ngo,Protects LA waterways from pollution
The Bay Foundation,,ANG,en,Los,@thebayfoundation,not_sure,,The Bay Foundation,ngo,Restores and enhances Santa Monica Bay
Environmental Media Association,,ANG,en,Los,@green4ema,@green4ema,,Environmental Media Association,ngo,Promotes environmental awareness through media
Los Angeles Conservation Corps,,ANG,en,Los,@lacorps,@LACorps,,Los Angeles Conservation Corps,ngo,Youth job training in conservation projects
Sustainable Works,,ANG,en,Los,@sustainableworks,not_sure,,Sustainable Works,ngo,Environmental education and action in LA
Social Eco Education (SEE),,ANG,en,Los,@see_losangeles,not_sure,,Social Eco Education,ngo,Environmental education and advocacy in LA
Earth Island Institute,,ANG,en,Los,@earthislandinstitute,not_sure,,Earth Island Institute,ngo,Supports environmental action projects
Greenpeace USA,,ANG,en,Los,@greenpeaceusa,@greenpeaceusa,,Greenpeace,ngo,Global environmental organization with LA presence
Sierra Club Angeles Chapter,,ANG,en,Los,@sierraclubangeles,@SierraClub,,Sierra Club,ngo,Local chapter of national environmental organization
Natural Resources Defense Council (NRDC),,ANG,en,Los,@nrdc_org,@NRDC,,NRDC,ngo,Environmental advocacy with LA office
The Nature Conservancy California,,ANG,en,Los,@nature_org,@nature_org,,The Nature Conservancy,ngo,Conservation efforts in California
Earthjustice,,ANG,en,Los,@earthjustice,@Earthjustice,,Earthjustice,ngo,Environmental law organization with LA office
350.org,,ANG,en,Los,@350org,@350,,350.org,ngo,Climate change movement with LA activities
Green LA Coalition,,ANG,en,Los,@greenlacoalition,not_sure,,Green LA Coalition,ngo,Network of environmental organizations in LA
Los Angeles Neighborhood Land Trust,,ANG,en,Los,@lanlt,not_sure,,Los Angeles Neighborhood Land Trust,ngo,Creates parks and gardens in underserved areas
California Environmental Justice Alliance,,ANG,en,Los,@caleja,not_sure,,California Environmental Justice Alliance,ngo,Advocates for environmental justice in California
Center for Biological Diversity,,ANG,en,Los,@centerforbiodiv,@CenterForBioDiv,,Center for Biological Diversity,ngo,Biodiversity protection with LA presence
Los Angeles Community Garden Council,,ANG,en,Los,@lacgc,not_sure,,Los Angeles Community Garden Council,ngo,Supports community gardens in LA
California Climate Action Corps,,ANG,en,Los,@caclimatcorps,not_sure,,California Climate Action Corps,ngo,Statewide climate action with LA projects
Coalition for Clean Air,,ANG,en,Los,@cleanairca,@cleanairca,,Coalition for Clean Air,ngo,Advocates for clean air policies in California
Los Angeles Eco-Village,,ANG,en,Los,@laecovillage,not_sure,,Los Angeles Eco-Village,ngo,Sustainable living community in LA
Communities for a Better Environment,,ANG,en,Los,@cbe_california,not_sure,,Communities for a Better Environment,ngo,Environmental health and justice in LA
California Wilderness Coalition,,ANG,en,Los,@calwild,@CalWild,,California Wilderness Coalition,ngo,Protects California's wild places
Los Angeles Urban League,,ANG,en,Los,@laurbanleague,@laurbanleague,,Los Angeles Urban League,ngo,Empowers underserved communities in LA
Environment California,,ANG,en,Los,@environmentcalifornia,@EnvCalifornia,,Environment California,ngo,Advocates for clean energy and environment
Los Angeles Food Policy Council,,ANG,en,Los,@goodfoodla,not_sure,,Los Angeles Food Policy Council,ngo,Promotes sustainable food systems in LA
California Greenworks,,ANG,en,Los,@californiagreenworks,not_sure,,California Greenworks,ngo,Environmental education and urban greening
Los Angeles Alliance for a New Economy,,ANG,en,Los,@laane,@laane,,Los Angeles Alliance for a New Economy,ngo,Advocates for sustainable economic policies
Los Angeles River Revitalization Corporation,,ANG,en,Los,@larivercorp,not_sure,,Los Angeles River Revitalization Corporation,ngo,Revitalizes LA River for community use
Los Angeles County Bicycle Coalition,,ANG,en,Los,@lacbc,@lacbc,,Los Angeles County Bicycle Coalition,ngo,Promotes cycling and bike-friendly policies
Los Angeles Cleantech Incubator,,ANG,en,Los,@laincubator,@laincubator,,Los Angeles Cleantech Incubator,ngo,Supports cleantech startups in LA
Los Angeles Regional Collaborative for Climate Action and Sustainability,,ANG,en,Los,@larcclimate,not_sure,,LARC,ngo,Regional climate action collaboration
Los Angeles Neighborhood Initiative,,ANG,en,Los,@lanila,not_sure,,Los Angeles Neighborhood Initiative,ngo,Community development and revitalization
Los Angeles Sustainability Collaborative,,ANG,en,Los,@lasustainability,not_sure,,Los Angeles Sustainability Collaborative,ngo,Promotes sustainability initiatives in LA
Los Angeles Urban Nature Research Center,,ANG,en,Los,@launrc,not_sure,,Los Angeles Urban Nature Research Center,ngo,Researches urban biodiversity in LA
Los Angeles Urban Rangers,,ANG,en,Los,@laurbanrangers,not_sure,,Los Angeles Urban Rangers,ngo,Explores urban landscapes and public spaces
Los Angeles Urban Renewal Network,,ANG,en,Los,@laurn,not_sure,,Los Angeles Urban Renewal Network,ngo,Focuses on urban renewal and sustainability
Los Angeles Urban Sustainability Coalition,,ANG,en,Los,@lauscoalition,not_sure,,Los Angeles Urban Sustainability Coalition,ngo,Collaborates on urban sustainability projects
Los Angeles Urban Wildlife Institute,,ANG,en,Los,@lauwi,not_sure,,Los Angeles Urban Wildlife Institute,ngo,Studies urban wildlife and habitats
Los Angeles Urban Youth Collaborative,,ANG,en,Los,@lauyc,not_sure,,Los Angeles Urban Youth Collaborative,ngo,Empowers youth in urban sustainability
Los Angeles Water Conservation Network,,ANG,en,Los,@lawcn,not_sure,,Los Angeles Water Conservation Network,ngo,Promotes water conservation in LA
