name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace East Asia,,CHN,zh,Shanghai,@greenpeaceeastasia,not_sure,,,ngo,Environmental advocacy with Shanghai office
Shanghai Roots & Shoots,,CHN,zh,Shanghai,@rootsandshoots_shanghai,not_sure,,,ngo,Youth-led environmental education programs
Shanghai Environmental Protection Bureau,,CHN,zh,Shanghai,@shanghai_epb,not_sure,,,ngo,Local government environmental initiatives
The Nature Conservancy China,,CHN,zh,Shanghai,@nature_org_cn,not_sure,,,ngo,Conservation projects in China
Friends of Nature,,CHN,zh,Shanghai,@fonchina,not_sure,,,ngo,Oldest environmental NGO in China
WWF China,,CHN,zh,Shanghai,@wwfchina,not_sure,,,ngo,Global conservation organization with local projects
Shanghai Rendu Ocean NPO Development Center,,CHN,zh,Shanghai,@rendu_ocean,not_sure,,,ngo,Focus on marine conservation and education
Shanghai Green Oasis Ecological Conservation Center,,CHN,zh,Shanghai,@greenoasis_sh,not_sure,,,ngo,Urban ecological conservation efforts
Shanghai International Peace Research Institute,,CHN,zh,Shanghai,@sipri_shanghai,not_sure,,,ngo,Research on peace and conflict resolution
Global Environmental Institute,,CHN,zh,Shanghai,@geichina,not_sure,,,ngo,Sustainable development and environmental protection
Shanghai Environmental Protection Foundation,,CHN,zh,Shanghai,@shanghaienvironment,not_sure,,,ngo,Local environmental protection initiatives
The Nature Conservancy China,,CHN,zh,Shanghai,@tnc_china,not_sure,,,ngo,Conservation projects in China
Shanghai Green Oasis,,CHN,zh,Shanghai,@shanghaigreenoasis,not_found,,,ngo,Urban greening and sustainability projects
Shanghai Climate Action Network,,CHN,zh,Shanghai,@shanghaiclimate,not_found,,,ngo,Local climate change advocacy
Shanghai Biodiversity Conservation Center,,CHN,zh,Shanghai,@shanghaibiodiversity,not_found,,,ngo,Focus on local biodiversity protection
Shanghai Environmental Volunteers Association,,CHN,zh,Shanghai,@shanghai_env_volunteers,not_found,,,ngo,Volunteer-driven environmental initiatives
Shanghai Green Building Council,,CHN,zh,Shanghai,@shanghaigreenbuilding,not_found,,,ngo,Promotes sustainable building practices
Shanghai Environmental Education Center,,CHN,zh,Shanghai,@shanghai_env_edu,not_found,,,ngo,Environmental education programs in schools
Shanghai Urban Forests Initiative,,CHN,zh,Shanghai,@shanghaiurbanforests,not_found,,,ngo,Promotes urban forestry and green spaces
Shanghai Waterkeeper,,CHN,zh,Shanghai,@shanghaiwaterkeeper,not_found,,,ngo,Focus on water conservation and quality
Shanghai Wildlife Conservation Society,,CHN,zh,Shanghai,@shanghaiwildlife,not_found,,,ngo,Protects local wildlife and habitats
Shanghai Clean Air Network,,CHN,zh,Shanghai,@shanghaicleanair,not_found,,,ngo,Advocates for air quality improvements
Shanghai Green Energy Association,,CHN,zh,Shanghai,@shanghaigreenenergy,not_found,,,ngo,Promotes renewable energy solutions
Shanghai Sustainable Agriculture Network,,CHN,zh,Shanghai,@shanghaisustainableag,not_found,,,ngo,Focuses on sustainable farming practices
Shanghai Eco-City Initiative,,CHN,zh,Shanghai,@shanghaiecocity,not_found,,,ngo,Promotes eco-friendly urban development
Shanghai Marine Conservation Society,,CHN,zh,Shanghai,@shanghaimarine,not_found,,,ngo,Protects marine environments and species
Shanghai Roots & Shoots,,CHN,zh,Shanghai,@rootsandshoots_sh,not_sure,,,ngo,Focus on youth environmental education
The Nature Conservancy China,,CHN,zh,Shanghai,@nature_org,@nature_org,,,ngo,Conservation projects in Yangtze River region
Shanghai Green Light Year,,CHN,zh,Shanghai,@greenlightyear_sh,not_found,,,ngo,Promotes sustainable urban living
Shanghai Green Earth Volunteers,,CHN,zh,Shanghai,@greenearthvolunteers,not_found,,,ngo,Environmental volunteering and activism
Shanghai Environmental Protection Foundation,,CHN,zh,Shanghai,@shanghai_epf,not_found,,,ngo,Funds local environmental projects
Shanghai Green Building Council,,CHN,zh,Shanghai,@shanghaigbc,not_found,,,ngo,Promotes sustainable architecture
Shanghai Climate Protection Partnership,,CHN,zh,Shanghai,@shanghai_climate,not_sure,,,ngo,Collaborative climate action initiatives
Shanghai Environmental Education Center,,CHN,zh,Shanghai,@shanghai_eec,not_sure,,,ngo,Environmental education programs
