name,email,country,language,city,instagram,twitter,phone,organization,type,notes
David Suzuki Foundation,,CAN,en,Vancouver,@davidsuzukifdn,@DavidSuzukiFDN,,,other,Prominent environmental organization in Canada
Ecojustice,,CAN,en,Vancouver,@ecojustice_ca,@ecojustice_ca,,,other,Canada's largest environmental law charity
West Coast Environmental Law,,CAN,en,Vancouver,@wcelaw,@WCELaw,,,other,Advocates for environmental legal solutions
Georgia Strait Alliance,,CAN,en,Vancouver,@georgiastraitbc,not_sure,,,other,Protects marine environment in the Strait of Georgia
Vancouver Foundation,,CAN,en,Vancouver,@vancouverfdn,@VancouverFdn,,,other,Funds community initiatives including environmental projects
BC Sustainable Energy Association,,CAN,en,Vancouver,@bcsustainableenergy,not_sure,,,other,Promotes sustainable energy solutions in BC
SPEC (Society Promoting Environmental Conservation),,CAN,en,Vancouver,@specbc,not_sure,,,other,Focuses on urban sustainability and conservation
Pacific Institute for Climate Solutions,,CAN,en,Vancouver,@picsuvic,@PICSCanada,,,other,Researches climate change solutions in BC
Living Oceans Society,,CAN,en,Vancouver,@livingoceans,@livingoceans,,,other,Advocates for ocean health and protection
Raincoast Conservation Foundation,,CAN,en,Vancouver,@raincoastconservation,@Raincoast,,,other,Focuses on protecting coastal ecosystems
Wildlife Rescue Association of BC,,CAN,en,Vancouver,@wildliferescuebc,@WRAofBC,,,other,Rescues and rehabilitates injured wildlife
Greenpeace Canada,,CAN,en,Vancouver,@greenpeace_canada,@GreenpeaceCA,,,other,International environmental organization with local presence
Sierra Club BC,,CAN,en,Vancouver,@sierraclubbc,@SierraClubBC,,,other,Focuses on climate action and conservation
Fraser Basin Council,,CAN,en,Vancouver,@fraserbasin,not_sure,,,other,Promotes sustainability in the Fraser Basin
Vancouver Urban Farming Society,,CAN,en,Vancouver,@vanurbanfarmers,not_sure,,,other,Supports urban agriculture initiatives
BC Nature,,CAN,en,Vancouver,@bcnaturefederation,not_sure,,,other,Federation of naturalist clubs in BC
Nature Vancouver,,CAN,en,Vancouver,@naturevancouver,not_sure,,,other,Promotes nature appreciation and conservation
Vancouver Aquarium,,CAN,en,Vancouver,@vanaqua,@vanaqua,,,other,Focuses on marine conservation and education
Ocean Wise,,CAN,en,Vancouver,@oceanwise,@oceanwise,,,other,Conservation organization focused on ocean health
Be The Change Earth Alliance,,CAN,en,Vancouver,@bethechangeearthalliance,not_sure,,,other,Empowers youth for environmental action
