name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Australian Conservation Foundation,,AUS,en,Sydney,@ausconservation,@AusConservation,,,ngo,National environmental NGO with Sydney presence
Greenpeace Australia Pacific,,AUS,en,Sydney,@greenpeaceap,@GreenpeaceAP,,,ngo,Active in climate and environmental campaigns
Nature Conservation Council of NSW,,AUS,en,Sydney,@nature_nsw,@nature_org_au,,,ngo,State's leading environmental advocacy group
Climate Council,,AUS,en,Sydney,@climatecouncil,@climatecouncil,,,ngo,Provides expert advice on climate change
Amnesty International Australia,,AUS,en,Sydney,@amnestyOz,@amnestyOz,,,ngo,Human rights NGO with Sydney office
Australian Youth Climate Coalition,,AUS,en,Sydney,@aycc,@AYCC,,,ngo,Youth-led climate action group
The Wilderness Society,,AUS,en,Sydney,@wilderness_aus,@Wilderness_Aus,,,ngo,Focuses on nature conservation
World Wildlife Fund Australia,,AUS,en,Sydney,@wwf_australia,@WWF_Australia,,,ngo,Global conservation NGO with Sydney office
Australian Marine Conservation Society,,AUS,en,Sydney,@marineconservation.au,@AustMarConsSoc,,,ngo,Protects ocean wildlife and habitats
Oxfam Australia,,AUS,en,Sydney,@oxfamaus,@OxfamAustralia,,,ngo,Works on poverty and social justice issues
Friends of the Earth Australia,,AUS,en,Sydney,@foe_aus,@foe_aus,,,ngo,Environmental and social justice group
350 Australia,,AUS,en,Sydney,@350australia,@350Australia,,,ngo,Focuses on climate change solutions
Sydney Peace Foundation,,AUS,en,Sydney,@sydneypeacefoundation,not_sure,,,ngo,Promotes peace with justice
Australian Red Cross,,AUS,en,Sydney,@redcrossau,@RedCrossAU,,,ngo,Humanitarian aid and emergency response
UNICEF Australia,,AUS,en,Sydney,@unicefaustralia,@unicefaustralia,,,ngo,Focuses on children's rights and welfare
Doctors for the Environment Australia,,AUS,en,Sydney,@doctorsfortheenvironment,@DocsEnvAus,,,ngo,Medical professionals advocating for environmental health
Australian Institute of International Affairs,,AUS,en,Sydney,@aiia_national,@AIIANational,,,ngo,Focuses on international relations and policy
Human Rights Watch Australia,,AUS,en,Sydney,@humanrightswatch,@hrw,,,ngo,Monitors and reports on human rights issues
Save the Children Australia,,AUS,en,Sydney,@savethechildrenau,@SaveChildrenAust,,,ngo,Focuses on children's rights and emergencies
International Campaign to Abolish Nuclear Weapons,,AUS,en,Sydney,@ican_australia,@nuclearban,,,ngo,Advocates for nuclear disarmament
Australian Fair Trade and Investment Network,,AUS,en,Sydney,@aftinet,not_sure,,,ngo,Focuses on fair trade and investment policies
Green Building Council of Australia,,AUS,en,Sydney,@gbcaus,@GBCAus,,,ngo,Promotes sustainable building practices
Australian Council for International Development,,AUS,en,Sydney,@acfid,@ACFID,,,ngo,Represents Australian NGOs in international development
Edmund Rice Centre,,AUS,en,Sydney,@edmundricecentre,@EdmundRiceCentr,,,ngo,Focuses on social justice and human rights
Australian Religious Response to Climate Change,,AUS,en,Sydney,@arrcc_official,@arrcc1,,,ngo,Faith-based climate action group
Sydney Alliance,,AUS,en,Sydney,@sydney_alliance,not_sure,,,ngo,Coalition for social justice and community action
Australian Network on Disability,,AUS,en,Sydney,@and_australia,@AND_Australia,,,ngo,Promotes inclusion of people with disabilities
Australian Youth Affairs Coalition,,AUS,en,Sydney,@ayac_aus,not_sure,,,ngo,National voice for young people
Australian Marine Sciences Association,,AUS,en,Sydney,@amsa_aus,@AMSA_Australia,,,ngo,Promotes marine science and conservation
Australian National University Climate Change Institute,,AUS,en,Sydney,@anu_climate,@ANU_Climate,,,ngo,Research and policy on climate change
Australian Institute of Marine Science,,AUS,en,Sydney,@aims_gov_au,@aims_gov_au,,,ngo,Research on marine environments
Australian Academy of Science,,AUS,en,Sydney,@science_academy,@Science_Academy,,,ngo,Promotes scientific research and education
Australian Academy of Technology and Engineering,,AUS,en,Sydney,@atse_au,@ATSE_au,,,ngo,Advances technology and engineering
Australian Academy of the Humanities,,AUS,en,Sydney,@humanities_au,@HumanitiesAU,,,ngo,Promotes humanities research and education
Australian Academy of Health and Medical Sciences,,AUS,en,Sydney,@aahms_au,not_found,,,ngo,Advances health and medical research
Australian Academy of Law,,AUS,en,Sydney,@lawacademy_au,not_found,,,ngo,Promotes legal research and education
Australian Academy of Social Sciences,,AUS,en,Sydney,@socialsciences_au,not_found,,,ngo,Promotes social science research and education
Australian Academy of the Arts,,AUS,en,Sydney,@artsacademy_au,not_found,,,ngo,Promotes arts research and education
Australian Academy of the Environment,,AUS,en,Sydney,@environmentacademy_au,not_found,,,ngo,Promotes environmental research and education
