name,email,country,language,city,instagram,twitter,phone,organization,type,notes
SEO/BirdLife,seo@seo.org,ESP,es,Madrid,@seobirdlife,@SEO_BirdLife,,SEO/BirdLife,other,Leading bird conservation NGO in Spain
Fundación Biodiversidad,,ESP,es,Madrid,@fundacionbiodiversidad,@FBiodiversidad,,Fundación Biodiversidad,other,Promotes biodiversity conservation projects
Greenpeace España,,ESP,es,Madrid,@greenpeace_esp,@greenpeace_esp,,Greenpeace España,other,International NGO with strong local presence
Ecologistas en Acción,,ESP,es,Madrid,@ecologistas,@ecologistas,,Ecologistas en Acción,other,Environmental NGO active in Madrid
WWF España,,ESP,es,Madrid,@wwfespana,@WWFespana,,WWF España,other,Global conservation organization with Madrid office
Amigos de la Tierra,,ESP,es,Madrid,@amigosdelatierramadrid,not_sure,,Amigos de la Tierra,other,Focuses on sustainable development and climate
Fundación Renovables,,ESP,es,Madrid,@fundacionrenovables,not_sure,,Fundación Renovables,other,Promotes renewable energy in Spain
Asociación para la Defensa de la Naturaleza,,ESP,es,Madrid,@adenamadrid,not_sure,,ADENA,other,Nature conservation NGO
Instituto Internacional de Derecho y Medio Ambiente,,ESP,es,Madrid,@iidemadrid,not_sure,,IIDMA,other,Legal advocacy for environmental protection
Fundación Global Nature,,ESP,es,Madrid,@fundacionglobalnature,not_sure,,Fundación Global Nature,other,Works on biodiversity and climate projects
Reforesta,,ESP,es,Madrid,@reforestamadrid,not_sure,,Reforesta,other,Focuses on reforestation and environmental education
Asociación Española de Educación Ambiental,,ESP,es,Madrid,@aeamadrid,not_sure,,AEEA,other,Promotes environmental education initiatives
Fundación Félix Rodríguez de la Fuente,,ESP,es,Madrid,@fundacionfelixrdlf,not_sure,,Fundación Félix Rodríguez de la Fuente,other,Conservation projects inspired by Félix Rodríguez
Sociedad Española de Ornitología,,ESP,es,Madrid,@seobirdlife,@SEO_BirdLife,,SEO/BirdLife,other,Focuses on bird conservation and research
Fundación Ecología y Desarrollo,,ESP,es,Madrid,@ecodes_org,@ecodes,,ECODES,other,Sustainable development and climate action
Asociación para la Conservación de la Biodiversidad Ibérica,,ESP,es,Madrid,@acbi_madrid,not_found,,ACBI,other,Conserves Iberian biodiversity
Fundación Entorno,,ESP,es,Madrid,@fundacionentorno,not_found,,Fundación Entorno,other,Promotes corporate sustainability practices
Asociación Española de Entomología,,ESP,es,Madrid,@aee_madrid,not_found,,AEE,other,Focuses on insect conservation and research
Fundación para la Conservación del Quebrantahuesos,,ESP,es,Madrid,@fcq_madrid,@FCQ_ONG,,FCQ,other,Conserves the bearded vulture species
Asociación Española de Ecología Terrestre,,ESP,es,Madrid,@aeet_madrid,@AEET_ecologia,,AEET,other,Focuses on terrestrial ecology research
Fundación Oso Pardo,,ESP,es,Madrid,@fundacionosopardo,@fundacionoso,,Fundación Oso Pardo,other,Conserves brown bear populations in Spain
Asociación Española de Limnología,,ESP,es,Madrid,@ael_madrid,not_found,,AEL,other,Focuses on freshwater ecosystems research
Fundación para la Investigación en Etología y Biodiversidad,,ESP,es,Madrid,@fieb_madrid,not_found,,FIEB,other,Research on animal behavior and biodiversity
Asociación Española de Fotógrafos de Naturaleza,,ESP,es,Madrid,@aefona_madrid,@AEFONA,,AEFONA,other,Nature photography promoting conservation
Fundación para la Conservación de la Biodiversidad y su Hábitat,,ESP,es,Madrid,@fcbyh_madrid,not_found,,FCBYH,other,Conserves biodiversity and habitats
Asociación Española de Geografía,,ESP,es,Madrid,@aeg_madrid,not_found,,AEG,other,Geography research and education
Fundación para la Investigación en Energía y Medio Ambiente,,ESP,es,Madrid,@fiema_madrid,not_found,,FIEMA,other,Research on energy and environmental issues
Asociación Española de Hidrología,,ESP,es,Madrid,@aeh_madrid,not_found,,AEH,other,Focuses on water resources and hydrology
Fundación para la Investigación en Recursos Naturales,,ESP,es,Madrid,@firn_madrid,not_found,,FIRN,other,Research on natural resources
Asociación Española de Meteorología,,ESP,es,Madrid,@aemet_madrid,@AEMET_Esp,,AEMET,other,Weather and climate research
Fundación para la Investigación en Zoología,,ESP,es,Madrid,@fiz_madrid,not_found,,FIZ,other,Research on animal species
Asociación Española de Oceanografía,,ESP,es,Madrid,@aeo_madrid,not_found,,AEO,other,Focuses on marine science and conservation
Fundación para la Investigación en Botánica,,ESP,es,Madrid,@fib_madrid,not_found,,FIB,other,Research on plant species and conservation
Asociación Española de Paleontología,,ESP,es,Madrid,@aep_madrid,not_sure,,AEP,other,Focuses on fossil research and education
Fundación para la Investigación en Geología,,ESP,es,Madrid,@fig_madrid,not_sure,,FIG,other,Research on geological sciences
Asociación Española de Química Ambiental,,ESP,es,Madrid,@aeqa_madrid,not_sure,,AEQA,other,Focuses on environmental chemistry research
Fundación para la Investigación en Física Ambiental,,ESP,es,Madrid,@fifa_madrid,not_sure,,FIFA,other,Research on environmental physics
Asociación Española de Sociología Ambiental,,ESP,es,Madrid,@aesa_madrid,not_sure,,AESA,other,Focuses on environmental sociology research
Fundación para la Investigación en Psicología Ambiental,,ESP,es,Madrid,@fipa_madrid,not_sure,,FIPA,other,Research on environmental psychology
Asociación Española de Economía Ambiental,,ESP,es,Madrid,@aeea_madrid,not_sure,,AEEA,other,Focuses on environmental economics research
Asociación Española de Derecho Ambiental,,ESP,es,Madrid,@aeda_madrid,not_sure,,AEDA,other,Focuses on environmental law research
Fundación para la Investigación en Educación Ambiental,,ESP,es,Madrid,@fiea_madrid,not_sure,,FIEA,other,Research on environmental education
Asociación Española de Historia Ambiental,,ESP,es,Madrid,@aeha_madrid,not_sure,,AEHA,other,Focuses on environmental history research
Asociación Española de Antropología Ambiental,,ESP,es,Madrid,@aeaa_madrid,not_sure,,AEAA,other,Focuses on environmental anthropology research
Fundación para la Investigación en Comunicación Ambiental,,ESP,es,Madrid,@fica_madrid,not_sure,,FICA,other,Research on environmental communication
Fundación para la Investigación en Ingeniería Ambiental,,ESP,es,Madrid,@fiia_madrid,not_sure,,FIIA,other,Research on environmental engineering
Asociación Española de Medicina Ambiental,,ESP,es,Madrid,@aema_madrid,not_sure,,AEMA,other,Focuses on environmental health research
Fundación para la Investigación en Tecnología Ambiental,,ESP,es,Madrid,@fita_madrid,not_sure,,FITA,other,Research on environmental technology
Fundación para la Investigación en Alimentación Ambiental,,ESP,es,Madrid,@fiaa_madrid,not_sure,,FIAA,other,Research on sustainable food systems
Asociación Española de Transporte Ambiental,,ESP,es,Madrid,@aeta_madrid,not_sure,,AETA,other,Focuses on sustainable transport research
Fundación para la Investigación en Recursos Hídricos,,ESP,es,Madrid,@firh_madrid,not_sure,,FIRH,other,Research on water resources management
Asociación Española de Residuos Ambientales,,ESP,es,Madrid,@aera_madrid,not_sure,,AERA,other,Focuses on waste management research
