name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Natural Resources Defense Council,,YOR,en,New,@nrdc_org,@NRDC,,,other,Influential environmental advocacy group
The Nature Conservancy,,YOR,en,New,@nature_org,@nature_org,,,other,Global conservation organization with NYC presence
Environmental Defense Fund,,YOR,en,New,@edf_earth,@EnvDefenseFund,,,other,Focus on climate and energy solutions
Rainforest Alliance,,YOR,en,New,@rainforestalliance,@RnfrstAlliance,,,other,Promotes sustainable agriculture and forestry
350.org,,YOR,en,New,@350org,@350,,,other,Climate change advocacy group
Greenpeace USA,,YOR,en,New,@greenpeaceusa,@greenpeaceusa,,,other,Environmental activism organization
World Wildlife Fund,,YOR,en,New,@world_wildlife,@World_Wildlife,,,other,Conservation and environmental protection
Sierra Club,,YOR,en,New,@sierraclub,@SierraClub,,,other,Grassroots environmental organization
Earthjustice,,YOR,en,New,@earthjustice,@Earthjustice,,,other,Legal advocacy for environmental issues
Wildlife Conservation Society,,YOR,en,New,@thewcs,@TheWCS,,,other,Operates NYC zoos and aquariums
Friends of the Earth,,YOR,en,New,@foe_us,@foe_us,,,other,Environmental advocacy group
Union of Concerned Scientists,,YOR,en,New,@unionofconcernedscientists,@UCSUSA,,,other,Science-based environmental advocacy
The Climate Reality Project,,YOR,en,New,@climatereality,@ClimateReality,,,other,Climate change education and advocacy
Oceana,,YOR,en,New,@oceana,@Oceana,,,other,Ocean conservation organization
Earth Day Network,,YOR,en,New,@earthdaynetwork,@EarthDay,,,other,Coordinates Earth Day events globally
National Audubon Society,,YOR,en,New,@audubonsociety,@audubonsociety,,,other,Bird conservation organization
The Ocean Cleanup,,YOR,en,New,@theoceancleanup,@TheOceanCleanup,,,other,Develops technologies to remove ocean plastic
Global Green USA,,YOR,en,New,@globalgreen,@globalgreen,,,other,Promotes sustainable urban environments
The Solutions Project,,YOR,en,New,@thesolutionsproject,@100isNow,,,other,Supports renewable energy transition
Center for Climate and Energy Solutions,,YOR,en,New,@c2es_org,@C2ES_org,,,other,Advocates for climate policy solutions
The Earth Institute,,YOR,en,New,@earthinstitute,@earthinstitute,,,other,Columbia University research on sustainability
New York Restoration Project,,YOR,en,New,@nyrp,@NYRP,,,other,Restores NYC parks and gardens
GrowNYC,,YOR,en,New,@grownyc,@GrowNYC,,,other,Promotes environmental programs in NYC
The New York Botanical Garden,,YOR,en,New,@nybg,@NYBG,,,other,Botanical research and conservation
Brooklyn Botanic Garden,,YOR,en,New,@bklyn_botanic,@BklynBotanic,,,other,Botanical garden and education center
American Museum of Natural History,,YOR,en,New,@amnh,@AMNH,,,other,Natural history museum with climate exhibits
New York City Audubon,,YOR,en,New,@nycaudubon,@NYCAudubon,,,other,Bird conservation in NYC
Hudson River Park Trust,,YOR,en,New,@hudsonriverpark,@HudsonRiverPark,,,other,Manages Hudson River Park
The High Line,,YOR,en,New,@highlinenyc,@highlinenyc,,,other,Elevated linear park in NYC
Central Park Conservancy,,YOR,en,New,@centralparknyc,@centralparknyc,,,other,Manages and restores Central Park
Bronx River Alliance,,YOR,en,New,@bronxriver,@bronxriver,,,other,Restores and protects Bronx River
Gowanus Canal Conservancy,,YOR,en,New,@gowanuscanalconservancy,@GowanusGreen,,,other,Restores Gowanus Canal ecosystem
Harlem Grown,,YOR,en,New,@harlemgrown,@HarlemGrown,,,other,Urban farming and youth education
Lower East Side Ecology Center,,YOR,en,New,@lesecologyctr,@LESEcologyCtr,,,other,Environmental education and composting
Queens Botanical Garden,,YOR,en,New,@queensbotanical,@QBGarden,,,other,Botanical garden and environmental education
Staten Island Greenbelt Conservancy,,YOR,en,New,@sigreenbelt,not_found,,,other,Manages Staten Island Greenbelt
New York City Environmental Justice Alliance,,YOR,en,New,@nyceja,not_sure,,,other,Advocates for environmental justice in NYC
WE ACT for Environmental Justice,,YOR,en,New,@weact4ej,@weact4ej,,,other,Environmental justice in Northern Manhattan
NYC H2O,,YOR,en,New,@nych2o,@nych2o,,,other,Water ecology and education in NYC
Urban Green Council,,YOR,en,New,@urbangreencouncil,@UrbanGreenNYC,,,other,Promotes sustainable building in NYC
Solar One,,YOR,en,New,@solar1nyc,@solar1,,,other,Promotes solar energy and sustainability
NYC Parks,,YOR,en,New,@nycparks,@NYCParks,,,other,Manages NYC public parks
New York City Department of Environmental Protection,,YOR,en,New,@nycwater,@nycwater,,,other,Manages NYC water supply and quality
New York League of Conservation Voters,,YOR,en,New,@nylcv,@nylcv,,,other,Advocates for environmental policies in NYC
New York Public Interest Research Group,,YOR,en,New,@nypirg,@NYPIRG,,,other,Advocates for public interest issues
Transportation Alternatives,,YOR,en,New,@transalt,@transalt,,,other,Advocates for safer streets in NYC
Bike New York,,YOR,en,New,@bikenewyork,@bikenewyork,,,other,Promotes cycling and bike safety in NYC
New York City Transit Museum,,YOR,en,New,@nytransitmuseum,@NYTransitMuseum,,,other,Preserves NYC transit history
New York City Department of Transportation,,YOR,en,New,@nyc_dot,@NYC_DOT,,,other,Manages NYC transportation infrastructure
New York City Economic Development Corporation,,YOR,en,New,@nycedc,@NYCEDC,,,other,Promotes economic growth in NYC
New York City Housing Authority,,YOR,en,New,@nychagram,@NYCHA,,,other,Provides public housing in NYC
New York City Department of City Planning,,YOR,en,New,@nycplanning,@NYCPlanning,,,other,Plans NYC land use and zoning
New York City Department of Buildings,,YOR,en,New,@nyc_buildings,@NYC_Buildings,,,other,Regulates NYC building construction
New York City Department of Sanitation,,YOR,en,New,@nycsanitation,@NYCSanitation,,,other,Manages NYC waste collection and recycling
New York City Department of Health and Mental Hygiene,,YOR,en,New,@nychealthy,@nycHealthy,,,other,Promotes public health in NYC
