name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Berlin,,DEU,de,Berlin,@greenpeaceberlin,@greenpeace_de,,Greenpeace,other,Environmental advocacy and campaigns in Berlin
BUND Berlin,,DEU,de,Berlin,@bund_berlin,@BUND_Berlin,,Friends of the Earth Germany,other,Local chapter focusing on environmental protection
NABU Berlin,,DEU,de,Berlin,@nabu_berlin,@NABU_de,,Nature And Biodiversity Conservation Union,other,Conservation and biodiversity projects in Berlin
Fridays for Future Berlin,,DEU,de,Berlin,@fridaysforfuture.berlin,@FFF_Berlin,,Fridays for Future,other,Youth-led climate activism in Berlin
Extinction Rebellion Berlin,,DEU,de,Berlin,@xrberlin,@xrberlin,,Extinction Rebellion,other,Non-violent climate activism group
Deutsche Umwelthilfe,,DEU,de,Berlin,@umwelthilfe,@Umwelthilfe,,Environmental Action Germany,other,National NGO with strong Berlin presence
Berlin Peace Forum,,DEU,de,Berlin,@berlinpeaceforum,not_sure,,Peace Forum,other,Promotes peace and conflict resolution
WWF Germany,,DEU,de,Berlin,@wwf_deutschland,@WWF_Deutschland,,World Wildlife Fund,other,Conservation and environmental protection
Heinrich Böll Foundation,,DEU,de,Berlin,@boell_stiftung,@boell_stiftung,,Political Foundation,other,Focus on ecology and sustainability
Germanwatch,,DEU,de,Berlin,@germanwatch,@germanwatch,,Environmental NGO,other,Advocates for global equity and sustainability
Berlin Nature Conservation Foundation,,DEU,de,Berlin,@stiftung_naturschutz_berlin,not_found,,Nature Conservation Foundation,other,Supports biodiversity and nature projects
Climate Alliance Germany,,DEU,de,Berlin,@klimaallianz,@klimaallianz,,Climate Alliance,other,Network for climate protection initiatives
Peace Research Institute Frankfurt,,DEU,de,Berlin,@prif_org,@PRIF_org,,Research Institute,other,Research on peace and conflict studies
Berlin Energy Transition Dialogue,,DEU,de,Berlin,@betd2023,not_found,,Energy Transition Conference,other,Annual conference on energy transition
Berlin Environmental Festival,,DEU,de,Berlin,@umweltfestival,not_found,,Environmental Festival,other,Annual event promoting sustainability
German Institute for Economic Research,,DEU,de,Berlin,@diw_berlin,@DIW_Berlin,,Economic Research Institute,other,Research on sustainable economic policies
Berlin Climate Policy Institute,,DEU,de,Berlin,@climatepolicyberlin,not_found,,Policy Institute,other,Focus on climate policy and research
Berlin Peace Education Center,,DEU,de,Berlin,@peaceeducationberlin,not_found,,Education Center,other,Promotes peace education and awareness
Berlin Institute for Global Health,,DEU,de,Berlin,@globalhealthberlin,not_found,,Global Health Institute,other,Research on health impacts of climate change
Berlin Sustainability Network,,DEU,de,Berlin,@sustainabilityberlin,not_found,,Network,other,Connects sustainability initiatives in Berlin
Berlin Climate Action Network,,DEU,de,Berlin,@climateactionberlin,not_found,,Action Network,other,Coordinates climate action efforts in Berlin
Berlin Biodiversity Initiative,,DEU,de,Berlin,@biodiversityberlin,not_found,,Initiative,other,Promotes biodiversity conservation in Berlin
Berlin Peace and Conflict Studies,,DEU,de,Berlin,@peaceconflictberlin,not_found,,Academic Program,other,Focus on peace and conflict resolution
Berlin Environmental Justice Network,,DEU,de,Berlin,@envjusticeberlin,not_found,,Network,other,Advocates for environmental justice in Berlin
Berlin Renewable Energy Association,,DEU,de,Berlin,@renewableenergyberlin,not_found,,Association,other,Promotes renewable energy solutions
Berlin Climate Resilience Initiative,,DEU,de,Berlin,@climateresilienceberlin,not_found,,Initiative,other,Focus on climate resilience strategies
Berlin Green Infrastructure Network,,DEU,de,Berlin,@greeninfrastructureberlin,not_found,,Network,other,Promotes green infrastructure projects
Berlin Peacebuilding Network,,DEU,de,Berlin,@peacebuildingberlin,not_found,,Network,other,Supports peacebuilding efforts in Berlin
Berlin Sustainable Development Forum,,DEU,de,Berlin,@sustainabledevelopmentberlin,not_found,,Forum,other,Discusses sustainable development goals
Berlin Climate Justice Collective,,DEU,de,Berlin,@climatejusticeberlin,not_sure,,Collective,other,Advocates for climate justice in Berlin
Berlin Environmental Education Center,,DEU,de,Berlin,@environmentaleducationberlin,not_sure,,Education Center,other,Focus on environmental education programs
Berlin Peace and Security Forum,,DEU,de,Berlin,@peaceandsecurityberlin,not_sure,,Forum,other,Discusses peace and security issues
Berlin Climate Innovation Hub,,DEU,de,Berlin,@climateinnovationberlin,not_sure,,Innovation Hub,other,Supports climate innovation projects
Berlin Nature and Wildlife Society,,DEU,de,Berlin,@naturewildlifeberlin,not_sure,,Society,other,Focus on nature and wildlife conservation
Berlin Peace and Development Network,,DEU,de,Berlin,@peaceanddevelopmentberlin,not_sure,,Network,other,Promotes peace and development initiatives
Berlin Environmental Policy Institute,,DEU,de,Berlin,@environmentalpolicyberlin,not_sure,,Policy Institute,other,Research on environmental policy issues
Berlin Climate Adaptation Network,,DEU,de,Berlin,@climateadaptationberlin,not_sure,,Network,other,Focus on climate adaptation strategies
Berlin Green Economy Forum,,DEU,de,Berlin,@greeneconomyberlin,not_sure,,Forum,other,Discusses green economy initiatives
Berlin Peace and Human Rights Center,,DEU,de,Berlin,@peacehumanrightsberlin,not_sure,,Center,other,Focus on peace and human rights issues
Berlin Climate Science Network,,DEU,de,Berlin,@climatescienceberlin,not_sure,,Network,other,Connects climate science researchers
Berlin Environmental Advocacy Group,,DEU,de,Berlin,@environmentaladvocacyberlin,not_sure,,Advocacy Group,other,Advocates for environmental policies
Berlin Peace and Reconciliation Initiative,,DEU,de,Berlin,@peacereconciliationberlin,not_sure,,Initiative,other,Promotes peace and reconciliation efforts
Berlin Climate Policy Forum,,DEU,de,Berlin,@climatepolicyforumberlin,not_sure,,Forum,other,Discusses climate policy issues
Berlin Nature and Conservation Network,,DEU,de,Berlin,@natureconservationberlin,not_sure,,Network,other,Focus on nature conservation efforts
Berlin Peace and Justice Coalition,,DEU,de,Berlin,@peacejusticeberlin,not_sure,,Coalition,other,Advocates for peace and justice
Berlin Environmental Research Institute,,DEU,de,Berlin,@environmentalresearchberlin,not_sure,,Research Institute,other,Conducts environmental research studies
Berlin Climate Action Forum,,DEU,de,Berlin,@climateactionforumberlin,not_sure,,Forum,other,Coordinates climate action discussions
Berlin Peace and Conflict Resolution Network,,DEU,de,Berlin,@peaceconflictresolutionberlin,not_sure,,Network,other,Focus on conflict resolution strategies
Berlin Environmental Sustainability Initiative,,DEU,de,Berlin,@environmentalsustainabilityberlin,not_sure,,Initiative,other,Promotes environmental sustainability projects
Berlin Climate and Energy Transition Network,,DEU,de,Berlin,@climateenergytransitionberlin,not_sure,,Network,other,Focus on energy transition strategies
Berlin Peace and Security Network,,DEU,de,Berlin,@peacesecurityberlin,not_sure,,Network,other,Discusses peace and security strategies
Berlin Environmental Innovation Hub,,DEU,de,Berlin,@environmentalinnovationberlin,not_sure,,Innovation Hub,other,Supports environmental innovation projects
Berlin Climate and Sustainability Forum,,DEU,de,Berlin,@climatesustainabilityforumberlin,not_sure,,Forum,other,Discusses climate and sustainability issues
