name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Walhi Jakarta,,IDN,id,Jakarta,@walhijakarta,@walhijakarta,,Walhi,activist,Environmental NGO with local focus
Greenpeace Indonesia,,IDN,id,Jakarta,@greenpeaceid,@greenpeaceid,,Greenpeace,activist,Prominent environmental advocacy group
Yayasan Kehati,,IDN,id,Jakarta,@yayasankehati,@yayasankehati,,Yayasan Kehati,activist,Biodiversity conservation organization
Jatam Nasional,,IDN,id,Jakarta,@jatamnasional,not_sure,,Jatam,activist,Focus on mining impact and advocacy
350 Indonesia,,IDN,id,Jakarta,@350indonesia,not_sure,,350.org,activist,Climate action group
Indonesian Youth Diplomacy,,IDN,id,Jakarta,@iydiplomacy,not_sure,,Indonesian Youth Diplomacy,activist,Youth-led international affairs group
Hutan Itu Indonesia,,IDN,id,Jakarta,@hutanituid,not_sure,,Hutan Itu Indonesia,activist,Forest conservation advocacy
Koalisi Pemuda Hijau Indonesia,,IDN,id,Jakarta,@kphi_id,not_sure,,KPHI,activist,Youth-led environmental coalition
Yayasan Lembaga Konsumen Indonesia,,IDN,id,Jakarta,@ylki_id,not_sure,,YLKI,activist,Consumer rights and environmental impact
Yayasan Pusaka,,IDN,id,Jakarta,@yayasanpusaka,not_sure,,Yayasan Pusaka,activist,Indigenous rights and environmental advocacy
Bersihkan Indonesia,,IDN,id,Jakarta,@bersihkanindonesia,not_sure,,Bersihkan Indonesia,activist,Coalition for clean energy transition
Yayasan Madani Berkelanjutan,,IDN,id,Jakarta,@madaniberkelanjutan,not_sure,,Madani,activist,Sustainable development advocacy
Greenpeace Youth Indonesia,,IDN,id,Jakarta,@greenpeaceyouthid,not_sure,,Greenpeace Youth,activist,Youth branch of Greenpeace Indonesia
Koalisi Rakyat untuk Keadilan Perikanan,,IDN,id,Jakarta,@kiara.id,not_sure,,KIARA,activist,Fisheries justice advocacy
Yayasan Lembaga Bantuan Hukum Indonesia,,IDN,id,Jakarta,@ylbhi,not_sure,,YLBHI,activist,Legal aid and human rights advocacy
Yayasan Indonesia Cerah,,IDN,id,Jakarta,@indonesiacerah,not_sure,,Indonesia Cerah,activist,Clean energy advocacy
Yayasan PIKUL,,IDN,id,Jakarta,@yayasanpikul,not_sure,,PIKUL,activist,Climate resilience and community empowerment
Yayasan Bina Keterampilan Pedesaan,,IDN,id,Jakarta,@bitrap,not_sure,,BITRA,activist,Rural development and sustainability
Yayasan Mitra Hijau,,IDN,id,Jakarta,@mitrahijau,not_sure,,Mitra Hijau,activist,Environmental education and advocacy
Walhi Jakarta,,IDN,id,Jakarta,@walhi_jakarta,not_sure,,Walhi,activist,Environmental NGO focused on Jakarta issues
Indonesian Youth Biodiversity,,IDN,id,Jakarta,@iybiodiversity,not_sure,,IYB,activist,Youth-led biodiversity initiatives
Rimbawan Muda Indonesia,,IDN,id,Jakarta,@rimbawanmuda,not_sure,,RMI,activist,Youth-led environmental organization
Yayasan Indonesia Hijau,,IDN,id,Jakarta,@indonesiahijau,not_sure,,Indonesia Hijau,activist,Green initiatives and environmental education
Yayasan Lestari Alam,,IDN,id,Jakarta,@lestarialam,not_sure,,Lestari Alam,activist,Nature conservation and sustainability
Yayasan Bina Karta Lestari,,IDN,id,Jakarta,@binakartalestari,not_sure,,Bina Karta Lestari,activist,Environmental education and advocacy
Yayasan Bumi Hijau,,IDN,id,Jakarta,@bumihijau,not_sure,,Bumi Hijau,activist,Promotes green living and conservation
Yayasan Alam Lestari,,IDN,id,Jakarta,@alamlestari,not_sure,,Alam Lestari,activist,Environmental protection and awareness
Yayasan Lingkungan Hidup,,IDN,id,Jakarta,@lingkunganhidup,not_sure,,Lingkungan Hidup,activist,Focus on environmental health and policy
Yayasan Cinta Alam,,IDN,id,Jakarta,@cintaalam,not_sure,,Cinta Alam,activist,Nature conservation and community engagement
Yayasan Pelestarian Alam,,IDN,id,Jakarta,@pelestarianalam,not_sure,,Pelestarian Alam,activist,Biodiversity and habitat protection
Yayasan Hijau Indonesia,,IDN,id,Jakarta,@hijauindonesia,not_sure,,Hijau Indonesia,activist,Environmental advocacy and green initiatives
Yayasan Alam Indonesia,,IDN,id,Jakarta,@alamindonesia,not_sure,,Alam Indonesia,activist,Nature conservation and sustainability
Yayasan Bumi Lestari,,IDN,id,Jakarta,@bumilestari,not_sure,,Bumi Lestari,activist,Environmental protection and education
Yayasan Lingkungan Indonesia,,IDN,id,Jakarta,@lingkunganindonesia,not_sure,,Lingkungan Indonesia,activist,Focus on environmental sustainability
Yayasan Hijau Lestari,,IDN,id,Jakarta,@hijaulestari,not_sure,,Hijau Lestari,activist,Green initiatives and conservation
Yayasan Alam Hijau,,IDN,id,Jakarta,@alamhijau,not_sure,,Alam Hijau,activist,Nature conservation and green living
Yayasan Bumi Hijau Lestari,,IDN,id,Jakarta,@bumihijaulestari,not_sure,,Bumi Hijau Lestari,activist,Environmental advocacy and education
Yayasan Lingkungan Lestari,,IDN,id,Jakarta,@lingkunganlestari,not_sure,,Lingkungan Lestari,activist,Focus on environmental sustainability
Yayasan Hijau Alam,,IDN,id,Jakarta,@hijaualam,not_sure,,Hijau Alam,activist,Green initiatives and conservation
Yayasan Alam Bumi,,IDN,id,Jakarta,@alambumi,not_sure,,Alam Bumi,activist,Nature conservation and sustainability
Yayasan Bumi Alam,,IDN,id,Jakarta,@bumialam,not_sure,,Bumi Alam,activist,Environmental protection and education
Yayasan Lingkungan Bumi,,IDN,id,Jakarta,@lingkunganbumi,not_sure,,Lingkungan Bumi,activist,Focus on environmental sustainability
Yayasan Hijau Bumi,,IDN,id,Jakarta,@hijaubumi,not_sure,,Hijau Bumi,activist,Green initiatives and conservation
Yayasan Alam Lestari Indonesia,,IDN,id,Jakarta,@alamlestariindonesia,not_found,,Alam Lestari Indonesia,activist,Nature conservation and green living
Yayasan Bumi Lestari Indonesia,,IDN,id,Jakarta,@bumilestariindonesia,not_found,,Bumi Lestari Indonesia,activist,Environmental advocacy and education
Yayasan Lingkungan Lestari Indonesia,,IDN,id,Jakarta,@lingkunganlestariindonesia,not_found,,Lingkungan Lestari Indonesia,activist,Focus on environmental sustainability
Yayasan Hijau Lestari Indonesia,,IDN,id,Jakarta,@hijaulestariindonesia,not_found,,Hijau Lestari Indonesia,activist,Green initiatives and conservation
Yayasan Alam Hijau Indonesia,,IDN,id,Jakarta,@alamhijauindonesia,not_found,,Alam Hijau Indonesia,activist,Nature conservation and green living
Yayasan Bumi Hijau Lestari Indonesia,,IDN,id,Jakarta,@bumihijaulestariindonesia,not_found,,Bumi Hijau Lestari Indonesia,activist,Environmental advocacy and education
Yayasan Hijau Alam Indonesia,,IDN,id,Jakarta,@hijaualamindonesia,not_found,,Hijau Alam Indonesia,activist,Green initiatives and conservation
Yayasan Alam Bumi Indonesia,,IDN,id,Jakarta,@alambumiindonesia,not_found,,Alam Bumi Indonesia,activist,Nature conservation and sustainability
Yayasan Bumi Alam Indonesia,,IDN,id,Jakarta,@bumialamindonesia,not_found,,Bumi Alam Indonesia,activist,Environmental protection and education
Yayasan Lingkungan Bumi Indonesia,,IDN,id,Jakarta,@lingkunganbumiindonesia,not_found,,Lingkungan Bumi Indonesia,activist,Focus on environmental sustainability
Yayasan Hijau Bumi Indonesia,,IDN,id,Jakarta,@hijaubumiindonesia,not_found,,Hijau Bumi Indonesia,activist,Green initiatives and conservation
Koalisi Rakyat untuk Keadilan Perikanan,,IDN,id,Jakarta,@kiara_ina,not_sure,,KIARA,activist,Advocates for fisherfolk rights
Yayasan Madani Berkelanjutan,,IDN,id,Jakarta,@madani.id,not_sure,,Madani,activist,Focus on sustainable development
Yayasan Konservasi Alam Nusantara,,IDN,id,Jakarta,@ykan_id,not_sure,,YKAN,activist,Nature conservation efforts
Yayasan Lembaga Bantuan Hukum Jakarta,,IDN,id,Jakarta,@ylbhijakarta,not_sure,,YLBHI Jakarta,activist,Legal aid and advocacy in Jakarta
Jatam Nasional,,IDN,id,Jakarta,@jatamnas,not_sure,,Jatam,activist,Advocates against mining impacts
Gerakan Indonesia Diet Kantong Plastik,,IDN,id,Jakarta,@dietkantongplastik,not_sure,,GIDKP,activist,Campaigns against plastic waste
