name,email,country,language,city,instagram,twitter,phone,organization,type,notes
David Suzuki Foundation,,CAN,en,Toronto,@davidsuzukifdn,@DavidSuzukiFDN,,,activist,Prominent environmental organization in Canada
Greenpeace Canada,,CAN,en,Toronto,@greenpeace_canada,@GreenpeaceCA,,,activist,Active in climate and environmental issues
Environmental Defence Canada,,CAN,en,Toronto,@envirodefence,@envirodefence,,,activist,Focuses on environmental protection and policy
Toronto Environmental Alliance,,CAN,en,Toronto,@toenviro,@TOenviro,,,activist,Local environmental advocacy group
Climate Action Network Canada,,CAN,en,Toronto,@climateactionca,@CANRacCanada,,,activist,Network of organizations tackling climate change
350 Canada,,CAN,en,Toronto,@350canada,@350Canada,,,activist,Part of global climate movement 350.org
Toronto Climate Save,,CAN,en,Toronto,@torontoclimatesave,not_sure,,,activist,Local chapter of Climate Save Movement
Fridays for Future Toronto,,CAN,en,Toronto,@fridaysforfutureto,@Fridays4Future,,,activist,Youth-led climate strike movement
Nature Conservancy of Canada,,CAN,en,Toronto,@natureconservancy_ca,@NCC_CNC,,,activist,Conserves natural areas across Canada
Ontario Nature,,CAN,en,Toronto,@ontarionature,@ontarionature,,,activist,Protects wild species and spaces in Ontario
Ecojustice Canada,,CAN,en,Toronto,@ecojustice_ca,@ecojustice_ca,,,activist,Environmental law organization
Toronto Pig Save,,CAN,en,Toronto,@torontopigsave,@TorontoPigSave,,,activist,Animal rights and environmental activism
Animal Justice,,CAN,en,Toronto,@animaljustice,@AnimalJustice,,,activist,Advocates for animal protection laws
Toronto Wildlife Centre,,CAN,en,Toronto,@torontowildlifecentre,not_sure,,,activist,"Rehabilitates sick, injured, and orphaned wildlife"
StopPlastics,,CAN,en,Toronto,@stopplastics,not_sure,,,activist,Campaigns against plastic pollution
Water Docs,,CAN,en,Toronto,@waterdocs,not_sure,,,activist,Focuses on water conservation and education
Toronto Green Community,,CAN,en,Toronto,@torontogreencommunity,not_sure,,,activist,Promotes sustainable urban living
Toronto Urban Growers,,CAN,en,Toronto,@torontourbangrowers,not_sure,,,activist,Supports urban agriculture initiatives
Cycle Toronto,,CAN,en,Toronto,@cycleto,@CycleToronto,,,activist,Advocates for safer cycling infrastructure
Toronto Environmental Volunteers,,CAN,en,Toronto,@toenvirovolunteers,not_sure,,,activist,Engages community in environmental activities
Green Neighbours Network of Toronto,,CAN,en,Toronto,@greenneighboursto,not_sure,,,activist,Network of eco-friendly neighbourhood groups
Toronto Nature Stewards,,CAN,en,Toronto,@torontonaturestewards,not_sure,,,activist,Restores and protects natural areas in Toronto
Toronto Environmental Film Festival,,CAN,en,Toronto,@toenvirofilmfest,not_sure,,,activist,Showcases films on environmental issues
Toronto Climate Action Network,,CAN,en,Toronto,@tcanetwork,not_sure,,,activist,Coalition of groups addressing climate change
ClimateFast,,CAN,en,Toronto,@climatefast,@ClimateFast,,,activist,Advocates for urgent climate action
Toronto Green Standard,,CAN,en,Toronto,@torontogreenstandard,not_sure,,,activist,Promotes sustainable building practices
Climate Action Network Canada,,CAN,en,Toronto,@climateactioncan,@CANRacCanada,,,activist,Network of organizations tackling climate change
Jane Goodall Institute of Canada,,CAN,en,Toronto,@janegoodallcan,@JaneGoodallCAN,,,activist,Focuses on wildlife conservation and education
Pollution Probe,,CAN,en,Toronto,@pollutionprobe,@PollutionProbe,,,activist,Focuses on clean air and water initiatives
Friends of the Earth Canada,,CAN,en,Toronto,@foecanada,@foecanada,,,activist,Part of international network for environmental justice
Earthroots,,CAN,en,Toronto,@earthroots,@EarthrootsFund,,,activist,Protects Ontario's wilderness and wildlife
Wildlands League,,CAN,en,Toronto,@wildlandsleague,@WildlandsLeague,,,activist,Conserves Canada's boreal forest
Green Thumbs Growing Kids,,CAN,en,Toronto,@greenthumbsto,not_sure,,,activist,Engages children in urban gardening
Transition Toronto,,CAN,en,Toronto,@transitiontoronto,not_sure,,,activist,Part of global Transition Network for sustainable cities
Toronto Greenhouse,,CAN,en,Toronto,@torontogreenhouse,not_sure,,,activist,Promotes sustainable living practices
Toronto Climate Action Network,,CAN,en,Toronto,@torontoclimatenetwork,not_sure,,,activist,Coalition of groups tackling climate change
Toronto Green Roofs,,CAN,en,Toronto,@torontogreenroofs,not_sure,,,activist,Advocates for green roof installations
Toronto EcoFair,,CAN,en,Toronto,@toecofair,not_sure,,,activist,Annual event promoting eco-friendly products
Toronto Green Streets,,CAN,en,Toronto,@togreenstreets,not_sure,,,activist,Focuses on urban greening projects
Toronto Environmental Network,,CAN,en,Toronto,@toenvironetwork,not_sure,,,activist,Connects environmental groups in Toronto
Toronto Green Economy Hub,,CAN,en,Toronto,@togreeneconomyhub,not_sure,,,activist,Supports businesses in green initiatives
Toronto Environmental Education Network,,CAN,en,Toronto,@toenvedunetwork,not_sure,,,activist,Promotes environmental education in schools
Toronto Green Building Council,,CAN,en,Toronto,@togreenbuildingcouncil,not_sure,,,activist,Advocates for sustainable building practices
