name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Japan,,JPN,ja,Tokyo,@greenpeacejp,@greenpeacejp,,Greenpeace,other,Environmental NGO with strong local presence
Tokyo Peace Film Festival,,JPN,ja,Tokyo,@tokyopeacefilm,not_sure,,Peace Film Festival,other,Promotes peace through film events
Japan Climate Initiative,,JPN,ja,Tokyo,@japanclimateinitiative,not_sure,,Climate Initiative,other,Network for climate action in Japan
Tokyo Metropolitan Government Environment Bureau,,JPN,ja,Tokyo,@tokyo_metropolitan_gov,not_sure,,Tokyo Government,other,Local government environmental policies
Peace Boat,,JPN,ja,Tokyo,@peace_boat,@peace_boat,,Peace Boat,other,NGO promoting peace and sustainability
WWF Japan,,JPN,ja,Tokyo,@wwfjapan,@WWFJapan,,WWF,other,Conservation organization with Tokyo office
Tokyo Environmental Public Service Corporation,,JPN,ja,Tokyo,@tokyo_env,not_found,,Public Service Corp,other,Manages Tokyo's environmental services
Japan for Sustainability,,JPN,ja,Tokyo,@japanfs,not_found,,Sustainability NGO,other,Promotes sustainable practices in Japan
Tokyo Urban Permaculture,,JPN,ja,Tokyo,@tokyourbanpermaculture,not_found,,Permaculture Group,other,Advocates for urban permaculture practices
Japan Association for the Promotion of Peace,,JPN,ja,Tokyo,@japan_peace,not_found,,Peace Promotion,other,Promotes peace initiatives in Japan
Tokyo Biodiversity Center,,JPN,ja,Tokyo,@tokyobiodiversity,not_found,,Biodiversity Center,other,Focuses on local biodiversity conservation
Japan Environmental Education Forum,,JPN,ja,Tokyo,@jeef_japan,not_found,,Education Forum,other,Promotes environmental education in Japan
Tokyo Peace Museum,,JPN,ja,Tokyo,@tokyopeacemuseum,not_found,,Peace Museum,other,Museum dedicated to peace education
Japan Wildlife Conservation Society,,JPN,ja,Tokyo,@jwcs_japan,not_found,,Wildlife Conservation,other,Focuses on wildlife conservation efforts
Tokyo Environmental Design Group,,JPN,ja,Tokyo,@tokyo_env_design,not_found,,Design Group,other,Designs sustainable urban environments
Japan Institute of International Affairs,,JPN,ja,Tokyo,@jiia_japan,not_found,,International Affairs,other,Research on geopolitics and international relations
Tokyo Climate Action Network,,JPN,ja,Tokyo,@tokyoclimatenetwork,not_found,,Climate Network,other,Network for climate action in Tokyo
Japan Peace Committee,,JPN,ja,Tokyo,@japanpeacecommittee,not_found,,Peace Committee,other,Promotes peace and disarmament
Tokyo Nature Conservation Society,,JPN,ja,Tokyo,@tokyonatureconservation,not_found,,Conservation Society,other,Focuses on conserving Tokyo's natural areas
Japan Renewable Energy Foundation,,JPN,ja,Tokyo,@jref_japan,not_found,,Energy Foundation,other,Promotes renewable energy solutions
Tokyo Peace and Conflict Studies,,JPN,ja,Tokyo,@tokyo_peace_conflict,not_found,,Peace Studies,other,Research on peace and conflict resolution
Japan Biodiversity Fund,,JPN,ja,Tokyo,@japanbiodiversity,not_found,,Biodiversity Fund,other,Supports biodiversity projects in Japan
Tokyo Environmental Policy Institute,,JPN,ja,Tokyo,@tokyo_env_policy,not_found,,Policy Institute,other,Research on environmental policies
