name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Wangari Maathai Foundation,,KEN,en,Nairobi,@wangarimaathai,not_found,,,activist,Promotes environmental conservation and peace
Greenpeace Africa,,KEN,en,Nairobi,@greenpeaceafrica,@Greenpeaceafric,,,activist,Regional office for environmental activism
Kenya Climate Change Working Group,,KEN,en,Nairobi,@kccwg,not_sure,,,activist,Coalition advocating for climate policies
Friends of Karura Forest,,KEN,en,Nairobi,@karurafriends,not_sure,,,activist,Protects urban forest biodiversity
Nature Kenya,,KEN,en,Nairobi,@nature_kenya,@Nature_Kenya,,,activist,Oldest conservation organization in Kenya
Wangari Maathai Institute,,KEN,en,Nairobi,@wmi_kenya,not_sure,,,activist,Focuses on environmental governance
African Wildlife Foundation,,KEN,en,Nairobi,@africanwildlifefoundation,@AWF_Official,,,activist,Conserves wildlife and wild lands
Kenya Forest Service,,KEN,en,Nairobi,@kenyaforestservice,@KeForestService,,,activist,Manages public forests in Kenya
Green Belt Movement,,KEN,en,Nairobi,@greenbeltmovement,@GreenBeltMovmnt,,,activist,Community-based tree planting initiative
Save the Elephants,,KEN,en,Nairobi,@savetheelephants,@ste_kenya,,,activist,Protects elephants and their habitats
WildlifeDirect,,KEN,en,Nairobi,@wildlifedirect,@wildlifedirect,,,activist,Advocates for wildlife conservation
East African Wild Life Society,,KEN,en,Nairobi,@eawildlifesociety,@eawildlife,,,activist,Promotes conservation in East Africa
African Conservation Centre,,KEN,en,Nairobi,@africanconservationcentre,not_sure,,,activist,Integrates conservation with development
Kenya Wildlife Conservancies Association,,KEN,en,Nairobi,@kwcakenya,not_sure,,,activist,Supports community conservancies
The Elephant Neighbors Center,,KEN,en,Nairobi,@elephantneighbors,not_sure,,,activist,Works on human-elephant conflict resolution
Youth for SDGs Kenya,,KEN,en,Nairobi,@youthforsdgskenya,not_sure,,,activist,Youth-led sustainable development advocacy
Kenya Youth Climate Network,,KEN,en,Nairobi,@kenyayouthclimatenetwork,not_sure,,,activist,Youth-driven climate action network
Climate Action Network Kenya,,KEN,en,Nairobi,@cankenya,not_sure,,,activist,Network of climate-focused organizations
Pan African Climate Justice Alliance,,KEN,en,Nairobi,@pacja1,@pacja,,,activist,Advocates for climate justice across Africa
Green Generation Initiative,,KEN,en,Nairobi,@greengenerationinitiative,not_sure,,,activist,Empowers youth in environmental conservation
Eco Ethics Kenya,,KEN,en,Nairobi,@ecoethicskenya,not_sure,,,activist,Promotes sustainable environmental practices
Sustainable Inclusive Business Kenya,,KEN,en,Nairobi,@sibkenya,not_sure,,,activist,Encourages sustainable business practices
