name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Artemy Lebedev,,RUS,ru,Moscow,@temalebedev,not_sure,,Radio Mayak,podcaster,Hosts geopolitics podcast on Radio Mayak
Ksenia Sobchak,,RUS,ru,Moscow,@xenia_sobchak,@xenia_sobchak,,Ostorozhno Sobchak,podcaster,Discusses geopolitics and social issues
Vladimir Solovyov,,RUS,ru,Moscow,@vrsoloviev,not_sure,,Solovyov LIVE,podcaster,Hosts political and geopolitical discussions
Yuri Dud,,RUS,ru,Moscow,@yurydud,not_sure,,vDud,podcaster,Interviews on social and geopolitical topics
Irina Shikhman,,RUS,ru,Moscow,@irinashikhman,not_sure,,And Talk,podcaster,Covers social and political issues
Alexey Pivovarov,,RUS,ru,Moscow,@pivovarov_alexey,not_sure,,Redaktsiya,podcaster,Focuses on geopolitics and social issues
Ekaterina Shulman,,RUS,ru,Moscow,@ekaterina.shulman,not_sure,,Ekaterina Shulman Podcast,podcaster,Political scientist discussing geopolitics
Maxim Kurnikov,,RUS,ru,Moscow,@maxim_kurnikov,not_sure,,Echo of Moscow,podcaster,Covers political and social issues
Tatyana Felgengauer,,RUS,ru,Moscow,@t.felg,not_sure,,Echo of Moscow,podcaster,Discusses politics and social issues
Ivan Urgant,,RUS,ru,Moscow,@urgantcom,not_sure,,Evening Urgant,podcaster,Hosts show on social topics
Dmitry Bykov,,RUS,ru,Moscow,@bykov_d,not_sure,,Citizen Poet,podcaster,Discusses politics and culture
Nikolay Solodnikov,,RUS,ru,Moscow,@solodnikov,not_sure,,In Liberty,podcaster,Focuses on social and political issues
Anastasia Krasilnikova,,RUS,ru,Moscow,@anastasia_krasilnikova,not_sure,,Meduza,podcaster,Covers social and political topics
Alexander Plushev,,RUS,ru,Moscow,@plushev,not_sure,,Echo of Moscow,podcaster,Focuses on politics and technology
Olga Bychkova,,RUS,ru,Moscow,@olga_bychkova,not_sure,,Echo of Moscow,podcaster,Discusses politics and social issues
Sergey Parkhomenko,,RUS,ru,Moscow,@parkhomenko,not_sure,,Echo of Moscow,podcaster,Covers political and social topics
Mikhail Zygar,,RUS,ru,Moscow,@zygaro,not_sure,,Project 1917,podcaster,Discusses history and politics
Anna Mongait,,RUS,ru,Moscow,@mongait,not_sure,,Dozhd TV,podcaster,Covers social and political issues
Vladimir Kara-Murza,,RUS,ru,Moscow,@vladimirkara,not_sure,,Open Russia,podcaster,Focuses on politics and human rights
Leonid Parfyonov,,RUS,ru,Moscow,@parfenov,not_sure,,Namedni,podcaster,Discusses history and politics
Andrey Loshak,,RUS,ru,Moscow,@loshak,not_sure,,Realnaya Gazeta,podcaster,Covers social and political issues
Katerina Gordeeva,,RUS,ru,Moscow,@katya_gordeeva,not_sure,,Gordeeva,podcaster,Focuses on social and political topics
Ilya Varlamov,,RUS,ru,Moscow,@varlamov,not_sure,,Varlamov Talks,podcaster,Discusses urbanism and social issues
Alexander Nevzorov,,RUS,ru,Moscow,@nevzorovtv,not_sure,,Nevzorov's Wednesdays,podcaster,Covers politics and social issues
Yulia Latynina,,RUS,ru,Moscow,@latynina.tv,not_sure,,Latynina TV,podcaster,Discusses politics and economics
Sergey Medvedev,,RUS,ru,Moscow,@sergeymedvedev,not_sure,,Medvedev's Podcast,podcaster,Focuses on geopolitics and history
Dmitry Muratov,,RUS,ru,Moscow,@dmitry_muratov,not_sure,,Novaya Gazeta,podcaster,Covers politics and human rights
