name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace España,,ESP,es,Madrid,@greenpeace_esp,@greenpeace_esp,,Greenpeace,influencer,Major environmental NGO in Spain
Ecologistas en Acción,,ESP,es,Madrid,@ecologistas,@ecologistas,,Ecologistas en Acción,influencer,Prominent environmental group in Madrid
SEO/BirdLife,,ESP,es,Madrid,@seo_birdlife,@SEO_BirdLife,,SEO/BirdLife,influencer,Bird conservation organization in Spain
WWF España,,ESP,es,Madrid,@wwfespana,@WWFespana,,WWF,influencer,Global conservation organization with local presence
Fundación Biodiversidad,,ESP,es,Madrid,@fundacionbiodiversidad,not_sure,,Fundación Biodiversidad,influencer,Supports biodiversity projects in Spain
Reforest Project,,ESP,es,Madrid,@reforestproject,not_sure,,Reforest Project,influencer,Focuses on reforestation efforts in Spain
Fridays For Future España,,ESP,es,Madrid,@fridaysforfuture.es,@fff_es,,Fridays For Future,influencer,Youth climate movement in Spain
Asociación Española de Educación Ambiental,,ESP,es,Madrid,@educacionambiental,not_sure,,AEEA,influencer,Promotes environmental education in Spain
Amigos de la Tierra España,,ESP,es,Madrid,@amigosdelatierraspain,@AmigosTierraEsp,,Amigos de la Tierra,influencer,Environmental justice organization in Spain
Fundación Global Nature,,ESP,es,Madrid,@fundacionglobalnature,not_sure,,Fundación Global Nature,influencer,Conservation and biodiversity projects in Spain
Climate Reality España,,ESP,es,Madrid,@climaterealityesp,not_sure,,Climate Reality Project,influencer,Climate change education and advocacy
Fundación Renovables,,ESP,es,Madrid,@fundacionrenovables,not_sure,,Fundación Renovables,influencer,Promotes renewable energy in Spain
Greenpeace Youth España,,ESP,es,Madrid,@greenpeaceyouth_esp,not_sure,,Greenpeace Youth,influencer,Youth branch of Greenpeace in Spain
Alianza por el Clima,,ESP,es,Madrid,@alianzaporelclima,not_sure,,Alianza por el Clima,influencer,Coalition for climate action in Spain
CeroCO2,,ESP,es,Madrid,@ceroco2,not_sure,,CeroCO2,influencer,Carbon footprint reduction initiative
Fundación Ecología y Desarrollo,,ESP,es,Madrid,@ecodes_org,@ecodes,,Ecodes,influencer,Sustainable development projects in Spain
Asociación Vida Sana,,ESP,es,Madrid,@vidasana_org,not_sure,,Vida Sana,influencer,Promotes organic farming and healthy living
Observatorio de la Sostenibilidad,,ESP,es,Madrid,@os_sostenibilidad,not_sure,,Observatorio de la Sostenibilidad,influencer,Monitors sustainability in Spain
Fundación Félix Rodríguez de la Fuente,,ESP,es,Madrid,@fundacionfelix,@FundacionFelix,,Fundación Félix Rodríguez de la Fuente,influencer,Conservation and wildlife protection
Asociación para la Defensa de la Naturaleza,,ESP,es,Madrid,@adenaturaleza,not_sure,,ADENA,influencer,Nature conservation advocacy
Fundación Oso Pardo,,ESP,es,Madrid,@fundacionosopardo,@fundacionoso,,Fundación Oso Pardo,influencer,Brown bear conservation in Spain
Asociación Española de Entomología,,ESP,es,Madrid,@entomologia_esp,not_sure,,AEE,influencer,Promotes entomology and insect conservation
