name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Friends of the Earth,,GBR,en,London,@friends_earth,@friends_earth,,,other,Environmental NGO with London campaigns
Greenpeace UK,,GBR,en,London,@greenpeaceuk,@GreenpeaceUK,,,other,Active in climate and nature protection
WWF UK,,GBR,en,London,@wwf_uk,@wwf_uk,,,other,Focus on biodiversity and climate
London Wildlife Trust,,GBR,en,London,@londonwildlifetrust,@WildLondon,,,other,Conserves urban nature in London
Extinction Rebellion UK,,GBR,en,London,@extinctionrebellion,@ExtinctionR,,,other,Climate activism group with London presence
Royal Society for the Protection of Birds,,GBR,en,London,@rspb_love_nature,@Natures_Voice,,,other,Focus on bird conservation in UK
The Climate Coalition,,GBR,en,London,@theclimatecoalition,@ClimateCrisis,,,other,UK's largest climate action group
ClientEarth,,GBR,en,London,@clientearth,@ClientEarth,,,other,Environmental lawyers based in London
ZSL London Zoo,,GBR,en,London,@zsllondonzoo,@zsllondonzoo,,,other,Conservation and education in London
The Wildlife Trusts,,GBR,en,London,@wildlifetrusts,@WildlifeTrusts,,,other,Network of UK nature conservation charities
Green Alliance,,GBR,en,London,@green_alliance_uk,@GreenAllianceUK,,,other,Environmental think tank in London
Sustain: The Alliance for Better Food and Farming,,GBR,en,London,@sustain_uk,@UKSustain,,,other,Promotes sustainable food in London
UK Youth Climate Coalition,,GBR,en,London,@ukycc,@ukycc,,,other,Youth-led climate action group
The Conservation Volunteers,,GBR,en,London,@tcv_community,@TCVtweets,,,other,Engages communities in conservation
London Sustainability Exchange,,GBR,en,London,@londonsustainabilityexchange,not_found,,,other,Promotes sustainable living in London
Global Witness,,GBR,en,London,@global_witness,@Global_Witness,,,other,Investigates environmental abuses worldwide
The Woodland Trust,,GBR,en,London,@woodlandtrust,@WoodlandTrust,,,other,UK's largest woodland conservation charity
Carbon Trust,,GBR,en,London,@carbontrust,@thecarbontrust,,,other,Helps businesses reduce carbon emissions
The Elders,,GBR,en,London,@theelders_org,@TheElders,,,other,Global leaders promoting peace and human rights
Peace Direct,,GBR,en,London,@peacedirect,@peacedirect,,,other,Supports local peacebuilding efforts
International Alert,,GBR,en,London,@international_alert,@intalert,,,other,Works to build peace in conflict areas
Chatham House,,GBR,en,London,@chathamhouse,@ChathamHouse,,,other,International affairs think tank
Royal United Services Institute,,GBR,en,London,@rusi_org,@RUSI_org,,,other,Defense and security think tank
The Centre for Alternative Technology,,GBR,en,London,@centreforalternativetechnology,not_found,,,other,Promotes sustainable technologies
The Soil Association,,GBR,en,London,@soilassociation,@SoilAssociation,,,other,Promotes organic farming and food
The Climate Group,,GBR,en,London,@climategroup,@ClimateGroup,,,other,Accelerates climate action globally
