name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Africa,,COD,en,Kinshasa,@greenpeaceafrica,@GreenpeaceAfr,,,ngo,Environmental advocacy in DRC
WWF DRC,,COD,en,Kinshasa,@wwf_drc,@WWF_DRC,,,ngo,Biodiversity conservation in DRC
Rainforest Foundation UK,,COD,en,Kinshasa,@rainforestfoundationuk,@RFUK,,,ngo,Protects rainforests and indigenous rights
Congolese Environmental Network,,COD,en,Kinshasa,@congolese_environmental_network,not_sure,,,ngo,Local environmental initiatives
African Wildlife Foundation,,COD,en,Kinshasa,@africanwildlifefoundation,@AWF_Official,,,ngo,Wildlife conservation across Africa
Global Witness,,COD,en,Kinshasa,@global_witness,@Global_Witness,,,ngo,Investigates environmental abuses
Friends of the Congo,,COD,en,Kinshasa,@friendsofthecongo,@CongoFriends,,,ngo,Advocates for peace and justice
Congo Basin Forest Partnership,,COD,en,Kinshasa,@cbfp_cpf,not_sure,,,ngo,Promotes sustainable forest management
Nature Conservancy Africa,,COD,en,Kinshasa,@nature_africa,@nature_org,,,ngo,Conservation projects in Africa
International Crisis Group,,COD,en,Kinshasa,@crisisgroup,@CrisisGroup,,,ngo,Conflict prevention and resolution
Friends of the Congo,,COD,en,Kinshasa,@congofriends,@CongoFriends,,,ngo,Promotes peace and justice
Conservation International,,COD,en,Kinshasa,@conservationorg,@ConservationOrg,,,ngo,Focus on nature conservation
Wildlife Conservation Society,,COD,en,Kinshasa,@thewcs,@TheWCS,,,ngo,Protects wildlife and habitats
Human Rights Watch,,COD,en,Kinshasa,@humanrightswatch,@hrw,,,ngo,Monitors human rights issues
Oxfam International,,COD,en,Kinshasa,@oxfaminternational,@Oxfam,,,ngo,Works on poverty and justice
Amnesty International,,COD,en,Kinshasa,@amnesty,@amnesty,,,ngo,Focus on human rights advocacy
CARE International,,COD,en,Kinshasa,@careorg,@CARE,,,ngo,Works on humanitarian aid
Save the Children DRC,,COD,en,Kinshasa,@savethechildren,@save_children,,,ngo,Focus on children's rights
ActionAid DRC,,COD,en,Kinshasa,@actionaid,@ActionAid,,,ngo,Works on social justice
Plan International DRC,,COD,en,Kinshasa,@planinternational,@PlanGlobal,,,ngo,Focus on children's rights and equality
World Vision DRC,,COD,en,Kinshasa,@worldvision,@WorldVision,,,ngo,Works on child protection
Médecins Sans Frontières DRC,,COD,en,Kinshasa,@doctorswithoutborders,@MSF,,,ngo,Provides medical aid
International Rescue Committee DRC,,COD,en,Kinshasa,@theirc,@RESCUEorg,,,ngo,Focus on humanitarian aid
Catholic Relief Services DRC,,COD,en,Kinshasa,@catholicreliefservices,@CatholicRelief,,,ngo,Works on poverty alleviation
Caritas Congo,,COD,en,Kinshasa,@caritasint,not_sure,,,ngo,Focus on social services
SOS Children's Villages DRC,,COD,en,Kinshasa,@soschildrensvillages,@sos_children,,,ngo,Supports orphaned children
Heifer International DRC,,COD,en,Kinshasa,@heiferinternational,@Heifer,,,ngo,Focus on sustainable agriculture
Mercy Corps DRC,,COD,en,Kinshasa,@mercycorps,@mercycorps,,,ngo,Works on economic development
World Food Programme DRC,,COD,en,Kinshasa,@worldfoodprogramme,@WFP,,,ngo,Focus on hunger relief
UNICEF DRC,,COD,en,Kinshasa,@unicef,@UNICEF,,,ngo,Focus on children's welfare
UNHCR DRC,,COD,en,Kinshasa,@refugees,@Refugees,,,ngo,Supports refugees
FAO DRC,,COD,en,Kinshasa,@fao,@FAO,,,ngo,Focus on food security
UNDP DRC,,COD,en,Kinshasa,@undp,@UNDP,,,ngo,Works on sustainable development
IUCN DRC,,COD,en,Kinshasa,@iucn_org,not_sure,,,ngo,Focus on nature conservation
African Parks,,COD,en,Kinshasa,@africanparksnetwork,@AfricanParks,,,ngo,Manages national parks
Jane Goodall Institute,,COD,en,Kinshasa,@janegoodallinst,@JaneGoodallInst,,,ngo,Focus on wildlife conservation
WildAid,,COD,en,Kinshasa,@wildaid,@WildAid,,,ngo,Works on wildlife protection
BirdLife International,,COD,en,Kinshasa,@birdlife_international,@BirdLife_News,,,ngo,Focus on bird conservation
The Forest Trust,,COD,en,Kinshasa,@earthwormfoundation,@earthworm_fnd,,,ngo,Works on sustainable forestry
Environmental Investigation Agency,,COD,en,Kinshasa,@eiaglobal,@EIA_News,,,ngo,Investigates environmental crimes
The Climate Group,,COD,en,Kinshasa,@climategroup,@ClimateGroup,,,ngo,Focus on climate action
350.org,,COD,en,Kinshasa,@350org,@350,,,ngo,Works on climate change awareness
Earth Day Network,,COD,en,Kinshasa,@earthdaynetwork,@EarthDay,,,ngo,Promotes environmental protection
Green Climate Fund,,COD,en,Kinshasa,@greenclimatefund,@GCF_News,,,ngo,Focus on climate finance
Climate Reality Project,,COD,en,Kinshasa,@climatereality,@ClimateReality,,,ngo,Focus on climate education
Rainforest Action Network,,COD,en,Kinshasa,@ran,@RAN,,,ngo,Works on rainforest protection
The Sierra Club,,COD,en,Kinshasa,@sierraclub,@SierraClub,,,ngo,Focus on environmental advocacy
Natural Resources Defense Council,,COD,en,Kinshasa,@nrdc_org,@NRDC,,,ngo,Focus on environmental protection
Environmental Defense Fund,,COD,en,Kinshasa,@edf_earth,@EnvDefenseFund,,,ngo,Focus on climate solutions
Union of Concerned Scientists,,COD,en,Kinshasa,@unionofconcernedscientists,@UCSUSA,,,ngo,Focus on science-based advocacy
