name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Emirates Environmental Group,,ARE,en,Dubai,@emiratesenvironmentalgroup,not_sure,,,ngo,Prominent environmental NGO in UAE
Dubai Cares,,ARE,en,Dubai,@dubaicares,not_sure,,,ngo,Focuses on education and sustainability
Emirates Nature-WWF,,ARE,en,Dubai,@ews_wwf,not_sure,,,ngo,Conservation and environmental protection
Gulf for Good,,ARE,en,Dubai,@gulfforgood,not_sure,,,ngo,Supports children and environment projects
Clean Energy Business Council,,ARE,en,Dubai,@cebc_uae,not_sure,,,ngo,Promotes clean energy solutions
Arab Youth Climate Movement,,ARE,en,Dubai,@aycmuae,not_sure,,,ngo,Youth-led climate action group
Dubai International Humanitarian City,,ARE,en,Dubai,@humanitariancity,not_sure,,,ngo,Hub for humanitarian aid and relief
Dubai Foundation for Women and Children,,ARE,en,Dubai,@dfwac,not_sure,,,ngo,Supports vulnerable women and children
Al Ihsan Charity Association,,ARE,en,Dubai,@alihsancharity,not_sure,,,ngo,Provides aid to low-income families
Friends of Cancer Patients,,ARE,en,Dubai,@focp_uae,not_sure,,,ngo,Cancer awareness and support
Dubai Autism Center,,ARE,en,Dubai,@dubaiautism,not_sure,,,ngo,Support and awareness for autism
Al Noor Training Centre,,ARE,en,Dubai,@alnooruae,not_sure,,,ngo,Empowers children with special needs
Emirates Red Crescent,,ARE,en,Dubai,@emiratesrc,not_sure,,,ngo,Humanitarian aid and relief organization
Dubai Charity Association,,ARE,en,Dubai,@dubaicharityassociation,not_sure,,,ngo,Charity and community support
Make A Wish UAE,,ARE,en,Dubai,@makeawishuae,not_sure,,,ngo,Grants wishes to children with critical illnesses
Emirates Down Syndrome Association,,ARE,en,Dubai,@emiratesdsa,not_sure,,,ngo,Support for individuals with Down syndrome
Senses Residential and Day Care,,ARE,en,Dubai,@sensesdubai,not_sure,,,ngo,Care for people with special needs
Dubai Center for Special Needs,,ARE,en,Dubai,@dcsn_uae,not_sure,,,ngo,Education and therapy for special needs
Al Jalila Foundation,,ARE,en,Dubai,@aljalilafoundation,not_sure,,,ngo,Medical research and education
Zayed Sustainability Prize,,ARE,en,Dubai,@zayedsustainabilityprize,not_sure,,,ngo,Promotes sustainability and innovation
Dubai Future Foundation,,ARE,en,Dubai,@dubaifuture,not_sure,,,ngo,Focuses on future technologies and sustainability
Dubai Carbon Centre of Excellence,,ARE,en,Dubai,@dubaicarbon,not_sure,,,ngo,Carbon reduction and sustainability initiatives
Dubai Sustainable City,,ARE,en,Dubai,@thesustainablecity,not_sure,,,ngo,Promotes sustainable living practices
Greenpeace Middle East,,ARE,en,Dubai,@greenpeacearabia,@GreenpeaceMENA,,,ngo,Environmental activism and awareness
Dubai Municipality Environment Department,,ARE,en,Dubai,@dubaimunicipality,@DMunicipality,,,ngo,Environmental protection and sustainability
Arabian Wildlife Center,,ARE,en,Dubai,@arabianwildlifecenter,not_found,,,ngo,Wildlife conservation and education
Dubai Desert Conservation Reserve,,ARE,en,Dubai,@ddcr_uae,not_sure,,,ngo,Desert conservation and wildlife protection
The Green Sheikh,,ARE,en,Dubai,@greensheikh,not_sure,,,ngo,Environmental advocacy and education
Dubai Turtle Rehabilitation Project,,ARE,en,Dubai,@dubaiturtles,not_found,,,ngo,Marine conservation and turtle rehabilitation
Dubai Astronomy Group,,ARE,en,Dubai,@dubaiastronomy,@dubaiastronomy,,,ngo,Astronomy and space education
Dubai Science Park,,ARE,en,Dubai,@dubaisciencepark,not_found,,,ngo,Science and innovation hub
Dubai International Film Festival,,ARE,en,Dubai,@dubaifilm,not_found,,,ngo,Promotes cultural exchange and awareness
Dubai Culture & Arts Authority,,ARE,en,Dubai,@dubaiculture,@DubaiCulture,,,ngo,Cultural heritage and arts promotion
Dubai Opera,,ARE,en,Dubai,@dubaiopera,@DubaiOpera,,,ngo,Cultural and artistic performances
Dubai International Art Centre,,ARE,en,Dubai,@dubaiartcentre,not_found,,,ngo,Art education and exhibitions
Dubai Design District,,ARE,en,Dubai,@d3dubai,@d3Dubai,,,ngo,Design and innovation community
Dubai Institute of Design and Innovation,,ARE,en,Dubai,@didi_dubai,not_found,,,ngo,Design education and innovation
Dubai International Financial Centre,,ARE,en,Dubai,@difc,@DIFC,,,ngo,Financial hub with sustainability focus
Dubai Chamber of Commerce,,ARE,en,Dubai,@dubaichamber,@DubaiChamber,,,ngo,Business community with sustainability initiatives
Dubai Health Authority,,ARE,en,Dubai,@dha_dubai,@DHA_Dubai,,,ngo,Public health and wellness programs
Dubai Sports Council,,ARE,en,Dubai,@dubaisc,@DubaiSC,,,ngo,Promotes sports and healthy living
Dubai Women Establishment,,ARE,en,Dubai,@dwe_uae,not_found,,,ngo,Empowers women in various sectors
Dubai Youth Council,,ARE,en,Dubai,@dubaicouncil,not_sure,,,ngo,Youth empowerment and leadership
Dubai SME,,ARE,en,Dubai,@dubaisme,@DubaiSME,,,ngo,Supports small and medium enterprises
Dubai Knowledge Park,,ARE,en,Dubai,@dubaiknowledgepark,@DKP_UAE,,,ngo,Education and training hub
Dubai International Academic City,,ARE,en,Dubai,@diacedu,@DIAC_UAE,,,ngo,Higher education and research
Dubai Healthcare City,,ARE,en,Dubai,@dhccuae,@DHCC_UAE,,,ngo,Healthcare and medical research
Dubai Science Club,,ARE,en,Dubai,@dubaiscienceclub,not_found,,,ngo,Science education and outreach
Clean Up UAE,,ARE,en,Dubai,@cleanupuae,not_sure,,,ngo,Annual environmental clean-up initiative
Dubai International Humanitarian City,,ARE,en,Dubai,@ihc_uae,@IHC_UAE,,,ngo,Hub for humanitarian aid and relief
Dubai Sustainable Tourism,,ARE,en,Dubai,@dubaisustainabletourism,not_sure,,,ngo,Promotes eco-friendly tourism practices
Emirates Diving Association,,ARE,en,Dubai,@emiratesdivingassociation,@EDA_UAE,,,ngo,Marine conservation and diving safety
Al Ihsan Charity Association,,ARE,en,Dubai,@alihsan_charity,not_sure,,,ngo,Charity focusing on community support
Friends of Cancer Patients,,ARE,en,Dubai,@focpuae,@focpuae,,,ngo,Supports cancer patients and awareness
Zayed International Foundation for the Environment,,ARE,en,Dubai,@zayedprize,not_sure,,,ngo,Promotes environmental sustainability
Rashid Centre for People of Determination,,ARE,en,Dubai,@rashidc4pd,@RashidC4PD,,,ngo,Supports individuals with special needs
Emirates Green Building Council,,ARE,en,Dubai,@emiratesgbc,@EmiratesGBC,,,ngo,Promotes sustainable building practices
Dubai Police,,ARE,en,Dubai,@dubaipolicehq,@DubaiPoliceHQ,,,ngo,Community safety and security programs
Dubai Electricity and Water Authority,,ARE,en,Dubai,@dewaofficial,@DEWAOfficial,,,ngo,Promotes sustainable energy solutions
Dubai Silicon Oasis Authority,,ARE,en,Dubai,@dubaisiliconoasis,@dsoafz,,,ngo,Promotes tech and sustainable development
Dubai Land Department,,ARE,en,Dubai,@dubailanddepartment,@DubaiLandDept,,,ngo,Regulates real estate and urban planning
Dubai Airports,,ARE,en,Dubai,@dubaiairports,@DubaiAirports,,,ngo,Sustainability in aviation industry
Dubai Science Park,,ARE,en,Dubai,@dubaibiotech,not_sure,,,ngo,Focuses on science and sustainability
Dubai Media City,,ARE,en,Dubai,@dubaimediacity,@DubaiMediaCity,,,ngo,Media hub with environmental initiatives
Dubai Internet City,,ARE,en,Dubai,@dubaidigitalpark,not_sure,,,ngo,Tech hub promoting digital sustainability
Dubai Maritime City Authority,,ARE,en,Dubai,@dmcauae,@DMCAUAE,,,ngo,Regulates maritime industry and sustainability
Dubai South,,ARE,en,Dubai,@dubaisouth,@DubaiSouth,,,ngo,Urban development with green initiatives
Dubai Festival City,,ARE,en,Dubai,@dubaifestivalcity,not_sure,,,ngo,Community with sustainability projects
Dubai World Trade Centre,,ARE,en,Dubai,@dwtc,@DWTCOfficial,,,ngo,Hosts events with sustainability focus
Dubai Creek Harbour,,ARE,en,Dubai,@dubai_creek_harbour,not_sure,,,ngo,Urban development with eco-friendly design
Dubai Marina,,ARE,en,Dubai,@dubaimarina,not_sure,,,ngo,Community with environmental initiatives
Clean Energy Business Council,,ARE,en,Dubai,@cleanenergybusinesscouncil,not_sure,,,ngo,Promotes clean energy initiatives
Dubai Green Economy Partnership,,ARE,en,Dubai,@dubaigreen,not_sure,,,ngo,Promotes green economy initiatives
International Center for Biosaline Agriculture,,ARE,en,Dubai,@icba_uae,@ICBA_UAE,,,ngo,Research on sustainable agriculture
Bee'ah,,ARE,en,Dubai,@beeahuae,@BeeahUAE,,,ngo,Environmental management company
Dubai Desert Conservation Reserve,,ARE,en,Dubai,@ddcr,not_sure,,,ngo,Conserves desert wildlife
Dubai Expo 2020 Sustainability Pavilion,,ARE,en,Dubai,@expo2020dubai,@expo2020dubai,,,ngo,Showcases sustainable innovations
Dubai Maritime City Authority,,ARE,en,Dubai,@dubaimaritimecity,not_sure,,,ngo,Promotes sustainable maritime practices
Dubai Civil Defence Environmental Safety,,ARE,en,Dubai,@dubaicivildefence,not_sure,,,ngo,Focus on environmental safety
Dubai Roads and Transport Authority (RTA),,ARE,en,Dubai,@rta_dubai,@rta_dubai,,,ngo,Promotes sustainable transport solutions
Dubai Holding Sustainability Programs,,ARE,en,Dubai,@dubaiholding,not_sure,,,ngo,Investment group with green initiatives
Dubai Investment Park Environmental Programs,,ARE,en,Dubai,@dubaiparksresorts,not_sure,,,ngo,Industrial hub with sustainability focus
Emirates Environmental Group,,ARE,en,Dubai,@eegemirates,not_sure,,,ngo,Promotes environmental awareness in UAE
Al Noor Training Centre,,ARE,en,Dubai,@alnoortrainingcentre,not_sure,,,ngo,Empowers children with special needs
Dubai Autism Center,,ARE,en,Dubai,@dubaiautismcenter,not_sure,,,ngo,Supports autism awareness and education
The Green Planet,,ARE,en,Dubai,@thegreenplanetdubai,not_sure,,,ngo,Biodome promoting biodiversity education
Dubai Women's Association,,ARE,en,Dubai,@dwa_uae,not_sure,,,ngo,Empowers women through various initiatives
Dubai Internet City,,ARE,en,Dubai,@dubaidigital,not_sure,,,ngo,Promotes digital innovation and sustainability
Dubai International Arbitration Centre,,ARE,en,Dubai,@diac_uae,not_sure,,,ngo,Promotes peaceful conflict resolution
Dubai International Financial Centre Courts,,ARE,en,Dubai,@difccourts,not_sure,,,ngo,Focus on legal sustainability
Dubai International Humanitarian Aid & Development,,ARE,en,Dubai,@dihad_uae,not_sure,,,ngo,Humanitarian aid and development
Dubai International Peace Convention,,ARE,en,Dubai,@peaceconvention,not_sure,,,ngo,Promotes peace and conflict resolution
Dubai International Project Management Forum,,ARE,en,Dubai,@dipmf,not_sure,,,ngo,Focus on sustainable project management
Dubai International Sports Conference,,ARE,en,Dubai,@discdubai,not_sure,,,ngo,Promotes sports and sustainability
Dubai International Transport Congress & Exhibition,,ARE,en,Dubai,@ditcexpo,not_sure,,,ngo,Focus on sustainable transport
Dubai International Wood & Wood Machinery Show,,ARE,en,Dubai,@dubaiwoodshow,not_sure,,,ngo,Promotes sustainable forestry practices
Dubai Islamic Economy Development Centre,,ARE,en,Dubai,@diedc,not_sure,,,ngo,Focus on sustainable economic practices
Dubai Judicial Institute,,ARE,en,Dubai,@dji_uae,not_sure,,,ngo,Promotes legal education and sustainability
Dubai Media Incorporated,,ARE,en,Dubai,@dubaimediainc,not_sure,,,ngo,Focus on media and sustainability
Dubai Naturalisation and Residency Department,,ARE,en,Dubai,@dnrd_uae,not_sure,,,ngo,Focus on sustainable immigration practices
