name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fundación Natura Colombia,,COL,es,Bogota,@fundacionnaturacolombia,not_sure,,Fundación Natura,other,Conservation and biodiversity NGO in Bogotá
Red de Jóvenes de Ambiente,,COL,es,Bogota,@redjovenesambiente,not_sure,,Red de Jóvenes de Ambiente,other,Youth network for environmental action
CEMPRE Colombia,,COL,es,Bogota,@cemprecolombia,not_sure,,CEMPRE,other,Promotes recycling and sustainability
WWF Colombia,,COL,es,Bogota,@wwfcolombia,@WWFColombia,,WWF,other,Global conservation organization with Bogotá presence
Greenpeace Colombia,,COL,es,Bogota,@greenpeacecolombia,@GreenpeaceCol,,Greenpeace,other,Environmental activism and campaigns
Instituto Humboldt,,COL,es,Bogota,@institutohumboldt,@Inst_Humboldt,,Instituto Humboldt,other,Research on biodiversity and ecosystems
Parques Nacionales Naturales de Colombia,,COL,es,Bogota,@parquescolombia,@ParquesColombia,,Parques Nacionales,other,Manages national parks and conservation areas
Colombia Climática,,COL,es,Bogota,@colombiaclimatica,not_sure,,Colombia Climática,other,Focus on climate change education
C40 Cities Bogotá,,COL,es,Bogota,@c40cities,@c40cities,,C40 Cities,other,Global network of cities tackling climate change
Fundación Cerros de Bogotá,,COL,es,Bogota,@cerrosdebogota,not_sure,,Fundación Cerros de Bogotá,other,Protects Bogotá's surrounding hills
Red de Mujeres Ambientalistas,,COL,es,Bogota,@redmujeresambientalistas,not_sure,,Red de Mujeres Ambientalistas,other,Women-led environmental advocacy
EcoPetrol,,COL,es,Bogota,@ecopetrolsa,@ECOPETROL_SA,,EcoPetrol,other,National oil company with sustainability initiatives
Fundación Al Verde Vivo,,COL,es,Bogota,@alverdevivo,not_sure,,Fundación Al Verde Vivo,other,Promotes urban agriculture and green spaces
Bogotá Cómo Vamos,,COL,es,Bogota,@bogotacomovamos,@BogotaComoVamos,,Bogotá Cómo Vamos,other,Monitors city development and sustainability
Fundación Humedales Bogotá,,COL,es,Bogota,@humedalesbogota,not_sure,,Fundación Humedales Bogotá,other,Conserves urban wetlands
Cámara de Comercio de Bogotá,,COL,es,Bogota,@camaracomerciobogota,@camaracomerbog,,Cámara de Comercio de Bogotá,other,Supports sustainable business practices
Universidad de los Andes,,COL,es,Bogota,@uniandes,@Uniandes,,Universidad de los Andes,other,Research on climate and sustainability
Universidad Nacional de Colombia,,COL,es,Bogota,@unalcolombia,@UNColombia,,Universidad Nacional de Colombia,other,Environmental research and education
Fundación Gilberto Alzate Avendaño,,COL,es,Bogota,@fgaa_bogota,not_sure,,Fundación Gilberto Alzate Avendaño,other,Cultural and environmental projects
Corporación Autónoma Regional de Cundinamarca,,COL,es,Bogota,@car_cundinamarca,@CAR_Cundi,,CAR Cundinamarca,other,Regional environmental authority
Fundación Planeta Azul,,COL,es,Bogota,@fundacionplanetaazul,not_sure,,Fundación Planeta Azul,other,Water conservation and education
