name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Emirates Nature-WWF,,ARE,en,Dubai,@ews_wwf,not_sure,,,other,Leading environmental NGO in UAE
Dubai Future Foundation,,ARE,en,Dubai,@dubaifuture,@DubaiFuture,,,other,Promotes sustainable innovation in Dubai
Dubai Municipality,,ARE,en,Dubai,@dubaimunicipality,@DMunicipality,,,other,Oversees city environmental policies
Dubai Carbon Centre of Excellence,,ARE,en,Dubai,@dubaicarbon,not_found,,,other,Focuses on carbon reduction initiatives
The Sustainable City,,ARE,en,Dubai,@thesustainablecity,@SustainableCity,,,other,Eco-friendly residential community
Dubai Electricity and Water Authority (DEWA),,ARE,en,Dubai,@dewaofficial,@DEWAOfficial,,,other,Promotes sustainable energy solutions
Dubai International Humanitarian City,,ARE,en,Dubai,@ihc_uae,@IHC_UAE,,,other,Supports global humanitarian efforts
Arab Youth Climate Movement,,ARE,en,Dubai,@aycmuae,not_sure,,,other,Youth-led climate action group
Clean Energy Business Council,,ARE,en,Dubai,@cebc_uae,@CEBC_UAE,,,other,Promotes clean energy in MENA region
Dubai Chamber Sustainability Network,,ARE,en,Dubai,@dubaichamber,@DubaiChamber,,,other,Business network for sustainability
Gulf for Good,,ARE,en,Dubai,@gulfforgood,@GulfForGood,,,other,Charity supporting global causes
Emirates Environmental Group,,ARE,en,Dubai,@emirateseg,@EmiratesEG,,,other,Environmental awareness and action group
Dubai Expo 2020 Sustainability Pavilion,,ARE,en,Dubai,@expo2020dubai,@expo2020dubai,,,other,Showcases sustainable innovations
Middle East Solar Industry Association,,ARE,en,Dubai,@mesia_me,@MESIA_ME,,,other,Advocates for solar energy adoption
Dubai Cares,,ARE,en,Dubai,@dubaicares,@DubaiCares,,,other,Focuses on education and development
Greenpeace Middle East and North Africa,,ARE,en,Dubai,@greenpeace_mena,@GreenpeaceMENA,,,other,Environmental activism in MENA
International Renewable Energy Agency (IRENA),,ARE,en,Dubai,@irenaimages,@IRENA,,,other,Promotes global renewable energy
Dubai Sustainable Tourism,,ARE,en,Dubai,@dubaitourism,@DubaiTourism,,,other,Promotes eco-friendly tourism
Dubai Science Park,,ARE,en,Dubai,@dubaisciencepark,@DubaiScienceP,,,other,Supports sustainable science initiatives
Dubai Green Economy Partnership,,ARE,en,Dubai,@greeneconomyuae,not_sure,,,other,Promotes green economy initiatives
Dubai Desert Conservation Reserve,,ARE,en,Dubai,@ddcr_official,not_sure,,,other,Conserves desert biodiversity
Dubai Centre for Risk and Innovation,,ARE,en,Dubai,@dcri_dubai,not_sure,,,other,Focuses on risk management and innovation
Dubai International Financial Centre (DIFC),,ARE,en,Dubai,@difc,@DIFC,,,other,Supports sustainable finance initiatives
Dubai Climate Change Conference,,ARE,en,Dubai,@dubaiclimatechange,not_sure,,,other,Hosts climate change discussions
Dubai Youth Council,,ARE,en,Dubai,@dubaicouncil,not_sure,,,other,Engages youth in civic initiatives
Dubai International Peace Convention,,ARE,en,Dubai,@dubaiconvention,not_sure,,,other,Promotes peace and dialogue
Dubai Institute of Design and Innovation,,ARE,en,Dubai,@didi_dubai,@DIDIDubai,,,other,Focuses on sustainable design
Dubai International Humanitarian Aid & Development Conference,,ARE,en,Dubai,@dihae_dubai,not_sure,,,other,Discusses humanitarian aid strategies
Dubai International Academic City,,ARE,en,Dubai,@diac_uae,not_sure,,,other,Promotes academic research on sustainability
