name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Japan,,JPN,ja,Tokyo,@greenpeacejp,@greenpeaceJP,,,ngo,Environmental protection and climate action
WWF Japan,,JPN,ja,Tokyo,@wwfjapan,@WWFJapan,,,ngo,Nature conservation and biodiversity
Friends of the Earth Japan,,JPN,ja,Tokyo,@foejapan,@foejapan,,,ngo,Focus on climate and energy issues
Japan Environmental Action Network (JEAN),,JPN,ja,Tokyo,@jean_japan,not_sure,,,ngo,Marine and coastal environment protection
Peace Boat,,JPN,ja,Tokyo,@peaceboatofficial,@PeaceBoat,,,ngo,Peace and sustainability education
Japan Climate Initiative,,JPN,ja,Tokyo,@japanclimateinitiative,not_sure,,,ngo,Climate action network in Japan
Institute for Sustainable Energy Policies (ISEP),,JPN,ja,Tokyo,@isep_japan,not_sure,,,ngo,Renewable energy advocacy
Japan Center for a Sustainable Environment and Society (JACSES),,JPN,ja,Tokyo,@jacses_japan,not_sure,,,ngo,Environmental policy and advocacy
Tokyo Urban Permaculture,,JPN,ja,Tokyo,@tokyourbanpermaculture,not_sure,,,ngo,Urban sustainability and permaculture
350.org Japan,,JPN,ja,Tokyo,@350japan,@350Japan,,,ngo,Climate change activism
Japan Youth Platform for Sustainability,,JPN,ja,Tokyo,@japan_yps,not_sure,,,ngo,Youth-led sustainability initiatives
Citizens' Nuclear Information Center,,JPN,ja,Tokyo,@cnicjapan,not_sure,,,ngo,Nuclear energy and safety advocacy
Japan Association for Refugees,,JPN,ja,Tokyo,@japanrefugees,not_sure,,,ngo,Support for refugees and asylum seekers
Human Rights Now,,JPN,ja,Tokyo,@humanrightsnow,not_sure,,,ngo,Human rights advocacy and education
Japan NGO Center for International Cooperation (JANIC),,JPN,ja,Tokyo,@janic_japan,not_sure,,,ngo,International cooperation and development
Green Earth Network,,JPN,ja,Tokyo,@greenearthnetwork,not_sure,,,ngo,Environmental conservation and education
Japan Wildlife Conservation Society,,JPN,ja,Tokyo,@jwcs_japan,not_sure,,,ngo,Wildlife protection and conservation
Japan Civil Network for Disaster Relief in East Japan,,JPN,ja,Tokyo,@jcn_japan,not_sure,,,ngo,Disaster relief and recovery
Tokyo River Friends,,JPN,ja,Tokyo,@tokyoriverfriends,not_sure,,,ngo,River clean-up and conservation
Japan International Volunteer Center,,JPN,ja,Tokyo,@jivc_japan,not_sure,,,ngo,International volunteer projects and aid
Japan Environmental Education Forum,,JPN,ja,Tokyo,@jeef_japan,not_sure,,,ngo,Environmental education and awareness
Tokyo Green Space,,JPN,ja,Tokyo,@tokyogreenspace,not_sure,,,ngo,Urban green space advocacy
Japan Network for Climate Change Actions,,JPN,ja,Tokyo,@jncca_japan,not_sure,,,ngo,Climate change policy and action
Japan Biodiversity Fund,,JPN,ja,Tokyo,@japanbiodiversityfund,not_sure,,,ngo,Biodiversity conservation and funding
Tokyo Peace Film Festival,,JPN,ja,Tokyo,@tokyopeacefilm,not_sure,,,ngo,Peace and conflict resolution through film
Japan Organic Agriculture Association,,JPN,ja,Tokyo,@joaa_japan,not_sure,,,ngo,Promotion of organic farming practices
Tokyo Environmental Information Center,,JPN,ja,Tokyo,@tokyoeic,not_sure,,,ngo,Environmental information and resources
Japan Society for International Development,,JPN,ja,Tokyo,@jsid_japan,not_sure,,,ngo,International development and cooperation
Tokyo Sustainability Forum,,JPN,ja,Tokyo,@tokyosustainabilityforum,not_sure,,,ngo,Sustainability discussions and initiatives
Japan Water Forum,,JPN,ja,Tokyo,@japanwaterforum,not_sure,,,ngo,Water resource management and policy
Tokyo Climate Action Network,,JPN,ja,Tokyo,@tokyoclimatenetwork,not_sure,,,ngo,Local climate action and advocacy
Japan Renewable Energy Foundation,,JPN,ja,Tokyo,@jref_japan,not_sure,,,ngo,Promotion of renewable energy solutions
Tokyo Peace and Justice Center,,JPN,ja,Tokyo,@tokyopeacejustice,not_sure,,,ngo,Peacebuilding and justice advocacy
Japan Ecotourism Society,,JPN,ja,Tokyo,@japanecotourism,not_sure,,,ngo,Promotion of sustainable tourism
Tokyo Environmental Design Group,,JPN,ja,Tokyo,@tokyoenvironmentaldesign,not_sure,,,ngo,Environmental design and urban planning
Japan Society for the Promotion of Science,,JPN,ja,Tokyo,@jsps_japan,not_sure,,,ngo,Scientific research and collaboration
Tokyo Green Drinks,,JPN,ja,Tokyo,@tokyogreendrinks,not_sure,,,ngo,Networking for sustainability professionals
Japan Environmental Lawyers Federation,,JPN,ja,Tokyo,@jelf_japan,not_sure,,,ngo,Environmental law and policy advocacy
Tokyo Green Building Council,,JPN,ja,Tokyo,@tokyogbc,not_sure,,,ngo,Sustainable building practices
Japan Environmental Management Association for Industry,,JPN,ja,Tokyo,@jemai_japan,not_sure,,,ngo,Environmental management in industry
Tokyo Environmental Research Institute,,JPN,ja,Tokyo,@tokyoeri,not_sure,,,ngo,Environmental research and development
Japan Society for Environmental Chemistry,,JPN,ja,Tokyo,@jsec_japan,not_sure,,,ngo,Environmental chemistry research
Tokyo Environmental Education Network,,JPN,ja,Tokyo,@tokyoeen,not_sure,,,ngo,Environmental education initiatives
Japan Society for Environmental Economics and Policy Studies,,JPN,ja,Tokyo,@jseep_japan,not_sure,,,ngo,Environmental economics and policy research
Tokyo Environmental Policy Institute,,JPN,ja,Tokyo,@tokyoepi,not_sure,,,ngo,Environmental policy analysis and advocacy
Japan Society for Environmental Restoration and Conservation,,JPN,ja,Tokyo,@jserc_japan,not_sure,,,ngo,Environmental restoration projects
Tokyo Environmental Volunteers,,JPN,ja,Tokyo,@tokyoenvironmentalvolunteers,not_sure,,,ngo,Volunteer activities for environmental causes
Japan Society for Environmental Science,,JPN,ja,Tokyo,@jses_japan,not_sure,,,ngo,Environmental science research and education
Tokyo Environmental Health Association,,JPN,ja,Tokyo,@tokyoeha,not_sure,,,ngo,Environmental health advocacy
Japan Society for Environmental Sociology,,JPN,ja,Tokyo,@jsesoc_japan,not_sure,,,ngo,Environmental sociology research
Tokyo Environmental Protection Agency,,JPN,ja,Tokyo,@tokyoepa,not_sure,,,ngo,Environmental protection and regulation
Japan Society for Environmental Technology,,JPN,ja,Tokyo,@jset_japan,not_sure,,,ngo,Environmental technology development
Tokyo Environmental Planning Group,,JPN,ja,Tokyo,@tokyoepg,not_sure,,,ngo,Environmental planning and policy
Japan Society for Environmental Toxicology,,JPN,ja,Tokyo,@jsetox_japan,not_sure,,,ngo,Environmental toxicology research
Tokyo Environmental Conservation Society,,JPN,ja,Tokyo,@tokyoecs,not_sure,,,ngo,Environmental conservation projects
Japan Society for Environmental Education,,JPN,ja,Tokyo,@jsee_japan,not_sure,,,ngo,Environmental education programs
Tokyo Environmental Science Association,,JPN,ja,Tokyo,@tokyoesa,not_sure,,,ngo,Environmental science research and advocacy
Japan Society for Environmental Microbiology,,JPN,ja,Tokyo,@jsem_japan,not_sure,,,ngo,Environmental microbiology research
Japan Society for Environmental Biotechnology,,JPN,ja,Tokyo,@jseb_japan,not_sure,,,ngo,Environmental biotechnology research
Tokyo Environmental Management Group,,JPN,ja,Tokyo,@tokyoemg,not_sure,,,ngo,Environmental management practices
Japan Society for Environmental Geology,,JPN,ja,Tokyo,@jseg_japan,not_sure,,,ngo,Environmental geology research
Tokyo Environmental Design Association,,JPN,ja,Tokyo,@tokyoeda,not_sure,,,ngo,Environmental design and architecture
Japan Society for Environmental Hydrology,,JPN,ja,Tokyo,@jseh_japan,not_sure,,,ngo,Environmental hydrology research
Tokyo Environmental Research Group,,JPN,ja,Tokyo,@tokyoerg,not_sure,,,ngo,Environmental research and studies
