name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Haribon Foundation,,PHL,tl,Manila,@haribonfoundation,not_found,,,other,Leads biodiversity conservation efforts in the Philippines
Greenpeace Philippines,,PHL,tl,Manila,@greenpeaceph,@gpph,,,other,Prominent environmental advocacy group
WWF Philippines,,PHL,tl,Manila,@wwfphl,@WWF_Philippines,,,other,Focuses on wildlife conservation and climate action
Climate Reality Project Philippines,,PHL,tl,Manila,@climaterealityph,not_sure,,,other,Advocates for climate change awareness
Philippine Red Cross,,PHL,tl,Manila,@philredcross,@philredcross,,,other,Provides disaster response and humanitarian aid
Save Philippine Seas,,PHL,tl,Manila,@savephseas,@savephseas,,,other,Marine conservation organization
Philippine Eagle Foundation,,PHL,tl,Manila,@phileaglefdn,not_found,,,other,Conserves the critically endangered Philippine Eagle
DENR - Department of Environment and Natural Resources,,PHL,tl,Manila,@denr_official,@DENROfficial,,,other,Government agency for environmental protection
Youth Strike 4 Climate Philippines,,PHL,tl,Manila,@youthstrike4climateph,not_sure,,,other,Youth-led climate action group
EcoWaste Coalition,,PHL,tl,Manila,@ecowastecoalition,not_found,,,other,Focuses on waste management and reduction
Aksyon Klima Pilipinas,,PHL,tl,Manila,@aksyonklima,not_found,,,other,Climate policy advocacy network
Philippine Movement for Climate Justice,,PHL,tl,Manila,@pmcj2010,not_sure,,,other,Advocates for climate justice and policy change
Forest Foundation Philippines,,PHL,tl,Manila,@forestfoundationph,not_found,,,other,Supports forest conservation projects
Bantay Kalikasan,,PHL,tl,Manila,@bantaykalikasan,not_found,,,other,Environmental advocacy and media group
Philippine Misereor Partnership Inc.,,PHL,tl,Manila,@pmphinc,not_found,,,other,Focuses on sustainable development and peace
Center for Environmental Concerns - Philippines,,PHL,tl,Manila,@cecphils,not_found,,,other,Environmental research and advocacy group
Mother Earth Foundation,,PHL,tl,Manila,@motherearthph,not_found,,,other,Promotes zero waste and ecological solutions
Sibol ng Agham at Teknolohiya (SIBAT),,PHL,tl,Manila,@sibatph,not_found,,,other,Focuses on sustainable agriculture and technology
Philippine Network of Environmental Journalists,,PHL,tl,Manila,@pnejofficial,not_found,,,other,Network of journalists covering environmental issues
Green Convergence Philippines,,PHL,tl,Manila,@greenconvergenceph,not_found,,,other,Coalition for environmental sustainability
Philippine Biodiversity Conservation Foundation,,PHL,tl,Manila,@philbiodiversity,not_sure,,,other,Focuses on biodiversity conservation
Tanggol Kalikasan,,PHL,tl,Manila,@tanggolkalikasan,not_sure,,,other,Environmental legal defense organization
Philippine Rural Reconstruction Movement,,PHL,tl,Manila,@prrmofficial,not_sure,,,other,Focuses on rural development and sustainability
Philippine Earth Justice Center,,PHL,tl,Manila,@earthjusticeph,not_sure,,,other,Legal advocacy for environmental protection
Philippine Partnership for the Development of Human Resources in Rural Areas,,PHL,tl,Manila,@phil_dhrra,not_sure,,,other,Focuses on rural development and empowerment
Philippine Business for Social Progress,,PHL,tl,Manila,@pbsporg,not_sure,,,other,Corporate-led social development foundation
Foundation for the Philippine Environment,,PHL,tl,Manila,@fpephils,not_sure,,,other,Supports environmental conservation projects
Philippine Center for Investigative Journalism,,PHL,tl,Manila,@pcijdotorg,@pcijdotorg,,,other,Investigative journalism on environmental issues
Philippine Institute for Environmental Planners,,PHL,tl,Manila,@piep_ph,not_sure,,,other,Professional organization for environmental planning
Philippine Society for the Study of Nature,,PHL,tl,Manila,@pssn_ph,not_sure,,,other,Promotes scientific study of nature
Philippine Association of Environmental and Occupational Health,,PHL,tl,Manila,@paeoh_ph,not_sure,,,other,Focuses on environmental and occupational health
Philippine Society of Youth Science Clubs,,PHL,tl,Manila,@psysc_official,not_sure,,,other,Youth-led science and environment organization
Philippine Society of Environmental Engineers,,PHL,tl,Manila,@psee_ph,not_sure,,,other,Professional organization for environmental engineers
Philippine Society of Environmental Science,,PHL,tl,Manila,@pses_ph,not_sure,,,other,Promotes environmental science research
Philippine Society of Environmental and Occupational Medicine,,PHL,tl,Manila,@pseom_ph,not_sure,,,other,Focuses on environmental and occupational medicine
Philippine Society of Environmental Toxicology,,PHL,tl,Manila,@pset_ph,not_sure,,,other,Focuses on environmental toxicology research
Philippine Society of Environmental and Occupational Health Nurses,,PHL,tl,Manila,@pseohn_ph,not_sure,,,other,Focuses on environmental health nursing
Philippine Society of Environmental and Occupational Health Physicians,,PHL,tl,Manila,@pseohp_ph,not_sure,,,other,Focuses on environmental health medicine
