name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace East Asia,,KON,en,Hong,@greenpeace_hk,@GreenpeaceEA,,,ngo,Prominent environmental NGO in Hong Kong
WWF Hong Kong,,KON,en,Hong,@wwfhk,@WWFHK,,,ngo,Focuses on wildlife conservation and climate
Friends of the Earth (HK),,KON,en,Hong,@foe_hk,@foe_hk,,,ngo,Advocates for sustainable development
The Conservancy Association,,KON,en,Hong,@conservancyassociation,not_sure,,,ngo,Oldest environmental NGO in Hong Kong
Clean Air Network,,KON,en,Hong,@cleanairnetwork,@cleanairnetwork,,,ngo,Focuses on air quality improvement
Hong Kong Dolphin Conservation Society,,KON,en,Hong,@hkdcs,not_sure,,,ngo,"Protects marine life, especially dolphins"
Green Sense,,KON,en,Hong,@greensensehk,not_sure,,,ngo,Promotes environmental awareness and action
Greeners Action,,KON,en,Hong,@greenersaction,not_sure,,,ngo,Focuses on waste reduction and recycling
Hong Kong Bird Watching Society,,KON,en,Hong,@hkbws,@hkbws,,,ngo,Promotes bird conservation and research
Hong Kong Green Building Council,,KON,en,Hong,@hkgbc,@HKGBC,,,ngo,Advocates for sustainable building practices
Civic Exchange,,KON,en,Hong,@civicexchange,@civicexchange,,,ngo,Public policy think tank on environment
Hong Kong Shark Foundation,,KON,en,Hong,@hksharkfoundation,not_sure,,,ngo,Works to end shark finning
Earthwatch Institute Hong Kong,,KON,en,Hong,@earthwatch_hk,not_sure,,,ngo,Engages people in scientific research
Plastic Free Seas,,KON,en,Hong,@plasticfreeseas,@plasticfreeseas,,,ngo,Focuses on reducing plastic pollution
Hong Kong Cleanup,,KON,en,Hong,@hkcleanup,@HKCleanup,,,ngo,Organizes community cleanups
The Green Earth,,KON,en,Hong,@thegreenearthhk,@thegreenearthhk,,,ngo,Promotes environmental sustainability
Hong Kong Green Finance Association,,KON,en,Hong,@hkgfa,not_sure,,,ngo,Promotes green finance initiatives
Hong Kong Green Strategy Alliance,,KON,en,Hong,@hkgsa,not_sure,,,ngo,Focuses on sustainable development strategies
Hong Kong Marine Conservation Society,,KON,en,Hong,@hkmcs,not_sure,,,ngo,Protects marine ecosystems
Hong Kong Organic Resource Centre,,KON,en,Hong,@hkorgcentre,not_found,,,ngo,Promotes organic farming practices
Hong Kong Recycle,,KON,en,Hong,@hongkongrecycle,not_found,,,ngo,Focuses on recycling and waste management
Hong Kong Society for the Protection of Children,,KON,en,Hong,@hksocietyforchildren,not_found,,,ngo,Advocates for children's rights and welfare
Hong Kong Youth for Climate Action,,KON,en,Hong,@hkyca,not_found,,,ngo,Youth-led climate advocacy group
Kadoorie Farm and Botanic Garden,,KON,en,Hong,@kadooriefarm,not_found,,,ngo,Focuses on biodiversity conservation
Ocean Recovery Alliance,,KON,en,Hong,@oceanrecovery,not_found,,,ngo,Works on ocean protection initiatives
Society for Community Organization,,KON,en,Hong,@socohk,not_found,,,ngo,Advocates for social justice and rights
The Jane Goodall Institute Hong Kong,,KON,en,Hong,@janegoodallhk,not_found,,,ngo,Focuses on wildlife conservation and education
The Nature Conservancy Hong Kong,,KON,en,Hong,@tnc_hk,not_found,,,ngo,Conserves lands and waters in Hong Kong
World Green Organisation,,KON,en,Hong,@worldgreenorg,not_found,,,ngo,Promotes environmental protection and sustainability
Zoological Society of Hong Kong,,KON,en,Hong,@zshk,not_found,,,ngo,Focuses on animal welfare and conservation
Green Power,,KON,en,Hong,@greenpower_hk,not_found,,,ngo,Focus on environmental education and conservation
Society for the Prevention of Cruelty to Animals (HK),,KON,en,Hong,@spcahk,not_found,,,ngo,Animal welfare and protection
Hong Kong Reptile and Amphibian Society,,KON,en,Hong,@hkrashk,not_found,,,ngo,Conservation of reptiles and amphibians
Hong Kong Wild Boar Concern Group,,KON,en,Hong,@hkwildboar,not_found,,,ngo,Advocates for humane treatment of wild boars
Hong Kong Green Drinks,,KON,en,Hong,@hkgd,not_found,,,ngo,Networking for environmental professionals
EcoDrive Hong Kong,,KON,en,Hong,@ecodrivehk,not_found,,,ngo,Promotes reduction of single-use plastics
Hong Kong Climate Change Coalition,,KON,en,Hong,@hkclimatecoalition,not_found,,,ngo,Coalition advocating for climate policy change
Hong Kong Environmental Protection Association,,KON,en,Hong,@hkepa,not_found,,,ngo,Focuses on environmental protection and education
Hong Kong Sustainable Development Forum,,KON,en,Hong,@hksdf,not_found,,,ngo,Promotes sustainable development practices
Hong Kong Institute of Environmental Impact Assessment,,KON,en,Hong,@hkieia,not_sure,,,ngo,Focuses on environmental impact assessments
Hong Kong Environmental Education Association,,KON,en,Hong,@hkeea,not_sure,,,ngo,Promotes environmental education and awareness
Green Power,,KON,en,Hong,@greenpowerhk,@greenpower_hk,,,ngo,Focuses on environmental education and conservation
Oxfam Hong Kong,,KON,en,Hong,@oxfamhk,@oxfamhk,,,ngo,Works on poverty alleviation and climate justice
The Nature Conservancy Hong Kong,,KON,en,Hong,@nature_hk,@nature_org,,,ngo,Focuses on conservation and climate action
Green Monday,,KON,en,Hong,@greenmonday,@greenmonday,,,ngo,Promotes plant-based diets for sustainability
Hong Kong Climate Change Coalition,,KON,en,Hong,@hkccc,not_sure,,,ngo,Coalition for climate action and policy advocacy
Hong Kong Zero Carbon Partnership,,KON,en,Hong,@hkzcp,not_sure,,,ngo,Promotes zero carbon initiatives
Hong Kong Biodiversity Action Group,,KON,en,Hong,@hkbiodiversity,not_sure,,,ngo,Focuses on biodiversity conservation
Hong Kong Environmental Protection Network,,KON,en,Hong,@hkepn,not_sure,,,ngo,Network for environmental protection efforts
Hong Kong Green Building Network,,KON,en,Hong,@hkgbn,not_sure,,,ngo,Promotes sustainable building practices
Hong Kong Environmental Research Institute,,KON,en,Hong,@hkeri,not_sure,,,ngo,Conducts environmental research and studies
Hong Kong Green Energy Association,,KON,en,Hong,@hkgea,not_sure,,,ngo,Promotes renewable energy solutions
