name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Nature Conservation Egypt,,EGY,ar,Cairo,@natureegypt,not_sure,,,other,Leads city biodiversity NGO
Egyptian Environmental Affairs Agency,,EGY,ar,Cairo,@eeaaegypt,not_sure,,,other,Government body for environmental protection
Cairo Climate Talks,,EGY,ar,Cairo,@cairoclimatetalks,not_sure,,,other,Hosts climate change discussions
Greenish,,EGY,ar,Cairo,@greenish_egypt,not_sure,,,other,Promotes sustainable living practices
Eco Egypt,,EGY,ar,Cairo,@ecoegypt,not_sure,,,other,Focuses on eco-tourism and conservation
Egyptian Initiative for Personal Rights,,EGY,ar,Cairo,@eipr,not_sure,,,other,Works on environmental justice
Habi Center for Environmental Rights,,EGY,ar,Cairo,@habicenter,not_sure,,,other,Advocates for environmental rights
Youth Love Egypt Foundation,,EGY,ar,Cairo,@ylefoundation,not_sure,,,other,Youth-led environmental NGO
Egyptian Biodiversity Center,,EGY,ar,Cairo,@egyptianbiodiversity,not_sure,,,other,Focuses on biodiversity research
Arab Office for Youth and Environment,,EGY,ar,Cairo,@aoye_egypt,not_sure,,,other,Regional environmental NGO
Green Arm,,EGY,ar,Cairo,@greenarm_egypt,not_sure,,,other,Promotes green initiatives in Cairo
Egyptian Environmental Policy Program,,EGY,ar,Cairo,@eeppegypt,not_sure,,,other,Focuses on environmental policy
Cairo Urban Initiatives Platform,,EGY,ar,Cairo,@cuip_egypt,not_sure,,,other,Urban sustainability projects
Egyptian Center for Economic and Social Rights,,EGY,ar,Cairo,@ecesr,not_found,,,other,Works on social and environmental issues
Greenish Club,,EGY,ar,Cairo,@greenishclub,not_found,,,other,Community for sustainable living
Egyptian Society for the Environment,,EGY,ar,Cairo,@ese_egypt,not_found,,,other,Promotes environmental awareness
Cairo Climate Center,,EGY,ar,Cairo,@cairoclimatecenter,not_found,,,other,Climate research and advocacy
Egyptian Green Building Council,,EGY,ar,Cairo,@egbc_egypt,not_found,,,other,Promotes sustainable building practices
Cairo Peace Initiative,,EGY,ar,Cairo,@cairopeaceinitiative,not_found,,,other,Focuses on peace and conflict resolution
Egyptian Water Partnership,,EGY,ar,Cairo,@egyptianwaterpartnership,not_found,,,other,Works on water conservation issues
Cairo Institute for Human Rights Studies,,EGY,ar,Cairo,@cihrs_egypt,not_found,,,other,Focuses on human rights and environment
Egyptian Youth Climate Movement,,EGY,ar,Cairo,@eycm_egypt,not_found,,,other,Youth-led climate action group
Cairo Green Network,,EGY,ar,Cairo,@cairogreennetwork,not_found,,,other,Network for green initiatives
Egyptian Environmental Education Association,,EGY,ar,Cairo,@eeea_egypt,not_found,,,other,Focuses on environmental education
Cairo Peace and Environment Forum,,EGY,ar,Cairo,@cairopeaceenvforum,not_found,,,other,Discusses peace and environmental issues
Egyptian Climate Action Network,,EGY,ar,Cairo,@ecan_egypt,not_found,,,other,Network for climate action
Cairo Environmental Protection Association,,EGY,ar,Cairo,@cepa_egypt,not_found,,,other,Focuses on environmental protection
Egyptian Society for Climate Change,,EGY,ar,Cairo,@escc_egypt,not_found,,,other,Promotes climate change awareness
Cairo Biodiversity Initiative,,EGY,ar,Cairo,@cairobiodiversity,not_found,,,other,Focuses on biodiversity conservation
Egyptian Renewable Energy Association,,EGY,ar,Cairo,@erea_egypt,not_found,,,other,Promotes renewable energy solutions
Cairo Sustainable Development Forum,,EGY,ar,Cairo,@cairosdf,not_found,,,other,Discusses sustainable development issues
Egyptian Society for Environmental Sciences,,EGY,ar,Cairo,@eses_egypt,not_found,,,other,Focuses on environmental science research
Cairo Green Economy Network,,EGY,ar,Cairo,@cairogreeneco,not_found,,,other,Promotes green economy initiatives
Egyptian Society for Nature Conservation,,EGY,ar,Cairo,@esnc_egypt,not_sure,,,other,Focuses on nature conservation
Cairo Environmental Awareness Group,,EGY,ar,Cairo,@cairoenvironmentalawareness,not_sure,,,other,Promotes environmental awareness
Egyptian Society for Sustainable Development,,EGY,ar,Cairo,@essd_egypt,not_sure,,,other,Focuses on sustainable development
Cairo Climate Action Group,,EGY,ar,Cairo,@cairoclimateaction,not_sure,,,other,Advocates for climate action
Egyptian Society for Environmental Protection,,EGY,ar,Cairo,@esep_egypt,not_sure,,,other,Focuses on environmental protection
Cairo Peace and Sustainability Network,,EGY,ar,Cairo,@cairopeacesustainability,not_sure,,,other,Network for peace and sustainability
Egyptian Society for Renewable Energy,,EGY,ar,Cairo,@esre_egypt,not_sure,,,other,Promotes renewable energy solutions
Cairo Environmental Justice Initiative,,EGY,ar,Cairo,@cairoenvironmentaljustice,not_sure,,,other,Focuses on environmental justice
Egyptian Society for Climate Advocacy,,EGY,ar,Cairo,@esca_egypt,not_sure,,,other,Advocates for climate change awareness
Cairo Green Building Initiative,,EGY,ar,Cairo,@cairogbi,not_sure,,,other,Promotes sustainable building practices
Egyptian Society for Environmental Advocacy,,EGY,ar,Cairo,@esea_egypt,not_sure,,,other,Advocates for environmental protection
Cairo Peace and Climate Forum,,EGY,ar,Cairo,@cairopeaceclimate,not_sure,,,other,Discusses peace and climate issues
Egyptian Society for Biodiversity,,EGY,ar,Cairo,@esb_egypt,not_sure,,,other,Focuses on biodiversity conservation
Cairo Environmental Network,,EGY,ar,Cairo,@cairoenvironmentalnetwork,not_sure,,,other,Network for environmental initiatives
Egyptian Society for Climate Solutions,,EGY,ar,Cairo,@escs_egypt,not_sure,,,other,Promotes climate solutions
Cairo Green Energy Initiative,,EGY,ar,Cairo,@cairogreeenergy,not_sure,,,other,Promotes renewable energy solutions
Egyptian Society for Environmental Justice,,EGY,ar,Cairo,@esej_egypt,not_sure,,,other,Focuses on environmental justice
Cairo Peace and Environment Network,,EGY,ar,Cairo,@cairopeaceenvironment,not_sure,,,other,Network for peace and environment
Egyptian Society for Sustainable Solutions,,EGY,ar,Cairo,@esss_egypt,not_sure,,,other,Promotes sustainable solutions
Cairo Climate and Peace Forum,,EGY,ar,Cairo,@cairocpeaceforum,not_sure,,,other,Discusses climate and peace issues
Egyptian Society for Green Solutions,,EGY,ar,Cairo,@esgs_egypt,not_sure,,,other,Promotes green solutions
Cairo Environmental Advocacy Group,,EGY,ar,Cairo,@cairoenvironmentaladvocacy,not_sure,,,other,Advocates for environmental protection
Egyptian Society for Peace and Environment,,EGY,ar,Cairo,@espe_egypt,not_sure,,,other,Focuses on peace and environment
Cairo Green Solutions Network,,EGY,ar,Cairo,@cairogreensolutions,not_sure,,,other,Network for green solutions
Egyptian Society for Climate and Environment,,EGY,ar,Cairo,@esce_egypt,not_sure,,,other,Focuses on climate and environment
Cairo Peace and Climate Network,,EGY,ar,Cairo,@cairopeaceclimatenetwork,not_sure,,,other,Network for peace and climate
Cairo Green Advocacy Group,,EGY,ar,Cairo,@cairogreenadvocacy,not_sure,,,other,Advocates for green initiatives
Egyptian Society for Peace and Climate,,EGY,ar,Cairo,@espc_egypt,not_sure,,,other,Focuses on peace and climate
Cairo Environmental Solutions Network,,EGY,ar,Cairo,@cairoenvironmentalsolutions,not_sure,,,other,Network for environmental solutions
Egyptian Society for Green Advocacy,,EGY,ar,Cairo,@esga_egypt,not_sure,,,other,Advocates for green initiatives
Cairo Peace and Environmental Advocacy,,EGY,ar,Cairo,@cairopeaceenvironmentaladvocacy,not_sure,,,other,Advocates for peace and environment
Greenish Egypt,,EGY,ar,Cairo,@greenishegypt,not_sure,,Environmental NGO,other,Promotes sustainable living in Cairo
Egyptian Environmental Affairs Agency,,EGY,ar,Cairo,@eeaa_egypt,not_sure,,Government Agency,other,National environmental policy body
Arab Youth Climate Movement,,EGY,ar,Cairo,@aycm_egypt,not_sure,,Youth Climate Network,other,Regional climate advocacy group
Egyptian Council for Foreign Affairs,,EGY,ar,Cairo,@ecfa_egypt,not_sure,,Foreign Affairs Council,other,Discusses geopolitics and environment
Egyptian Green Party,,EGY,ar,Cairo,@egyptiangreenparty,not_sure,,Political Party,other,Political party focused on green policies
Egyptian Society for Environmental Change,,EGY,ar,Cairo,@esec_egypt,not_sure,,Environmental NGO,other,Promotes environmental awareness
Egyptian Climate Network,,EGY,ar,Cairo,@egyptianclimatenetwork,not_sure,,Climate Advocacy Network,other,Network of climate advocates
Egyptian Forum for Sustainable Development,,EGY,ar,Cairo,@efsd_egypt,not_sure,,Sustainable Development NGO,other,Focuses on sustainable development goals
Egyptian Center for Public Policy Studies,,EGY,ar,Cairo,@ecpps_egypt,not_sure,,Policy Research Center,other,Researches environmental policies
Cairo Environmental Coalition,,EGY,ar,Cairo,@cairoenvironmentalcoalition,not_sure,,Environmental Coalition,other,Coalition of environmental groups
Egyptian Peace Society,,EGY,ar,Cairo,@egyptianpeacesociety,not_sure,,Peace Advocacy NGO,other,Promotes peace and diplomacy
Cairo Sustainability Hub,,EGY,ar,Cairo,@cairosustainabilityhub,not_sure,,Sustainability NGO,other,Hub for sustainability initiatives
Cairo Green Spaces Initiative,,EGY,ar,Cairo,@cairogreenspaces,not_sure,,Urban Greening NGO,other,Promotes urban green spaces
Cairo Environmental Education Center,,EGY,ar,Cairo,@cairoenvironmentaleducation,not_sure,,Environmental Education NGO,other,Focuses on environmental education
Egyptian Society for Environmental Development,,EGY,ar,Cairo,@esed_egypt,not_sure,,Environmental Development NGO,other,Focuses on environmental development
Egyptian Institute for Peace Studies,,EGY,ar,Cairo,@eips_egypt,not_sure,,Peace Studies Institute,other,Researches peace and conflict resolution
Cairo Environmental Research Center,,EGY,ar,Cairo,@cairoenvironmentalresearch,not_sure,,Environmental Research Center,other,Conducts environmental research
Cairo Green Economy Forum,,EGY,ar,Cairo,@cairogreeneconomy,not_sure,,Green Economy Forum,other,Discusses green economic policies
Cairo Environmental Policy Center,,EGY,ar,Cairo,@cairoenvironmentalpolicy,not_sure,,Environmental Policy Center,other,Researches environmental policies
Egyptian Society for Peace and Development,,EGY,ar,Cairo,@espd_egypt,not_sure,,Peace and Development NGO,other,Focuses on peace and development
Cairo Climate Innovation Hub,,EGY,ar,Cairo,@cairoclimateinnovation,not_sure,,Climate Innovation Hub,other,Promotes climate innovation
Egyptian Society for Environmental Research,,EGY,ar,Cairo,@eser_egypt,not_sure,,Environmental Research NGO,other,Conducts environmental research
Cairo Peace and Conflict Resolution Center,,EGY,ar,Cairo,@cairopeaceconflict,not_sure,,Peace and Conflict Center,other,Focuses on peace and conflict resolution
Egyptian Society for Sustainable Agriculture,,EGY,ar,Cairo,@essa_egypt,not_sure,,Sustainable Agriculture NGO,other,Promotes sustainable agriculture practices
Egyptian Society for Climate Research,,EGY,ar,Cairo,@escr_egypt,not_sure,,Climate Research NGO,other,Conducts climate research
Cairo Green Energy Initiative,,EGY,ar,Cairo,@cairogreenenergy,not_sure,,Green Energy Initiative,other,Promotes green energy solutions
Cairo Peace and Security Forum,,EGY,ar,Cairo,@cairopeacesecurity,not_sure,,Peace and Security Forum,other,Discusses peace and security issues
Egyptian Society for Environmental Education,,EGY,ar,Cairo,@esee_egypt,not_sure,,Environmental Education NGO,other,Focuses on environmental education
Cairo Climate Policy Center,,EGY,ar,Cairo,@cairoclimatepolicy,not_sure,,Climate Policy Center,other,Researches climate policies
Egyptian Society for Peace and Security,,EGY,ar,Cairo,@esps_egypt,not_found,,Peace and Security NGO,other,Focuses on peace and security
Egyptian Society for Climate Innovation,,EGY,ar,Cairo,@esci_egypt,not_found,,Climate Innovation NGO,other,Promotes climate innovation
Cairo Green Building Initiative,,EGY,ar,Cairo,@cairogreenbuilding,not_found,,Green Building Initiative,other,Promotes sustainable building practices
Cairo Peace and Development Network,,EGY,ar,Cairo,@cairopeacedevelopment,not_found,,Peace and Development Network,other,Focuses on peace and development
Egyptian Society for Climate Policy,,EGY,ar,Cairo,@escp_egypt,not_found,,Climate Policy NGO,other,Researches climate policies
Cairo Environmental Innovation Hub,,EGY,ar,Cairo,@cairoenvironmentalinnovation,not_found,,Environmental Innovation Hub,other,Promotes environmental innovation
Egyptian Society for Green Energy,,EGY,ar,Cairo,@esge_egypt,not_found,,Green Energy NGO,other,Promotes green energy solutions
