name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Heal the Bay,,ANG,en,Los,@healthebay,@healthebay,,Environmental NGO,other,Focus on ocean and watershed protection
TreePeople,,ANG,en,Los,@treepeople_org,@treepeople_org,,Environmental NGO,other,Urban forestry and environmental education
Los Angeles Audubon Society,,ANG,en,Los,@losangelesaudubon,@LAAudubon,,Bird conservation,other,Bird conservation and education
Climate Resolve,,ANG,en,Los,@climateresolve,@climateresolve,,Climate action NGO,other,Advocates for climate solutions in LA
Friends of the Los Angeles River,,ANG,en,Los,@folarorg,@FoLARorg,,River conservation,other,Focus on LA River restoration
Surfrider Foundation Los Angeles,,ANG,en,Los,@surfriderla,@SurfriderLA,,Ocean protection NGO,other,Protects ocean and beaches
Los Angeles County Bicycle Coalition,,ANG,en,Los,@lacbc,@lacbc,,Cycling advocacy,other,Promotes cycling for sustainability
Sierra Club Angeles Chapter,,ANG,en,Los,@sierraclubangeles,@SierraClubLA,,Environmental NGO,other,Local chapter of national environmental group
Los Angeles Cleantech Incubator,,ANG,en,Los,@laincubator,@laincubator,,Cleantech innovation,other,Supports clean technology startups
California Native Plant Society - LA/Santa Monica Mountains Chapter,,ANG,en,Los,@cnpslasmm,not_sure,,Plant conservation,other,Focus on native plant conservation
Los Angeles Community Garden Council,,ANG,en,Los,@lacgc,@LACGC,,Urban gardening,other,Supports community gardens in LA
The Bay Foundation,,ANG,en,Los,@thebayfoundation,@TheBayFoundation,,Environmental NGO,other,Restores and protects Santa Monica Bay
Los Angeles Neighborhood Land Trust,,ANG,en,Los,@lanlt,@lanlt,,Land conservation,other,Creates parks and gardens in underserved areas
Greenpeace USA,,ANG,en,Los,@greenpeaceusa,@greenpeaceusa,,Environmental NGO,other,National presence with LA activities
Natural History Museum of Los Angeles County,,ANG,en,Los,@nhmla,@NHMLA,,Museum,other,Hosts environmental and biodiversity exhibits
Los Angeles Urban League,,ANG,en,Los,@laul_org,@laul_org,,Community organization,other,Focus on economic and social equality
Los Angeles Conservation Corps,,ANG,en,Los,@lacorps,@LACorps,,Youth development,other,Youth programs for environmental work
