name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Centre for Science and Environment,,IND,hi,Delhi,@cseindia,@CSEINDIA,,,ngo,Prominent environmental research and advocacy group
TERI - The Energy and Resources Institute,,IND,hi,Delhi,@teriin,@teriin,,,ngo,Focus on sustainable development and climate change
Greenpeace India,,IND,hi,Delhi,@greenpeaceindia,@greenpeaceindia,,,ngo,International NGO with strong presence in Delhi
WWF India,,IND,hi,Delhi,@wwfindia,@WWFINDIA,,,ngo,Conservation and environmental protection in India
Delhi Greens,,IND,hi,Delhi,@delhigreens,@delhigreens,,,ngo,Local NGO promoting environmental awareness
Chintan Environmental Research and Action Group,,IND,hi,Delhi,@chintan_india,not_sure,,,ngo,Works on waste management and environmental justice
Swechha India,,IND,hi,Delhi,@swechhaindia,@swechhaindia,,,ngo,Youth-led NGO focusing on environment and education
Development Alternatives,,IND,hi,Delhi,@dev_alternatives,not_sure,,,ngo,Sustainable development and social innovation
Indian Youth Climate Network,,IND,hi,Delhi,@iycn.in,not_sure,,,ngo,Youth network for climate action
The Climate Reality Project India,,IND,hi,Delhi,@climaterealityindia,not_sure,,,ngo,Climate change education and advocacy
Wildlife Trust of India,,IND,hi,Delhi,@wildlifetrustofindia,@wti_org_india,,,ngo,Wildlife conservation and protection
ActionAid India,,IND,hi,Delhi,@actionaid_india,@ActionAidIndia,,,ngo,Focus on social justice and environmental issues
Help Delhi Breathe,,IND,hi,Delhi,@helpdelhibreathe,not_sure,,,ngo,Campaign for clean air in Delhi
Sambodhi Research and Communications,,IND,hi,Delhi,@sambodhiresearch,not_sure,,,ngo,Research on sustainable development
Centre for Policy Research,,IND,hi,Delhi,@cpr_india,@CPR_India,,,ngo,Research on policy and governance
Ashoka Trust for Research in Ecology and the Environment,,IND,hi,Delhi,@atreedelhi,@ATREE_org,,,ngo,Research on ecology and environment
The Nature Conservancy India,,IND,hi,Delhi,@tncindia,@TNC_India,,,ngo,Conservation and sustainable development
Centre for Environment Education,,IND,hi,Delhi,@ceedelhi,not_sure,,,ngo,Environmental education and awareness
Indian Environmental Society,,IND,hi,Delhi,@iesindia,not_sure,,,ngo,Environmental education and sustainable development
Navdanya,,IND,hi,Delhi,@navdanya_international,@NavdanyaBija,,,ngo,Biodiversity conservation and organic farming
Sustainable Environment and Ecological Development Society,,IND,hi,Delhi,@seeds_india,@SEEDS_India,,,ngo,Disaster management and climate resilience
Indian Network on Ethics and Climate Change,,IND,hi,Delhi,@inecc_india,not_sure,,,ngo,Climate change ethics and advocacy
Centre for Environmental Health,,IND,hi,Delhi,@ceh_india,not_sure,,,ngo,Research on environmental health issues
Clean Air Asia India,,IND,hi,Delhi,@cleanairasiain,@CleanAirAsia,,,ngo,Air quality management and advocacy
Centre for Environment and Energy Development,,IND,hi,Delhi,@ceedindia,not_sure,,,ngo,Sustainable energy and environment
Indian Institute of Ecology and Environment,,IND,hi,Delhi,@iieedelhi,not_sure,,,ngo,Research on ecology and environment
Environment Support Group,,IND,hi,Delhi,@esgindia,@ESG_Bangalore,,,ngo,Environmental justice and advocacy
Indian Institute for Human Settlements,,IND,hi,Delhi,@iihsindia,@iihsin,,,ngo,Urban sustainability and development
Centre for Urban and Regional Excellence,,IND,hi,Delhi,@cureindia,not_sure,,,ngo,Urban development and sustainability
Centre for Environmental Planning and Technology,,IND,hi,Delhi,@ceptuniversity,@CEPTUniversity,,,ngo,Research on urban planning and environment
Centre for Science and Environment,cse@cseindia.org,IND,hi,Delhi,@cseindia,@CSEINDIA,,,ngo,Prominent environmental research and advocacy group
TERI - The Energy and Resources Institute,mailbox@teri.res.in,IND,hi,Delhi,@teriin,@teriin,,,ngo,Focuses on sustainable development and climate change
Greenpeace India,contact.india@greenpeace.org,IND,hi,Delhi,@greenpeaceindia,@greenpeaceindia,,,ngo,Global environmental NGO with active Delhi presence
WWF India,contact@wwfindia.net,IND,hi,Delhi,@wwfindia,@WWFINDIA,,,ngo,Conservation and environmental protection NGO
Chintan Environmental Research and Action Group,info@chintan-india.org,IND,hi,Delhi,@chintan_india,not_sure,,,ngo,Works on waste management and environmental justice
Development Alternatives,mail@devalt.org,IND,hi,Delhi,@development_alternatives,not_sure,,,ngo,Focuses on sustainable development solutions
Sambodhi Research and Communications,contact@sambodhi.co.in,IND,hi,Delhi,@sambodhi_research,not_sure,,,ngo,Research and evaluation for sustainable development
Indian Youth Climate Network,info@iycn.in,IND,hi,Delhi,@iycn.in,@IYCN_India,,,ngo,Youth-led climate action network
Delhi Greens,contact@delhigreens.org,IND,hi,Delhi,@delhigreens,@delhigreens,,,ngo,Environmental awareness and activism in Delhi
