name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fundación Terram,,CHL,es,Santiago,@fundacionterram,@fundacionterram,,,ngo,Focus on environmental policy and advocacy
Greenpeace Chile,,CHL,es,Santiago,@greenpeacecl,@GreenpeaceCL,,,ngo,Global NGO with local climate initiatives
Fundación Basura,,CHL,es,Santiago,@fundacionbasura,@FundacionBasura,,,ngo,Promotes zero waste and sustainability
CODEFF,,CHL,es,Santiago,@codeffchile,@codeffchile,,,ngo,Oldest environmental NGO in Chile
Fundación Fungi,,CHL,es,Santiago,@fundacionfungi,not_sure,,,ngo,Conserves Chilean fungi biodiversity
Fundación Huilo Huilo,,CHL,es,Santiago,@fundacionhuilohuilo,not_sure,,,ngo,Conservation in the Patagonian rainforest
Fundación Casa de la Paz,,CHL,es,Santiago,@casadelapaz,not_sure,,,ngo,Focus on sustainable development and peace
Fundación Lepe,,CHL,es,Santiago,@fundacionlepe,not_sure,,,ngo,Supports rural development and sustainability
Fundación Chile,,CHL,es,Santiago,@fundacionchile,@fundchile,,,ngo,Innovates in sustainability and technology
Fundación Avina,,CHL,es,Santiago,@fundacionavina,not_sure,,,ngo,Promotes sustainable development in Latin America
Fundación Kennedy,,CHL,es,Santiago,@fundacionkennedy,not_sure,,,ngo,Conserves wetlands and biodiversity
Fundación Altiplano,,CHL,es,Santiago,@fundacionaltiplano,not_sure,,,ngo,Cultural and natural heritage conservation
Fundación Ronda,,CHL,es,Santiago,@fundacionronda,not_sure,,,ngo,Promotes social inclusion and sustainability
Fundación Sendero de Chile,,CHL,es,Santiago,@senderodechile,not_sure,,,ngo,Develops sustainable tourism and conservation
Fundación Pumalín,,CHL,es,Santiago,@fundacionpumalin,not_sure,,,ngo,Conserves Patagonian ecosystems
Fundación Mar Adentro,,CHL,es,Santiago,@fundacionmaradentro,not_sure,,,ngo,Integrates art and nature conservation
Fundación Senda Darwin,,CHL,es,Santiago,@sendadarwin,not_sure,,,ngo,Biodiversity research and conservation
Fundación Reforestemos,,CHL,es,Santiago,@reforestemos,@reforestemos,,,ngo,Reforestation and environmental education
Fundación Huella Local,,CHL,es,Santiago,@huellalocal,not_sure,,,ngo,Local development and sustainability projects
Fundación Proyecta Memoria,,CHL,es,Santiago,@proyectamemoria,not_sure,,,ngo,Preserves historical memory and peace
Fundación Huilo Huilo,,CHL,es,Santiago,@huilohuilo,not_sure,,,ngo,Conservation and sustainable tourism in Patagonia
Fundación Ríos to Rivers,,CHL,es,Santiago,@riostorivers,not_sure,,,ngo,Focus on river conservation and youth education
Fundación Patagonia Sur,,CHL,es,Santiago,@patagoniasur,not_sure,,,ngo,Conservation and sustainable development in Patagonia
Fundación Tierra Austral,,CHL,es,Santiago,@fundaciontierraaustral,not_sure,,,ngo,Land conservation and environmental education
Fundación Huinay,,CHL,es,Santiago,@fundacionhuinay,not_sure,,,ngo,Marine and terrestrial research and conservation
Fundación Alerce 3000,,CHL,es,Santiago,@alerce3000,not_sure,,,ngo,Conservation of ancient Alerce trees
Fundación Futuro,,CHL,es,Santiago,@fundacionfuturo,not_sure,,,ngo,Promotes cultural and environmental awareness
Fundación La Fuente,,CHL,es,Santiago,@fundacionlafuente,not_sure,,,ngo,Cultural and environmental education projects
Fundación Ciudadano Inteligente,,CHL,es,Santiago,@ciudadanointeligente,@ciudadanoi,,,ngo,Promotes transparency and civic engagement
Fundación Iguales,,CHL,es,Santiago,@fundacioniguales,@fundacionigual,,,ngo,LGBTQ+ rights and social inclusion
Fundación ProHumana,,CHL,es,Santiago,@prohumana,not_sure,,,ngo,Corporate social responsibility and sustainability
Fundación Superación de la Pobreza,,CHL,es,Santiago,@superaciondelapobreza,not_found,,,ngo,Poverty alleviation and social development
Fundación Trascender,,CHL,es,Santiago,@fundaciontrascender,not_found,,,ngo,Volunteerism and social impact projects
Fundación Vivienda,,CHL,es,Santiago,@fundacionvivienda,not_found,,,ngo,Affordable housing and community development
Fundación Mi Parque,,CHL,es,Santiago,@miparque,@miparque,,,ngo,Urban green spaces and community engagement
Fundación Todo Mejora,,CHL,es,Santiago,@todomejora,@todomejora,,,ngo,Youth mental health and LGBTQ+ support
Fundación América Solidaria,,CHL,es,Santiago,@americasolidaria,@americasolidaria,,,ngo,International development and social justice
Fundación Colunga,,CHL,es,Santiago,@fundacioncolunga,not_found,,,ngo,Social innovation and poverty reduction
Fundación Trilema,,CHL,es,Santiago,@fundaciontrilema,not_found,,,ngo,Education and social inclusion projects
Fundación Sol,,CHL,es,Santiago,@fundacionsol,@fundacionsol,,,ngo,Labor rights and economic research
Fundación Educación 2020,,CHL,es,Santiago,@educacion2020,@educacion2020,,,ngo,Education reform and policy advocacy
Fundación Chile Sustentable,,CHL,es,Santiago,@chilesustentable,not_found,,,ngo,Sustainable development and environmental policy
Fundación Proyecta,,CHL,es,Santiago,@fundacionproyecta,not_found,,,ngo,Youth leadership and civic engagement
Fundación Democracia y Desarrollo,,CHL,es,Santiago,@fundaciondyc,not_found,,,ngo,Democracy and sustainable development
Fundación Crecer,,CHL,es,Santiago,@fundacioncrecer,not_found,,,ngo,Child development and education programs
