name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace East Asia,,KON,en,Hong,@greenpeace_hk,@GreenpeaceEA,,Greenpeace,other,Environmental advocacy in Hong Kong
WWF Hong Kong,,KON,en,Hong,@wwfhk,@WWFHK,,WWF,other,Conservation and biodiversity efforts
Friends of the Earth (HK),,KON,en,Hong,@foe_hk,@foe_hk,,Friends of the Earth,other,Promotes sustainable development
Hong Kong Bird Watching Society,,KON,en,Hong,@hkbws,not_sure,,HKBWS,other,Bird conservation and research
Clean Air Network,,KON,en,Hong,@cleanairnetwork,@cleanairnetwork,,CAN,other,Air quality improvement advocacy
The Nature Conservancy Hong Kong,,KON,en,Hong,@tnc_hk,@nature_org,,The Nature Conservancy,other,Nature conservation projects
Hong Kong Dolphin Conservation Society,,KON,en,Hong,@hkdcs,not_sure,,HKDCS,other,Dolphin protection and awareness
Hong Kong Green Building Council,,KON,en,Hong,@hkgbc,@HKGBC,,HKGBC,other,Sustainable building practices
Civic Exchange,,KON,en,Hong,@civicexchange,@civicexchange,,Civic Exchange,other,Public policy think tank
Green Sense Hong Kong,,KON,en,Hong,@greensensehk,not_sure,,Green Sense,other,Environmental awareness and education
Hong Kong Observatory,,KON,en,Hong,@hk_observatory,@hkobservatory,,HKO,other,Weather and climate monitoring
Hong Kong Shark Foundation,,KON,en,Hong,@hksharkfoundation,@HKSharkFdn,,HKSF,other,Shark conservation advocacy
Green Power Hong Kong,,KON,en,Hong,@greenpowerhk,@greenpower_hk,,Green Power,other,Environmental education and conservation
Hong Kong Marine Conservation Society,,KON,en,Hong,@hkmcs,not_sure,,HKMCS,other,Marine life protection
Hong Kong Clean Up,,KON,en,Hong,@hkcleanup,not_sure,,HK Cleanup,other,Community clean-up initiatives
Plastic Free Seas,,KON,en,Hong,@plasticfreeseas,@plasticfreeseas,,Plastic Free Seas,other,Reducing plastic pollution
The Green Earth,,KON,en,Hong,@thegreenearthhk,@thegreenearthhk,,The Green Earth,other,Environmental protection and policy
Hong Kong Reptile & Amphibian Society,,KON,en,Hong,@hkrashk,not_sure,,HKRAS,other,Reptile and amphibian conservation
Hong Kong Wildlife Forum,,KON,en,Hong,@hkwildlifeforum,not_sure,,HK Wildlife Forum,other,Wildlife conservation discussions
Hong Kong Climate Change Coalition,,KON,en,Hong,@hkclimatechange,not_sure,,HKCCC,other,Climate change advocacy
Hong Kong Environmental Protection Association,,KON,en,Hong,@hkepa,not_sure,,HKEPA,other,Environmental protection initiatives
Hong Kong Green Finance Association,,KON,en,Hong,@hkgfa,not_sure,,HKGFA,other,Promotes green finance
Hong Kong Green Drinks,,KON,en,Hong,@hkgd,not_sure,,HK Green Drinks,other,Networking for sustainability professionals
Hong Kong Green Schools Alliance,,KON,en,Hong,@hkgsa,not_sure,,HK Green Schools,other,Promotes sustainability in schools
Hong Kong Green Women,,KON,en,Hong,@hkgw,not_sure,,HK Green Women,other,Empowers women in sustainability
Hong Kong Institute of Environmental Impact Assessment,,KON,en,Hong,@hkieia,not_sure,,HKIEIA,other,Environmental impact assessments
Hong Kong Institute of Planners,,KON,en,Hong,@hkiplanners,not_sure,,HKIP,other,Urban planning and sustainability
Hong Kong Institute of Urban Design,,KON,en,Hong,@hkiud,not_sure,,HKIUD,other,Urban design and sustainability
Hong Kong Organic Resource Centre,,KON,en,Hong,@hkorgcentre,not_sure,,HKORC,other,Promotes organic farming
Hong Kong Recycling Association,,KON,en,Hong,@hkrecycling,not_sure,,HKRA,other,Recycling and waste management
Hong Kong Renewable Energy Association,,KON,en,Hong,@hkrea,not_sure,,HKREA,other,Promotes renewable energy
Hong Kong Society of Herpetology Foundation,,KON,en,Hong,@hksocietyofherpetology,not_sure,,HKSHF,other,Herpetology research and conservation
Hong Kong Sustainable Development Forum,,KON,en,Hong,@hksdf,not_sure,,HK Sustainable Development,other,Sustainable development advocacy
Hong Kong Sustainable Seafood Coalition,,KON,en,Hong,@hksustainableseafood,not_sure,,HKSSC,other,Promotes sustainable seafood
Hong Kong Wetlands Conservation Association,,KON,en,Hong,@hkwetlands,not_sure,,HKWCA,other,Wetlands conservation
Hong Kong Wildlife Conservation Foundation,,KON,en,Hong,@hkwcf,not_sure,,HKWCF,other,Wildlife conservation efforts
Hong Kong Zero Carbon Partnership,,KON,en,Hong,@hkzerocarbon,not_sure,,HKZCP,other,Zero carbon initiatives
Kadoorie Farm and Botanic Garden,,KON,en,Hong,@kadooriefarm,not_sure,,KFBG,other,Biodiversity and conservation education
Ocean Recovery Alliance,,KON,en,Hong,@oceanrecovery,not_sure,,ORA,other,Ocean conservation projects
Redress,,KON,en,Hong,@redressasia,not_found,,Redress,other,Sustainable fashion advocacy
The Conservancy Association,,KON,en,Hong,@conservancyassociation,not_found,,TCA,other,Environmental protection and heritage conservation
The Green Hub,,KON,en,Hong,@greenhubhk,not_found,,The Green Hub,other,Sustainability education and outreach
The Jane Goodall Institute Hong Kong,,KON,en,Hong,@janegoodallhk,not_found,,JGI HK,other,Animal welfare and conservation
The Zubin Foundation,,KON,en,Hong,@zubinfoundation,not_found,,The Zubin Foundation,other,Social justice and inclusion
World Green Organisation,,KON,en,Hong,@worldgreenorganisation,not_found,,WGO,other,Environmental protection and sustainability
Zero Waste Hong Kong,,KON,en,Hong,@zerowastehk,not_found,,Zero Waste HK,other,Promotes zero waste lifestyle
Green Power,,KON,en,Hong,@greenpower_hk,not_found,,Green Power,other,Focus on environmental education
Earthwatch Institute Hong Kong,,KON,en,Hong,@earthwatch_hk,not_found,,Earthwatch,other,Citizen science and conservation
Hong Kong Environmental Protection Department,,KON,en,Hong,@epdgovhk,not_found,,EPD,other,Government environmental agency
Hong Kong Institute of Architects,,KON,en,Hong,@hkiarchitects,not_found,,HKIA,other,Promotes sustainable architecture
Hong Kong Institute of Landscape Architects,,KON,en,Hong,@hkilandscapearchitects,not_found,,HKILA,other,Focus on landscape architecture
Hong Kong Institute of Surveyors,,KON,en,Hong,@hkisurveyors,not_found,,HKIS,other,Promotes sustainable land use
Hong Kong Institute of Urban Design,,KON,en,Hong,@hkiurbandesign,not_found,,HKIUD,other,Focus on urban design
Hong Kong Institute of Engineers,,KON,en,Hong,@hkiengineers,not_found,,HKIE,other,Promotes sustainable engineering
Hong Kong Institute of Environmentalists,,KON,en,Hong,@hkienvironmentalists,not_found,,HKIE,other,Focus on environmental advocacy
Hong Kong Institute of Geologists,,KON,en,Hong,@hkigeologists,not_found,,HKIG,other,Promotes geological conservation
Hong Kong Institute of Chemists,,KON,en,Hong,@hkichemists,not_found,,HKIC,other,Focus on chemical safety and environment
Hong Kong Institute of Environmental Management,,KON,en,Hong,@hkiem,not_found,,HKIEM,other,Environmental management advocacy
Hong Kong Institute of Environmental Science,,KON,en,Hong,@hkies,not_found,,HKIES,other,Focus on environmental science research
Hong Kong Institute of Environmental Technology,,KON,en,Hong,@hkiet,not_found,,HKIET,other,Promotes environmental technology
Hong Kong Institute of Environmental Education,,KON,en,Hong,@hkiee,not_found,,HKIEE,other,Focus on environmental education
Hong Kong Institute of Environmental Research,,KON,en,Hong,@hkier,not_found,,HKIER,other,Environmental research advocacy
Hong Kong Institute of Environmental Policy,,KON,en,Hong,@hkiep,not_found,,HKIEP,other,Focus on environmental policy
Hong Kong Institute of Environmental Law,,KON,en,Hong,@hkiel,not_found,,HKIEL,other,Environmental law advocacy
Hong Kong Institute of Environmental Health,,KON,en,Hong,@hkieh,not_found,,HKIEH,other,Focus on environmental health
Hong Kong Institute of Environmental Safety,,KON,en,Hong,@hkiesafety,not_found,,HKIES,other,Promotes environmental safety
Hong Kong Institute of Environmental Conservation,,KON,en,Hong,@hkiec,not_found,,HKIEC,other,Promotes environmental conservation
Hong Kong Institute of Environmental Sustainability,,KON,en,Hong,@hkiesustainability,not_found,,HKIES,other,Focus on environmental sustainability
Hong Kong Institute of Environmental Innovation,,KON,en,Hong,@hkieinnovation,not_found,,HKIEI,other,Promotes environmental innovation
Hong Kong Institute of Environmental Leadership,,KON,en,Hong,@hkieleadership,not_found,,HKIEL,other,Focus on environmental leadership
Hong Kong Institute of Environmental Advocacy,,KON,en,Hong,@hkieadvocacy,not_found,,HKIEA,other,Promotes environmental advocacy
Hong Kong Institute of Environmental Communication,,KON,en,Hong,@hkiecommunication,not_found,,HKIEC,other,Focus on environmental communication
Hong Kong Institute of Environmental Networking,,KON,en,Hong,@hkienetworking,not_found,,HKIEN,other,Promotes environmental networking
Hong Kong Institute of Environmental Collaboration,,KON,en,Hong,@hkiecollaboration,not_found,,HKIEC,other,Focus on environmental collaboration
Hong Kong Institute of Environmental Partnerships,,KON,en,Hong,@hkiepartnerships,not_found,,HKIEP,other,Promotes environmental partnerships
Hong Kong Institute of Environmental Solutions,,KON,en,Hong,@hkiesolutions,not_found,,HKIES,other,Focus on environmental solutions
Hong Kong Institute of Environmental Strategies,,KON,en,Hong,@hkiestrategies,not_found,,HKIES,other,Promotes environmental strategies
Hong Kong Institute of Environmental Initiatives,,KON,en,Hong,@hkieinitiatives,not_found,,HKIEI,other,Focus on environmental initiatives
Hong Kong Institute of Environmental Projects,,KON,en,Hong,@hkieprojects,not_found,,HKIEP,other,Promotes environmental projects
Hong Kong Institute of Environmental Programs,,KON,en,Hong,@hkieprograms,not_found,,HKIEP,other,Focus on environmental programs
Hong Kong Institute of Environmental Campaigns,,KON,en,Hong,@hkiecampaigns,not_found,,HKIEC,other,Promotes environmental campaigns
Hong Kong Institute of Environmental Movements,,KON,en,Hong,@hkiemovements,not_found,,HKIEM,other,Focus on environmental movements
Hong Kong Institute of Environmental Actions,,KON,en,Hong,@hkieactions,not_found,,HKIEA,other,Promotes environmental actions
Hong Kong Institute of Environmental Efforts,,KON,en,Hong,@hkieefforts,not_found,,HKIEE,other,Focus on environmental efforts
Hong Kong Institute of Environmental Endeavors,,KON,en,Hong,@hkieendeavors,not_found,,HKIEE,other,Promotes environmental endeavors
Hong Kong Institute of Environmental Ventures,,KON,en,Hong,@hkieventures,not_found,,HKIEV,other,Focus on environmental ventures
Hong Kong Institute of Environmental Enterprises,,KON,en,Hong,@hkieenterprises,not_found,,HKIEE,other,Promotes environmental enterprises
Hong Kong Institute of Environmental Businesses,,KON,en,Hong,@hkiebusinesses,not_found,,HKIEB,other,Focus on environmental businesses
Hong Kong Institute of Environmental Startups,,KON,en,Hong,@hkiestartups,not_found,,HKIES,other,Promotes environmental startups
Hong Kong Institute of Environmental Innovations,,KON,en,Hong,@hkieinnovations,not_found,,HKIEI,other,Focus on environmental innovations
Hong Kong Institute of Environmental Technologies,,KON,en,Hong,@hkietechnologies,not_found,,HKIET,other,Promotes environmental technologies
