name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Conservamos por Naturaleza,,PER,es,Lima,@conservamospornaturaleza,@Conservamos,,Conservamos por Naturaleza,other,Promotes conservation and sustainable living in Peru
SPDA Actualidad Ambiental,,PER,es,Lima,@actualidadambiental,@actualidadspda,,Sociedad Peruana de Derecho Ambiental,other,Environmental law and policy advocacy
Lima Cómo Vamos,,PER,es,Lima,@limacomovamos,@LimaComoVamos,,Lima Cómo Vamos,other,Monitors quality of life in Lima
Ciudad Saludable,,PER,es,Lima,@ciudadsaludable,@CiudadSaludable,,Ciudad Saludable,other,Focuses on waste management and recycling
Asociación para la Niñez y su Ambiente,,PER,es,Lima,@aniaorg,@aniaorg,,ANIA,other,Empowers children for environmental action
Red Muqui,,PER,es,Lima,@redmuqui,@RedMuqui,,Red Muqui,other,Network advocating for sustainable mining
Grupo GEA,,PER,es,Lima,@grupogea,not_sure,,Grupo GEA,other,Environmental education and consultancy
CENCA,,PER,es,Lima,@cencaperu,not_sure,,CENCA,other,Urban development and environmental justice
Asociación Civil Labor,,PER,es,Lima,@ac_labor,not_sure,,Asociación Civil Labor,other,Focuses on sustainable development
Centro IDEAS,,PER,es,Lima,@centroideas,not_sure,,Centro IDEAS,other,Promotes sustainable agriculture
Instituto del Bien Común,,PER,es,Lima,@ibcperu,not_sure,,Instituto del Bien Común,other,Focuses on community land rights
Sociedad Peruana de Ecodesarrollo,,PER,es,Lima,@spe_peru,not_sure,,SPE,other,Promotes ecologically sustainable development
Asociación Pro Derechos Humanos (APRODEH),,PER,es,Lima,@aprodeh,@APRODEH,,APRODEH,other,Human rights and environmental justice
"Centro de Conservación, Investigación y Manejo de Áreas Naturales",,PER,es,Lima,@cima_cordilleraazul,@CIMAcordillera,,CIMA,other,Conservation of natural areas
Movimiento Ciudadano frente al Cambio Climático,,PER,es,Lima,@moccic,@mocicc,,MOCICC,other,Climate change advocacy
Asociación para la Conservación de la Cuenca Amazónica,,PER,es,Lima,@accaperu,not_sure,,ACCA,other,Amazon basin conservation
Centro de Investigación y Promoción del Campesinado,,PER,es,Lima,@cipca_peru,not_sure,,CIPCA,other,Rural development and sustainability
Asociación Interamericana para la Defensa del Ambiente,,PER,es,Lima,@aidaamericas,not_sure,,AIDA,other,Environmental law and advocacy
Centro de Estudios y Promoción del Desarrollo,,PER,es,Lima,@desco_peru,not_sure,,DESCO,other,Development and environmental education
Centro de Estudios para el Desarrollo y la Participación,,PER,es,Lima,@cedepperu,not_sure,,CEDEP,other,Community participation and development
Centro de Investigación y Educación Popular,,PER,es,Lima,@ciep_peru,not_sure,,CIEP,other,Research and education on development
Centro de Investigación y Promoción Social,,PER,es,Lima,@cipspromocion,not_sure,,CIPS,other,Social promotion and development
Centro de Investigación y Promoción del Desarrollo Sostenible,,PER,es,Lima,@cipds_peru,not_sure,,CIPDS,other,Sustainable development research
Centro de Investigación y Promoción para el Desarrollo Rural,,PER,es,Lima,@cipdr_peru,not_sure,,CIPDR,other,Rural development and sustainability
Centro de Investigación y Promoción para el Desarrollo Urbano,,PER,es,Lima,@cipdu_peru,not_sure,,CIPDU,other,Urban development and sustainability
Centro de Investigación y Promoción para el Desarrollo Social,,PER,es,Lima,@cipdsocial,not_sure,,CIPDS,other,Social development and sustainability
Centro de Investigación y Promoción para el Desarrollo Económico,,PER,es,Lima,@cipde_peru,not_sure,,CIPDE,other,Economic development and sustainability
Centro de Investigación y Promoción para el Desarrollo Ambiental,,PER,es,Lima,@cipda_peru,not_sure,,CIPDA,other,Environmental development and sustainability
Centro de Investigación y Promoción para el Desarrollo Cultural,,PER,es,Lima,@cipdc_peru,not_sure,,CIPDC,other,Cultural development and sustainability
Centro de Investigación y Promoción para el Desarrollo Humano,,PER,es,Lima,@cipdh_peru,not_sure,,CIPDH,other,Human development and sustainability
Centro de Investigación y Promoción para el Desarrollo Integral,,PER,es,Lima,@cipdi_peru,not_sure,,CIPDI,other,Integral development and sustainability
Centro de Investigación y Promoción para el Desarrollo Tecnológico,,PER,es,Lima,@cipdt_peru,not_sure,,CIPDT,other,Technological development and sustainability
Centro de Investigación y Promoción para el Desarrollo Pesquero,,PER,es,Lima,@cipdp_peru,not_sure,,CIPDP,other,Fisheries development and sustainability
Centro de Investigación y Promoción para el Desarrollo Forestal,,PER,es,Lima,@cipdf_peru,not_sure,,CIPDF,other,Forestry development and sustainability
Centro de Investigación y Promoción para el Desarrollo Minero,,PER,es,Lima,@cipdm_peru,not_sure,,CIPDM,other,Mining development and sustainability
Centro de Investigación y Promoción para el Desarrollo Bancario,,PER,es,Lima,@cipdb_peru,not_found,,CIPDB,other,Banking development and sustainability
Centro de Investigación y Promoción para el Desarrollo Logístico,,PER,es,Lima,@cipdl_peru,not_found,,CIPDL,other,Logistics development and sustainability
Centro de Investigación y Promoción para el Desarrollo Vial,,PER,es,Lima,@cipdv_peru,not_found,,CIPDV,other,Road development and sustainability
Centro de Investigación y Promoción para el Desarrollo Urbano-Rural,,PER,es,Lima,@cipdur_peru,not_found,,CIPDUR,other,Urban-rural development and sustainability
Centro de Investigación y Promoción para el Desarrollo Nacional,,PER,es,Lima,@cipdn_peru,not_found,,CIPDN,other,National development and sustainability
Centro de Investigación y Promoción para el Desarrollo Global,,PER,es,Lima,@cipdg_peru,not_found,,CIPDG,other,Global development and sustainability
Centro de Investigación y Promoción para el Desarrollo Justo,,PER,es,Lima,@cipdj_peru,not_found,,CIPDJ,other,Just development and sustainability
Sociedad Peruana de Derecho Ambiental,,PER,es,Lima,@spda_peru,@SPDAperu,,,other,Prominent environmental law NGO in Peru
Asociación Civil Transparencia,,PER,es,Lima,@transparenciaperu,@AC_Transparencia,,,other,Focuses on democratic governance and transparency
Red Ambiental Peruana,,PER,es,Lima,@redambientalperu,not_found,,,other,Network of environmental organizations in Peru
Movimiento Ciudadano frente al Cambio Climático,,PER,es,Lima,@moccic_peru,@moccic_peru,,,other,Advocates for climate action in Peru
Sociedad Peruana de Ecodesarrollo,,PER,es,Lima,@ecodesarrollo,not_found,,,other,Promotes sustainable development practices
Centro de Innovación Científica Amazónica,,PER,es,Lima,@cincia_peru,not_found,,,other,Research on Amazonian biodiversity
Grupo GEA,,PER,es,Lima,@grupo_gea,not_found,,,other,Environmental education and advocacy
Centro de Estudios y Prevención de Desastres,,PER,es,Lima,@predesorg,@predesorg,,,other,Disaster risk management and prevention
Instituto de Montaña,,PER,es,Lima,@institutodemontana,@inst_montana,,,other,Focuses on mountain ecosystems conservation
Centro de Investigación de la Universidad del Pacífico,,PER,es,Lima,@ciup_up,@CIUP_UP,,,other,Research on sustainable development
Asociación Nacional de Centros,,PER,es,Lima,@anc_peru,@ANC_Peru,,,other,Network of NGOs for development and environment
Instituto de Defensa Legal,,PER,es,Lima,@ideelperu,@ideelperu,,,other,Focuses on human rights and environmental justice
Centro de Estudios Regionales Andinos Bartolomé de las Casas,,PER,es,Lima,@cerabartolome,not_found,,,other,Research on Andean region development
Centro de Políticas Públicas y Derechos Humanos,,PER,es,Lima,@equidadperu,not_sure,,,other,Focuses on public policy and human rights
Centro de Estudios para el Desarrollo Regional,,PER,es,Lima,@cederperu,not_sure,,,other,Research on regional development
Centro de Investigación y Promoción Amazónica,,PER,es,Lima,@cipa_peru,not_sure,,,other,Focuses on Amazonian indigenous rights
Centro de Investigación y Promoción Social,,PER,es,Lima,@cipsocial,not_sure,,,other,Promotes social development and inclusion
Centro de Investigación y Servicios Educativos,,PER,es,Lima,@cise_peru,not_sure,,,other,Focuses on educational research and services
Centro de Investigación y Tecnología del Agua,,PER,es,Lima,@cita_peru,not_sure,,,other,Research on water resources management
Centro de Investigación y Tecnología para el Desarrollo,,PER,es,Lima,@cited_peru,not_sure,,,other,Focuses on technology for development
Centro de Investigación y Tecnología para la Industria,,PER,es,Lima,@citi_peru,not_sure,,,other,Focuses on industrial technology and innovation
Centro de Investigación y Tecnología para la Minería,,PER,es,Lima,@citm_peru,not_sure,,,other,Research on sustainable mining practices
Centro de Investigación y Tecnología para la Pesca,,PER,es,Lima,@citp_peru,not_sure,,,other,Focuses on sustainable fishing practices
Centro de Investigación y Tecnología para la Salud,,PER,es,Lima,@cits_peru,not_sure,,,other,Research on public health and technology
Centro de Investigación y Tecnología para la Vivienda,,PER,es,Lima,@citv_peru,not_sure,,,other,Focuses on sustainable housing solutions
Centro de Investigación y Tecnología para los Recursos Naturales,,PER,es,Lima,@citn_peru,not_sure,,,other,Research on natural resources management
Centro de Investigación y Tecnología para los Transportes,,PER,es,Lima,@citt_peru,not_sure,,,other,Research on transportation systems
Centro de Investigación y Tecnología para los Urbanismos,,PER,es,Lima,@citu_peru,not_sure,,,other,Research on urban planning and development
Centro de Investigación y Tecnología para los Zonas,,PER,es,Lima,@citz_peru,not_sure,,,other,Research on zoning and land use planning
Asociación Peruana para la Conservación de la Naturaleza,,PER,es,Lima,@aconap_peru,not_sure,,Nature Conservation NGO,other,Focus on biodiversity and natural resources
Instituto del Bien Común,,PER,es,Lima,@ibc_peru,not_sure,,Community Development NGO,other,Works on sustainable development and conservation
Sociedad Peruana de Ecodesarrollo,,PER,es,Lima,@ecodesarrolloperu,not_sure,,Sustainable Development NGO,other,Promotes ecologically sustainable development
Centro de Innovación Científica Amazónica,,PER,es,Lima,@cincamazonia,not_sure,,Scientific Research Center,other,Research on Amazonian biodiversity
Asociación para la Investigación y Desarrollo Integral,,PER,es,Lima,@aiderperu,not_sure,,Development NGO,other,Focus on sustainable development and conservation
Instituto de Defensa Legal del Ambiente y el Desarrollo Sostenible,,PER,es,Lima,@idlas_peru,not_sure,,Environmental Legal NGO,other,Focus on environmental law and policy
Asociación para la Conservación de la Naturaleza y la Cultura,,PER,es,Lima,@conservacionycultura,not_sure,,Conservation NGO,other,Focus on cultural and natural heritage conservation
Centro de Estudios y Promoción del Desarrollo Andino,,PER,es,Lima,@ceproda_peru,not_sure,,Development NGO,other,Promotes Andean region development and sustainability
Asociación para la Defensa de los Derechos de la Naturaleza,,PER,es,Lima,@addn_peru,not_sure,,Environmental Rights NGO,other,Advocates for nature rights and protection
Asociación para la Conservación de la Biodiversidad Andina,,PER,es,Lima,@acbaperu,not_sure,,Conservation NGO,other,Focus on Andean biodiversity conservation
Centro de Estudios y Promoción del Desarrollo Urbano,,PER,es,Lima,@cepdu_peru,not_sure,,Urban Development NGO,other,Promotes sustainable urban development
Asociación para la Defensa de los Derechos del Ambiente,,PER,es,Lima,@addaperu,not_sure,,Environmental Rights NGO,other,Advocates for environmental rights and justice
Asociación para la Conservación de la Diversidad Biológica,,PER,es,Lima,@acdb_peru,not_sure,,Conservation NGO,other,Focus on biodiversity conservation
Centro de Estudios y Promoción del Desarrollo Sostenible,,PER,es,Lima,@cepds_peru,not_sure,,Sustainable Development NGO,other,Promotes sustainable development practices
Asociación para la Defensa de los Derechos Humanos y Ambientales,,PER,es,Lima,@addha_peru,not_sure,,Human and Environmental Rights NGO,other,Advocates for human and environmental rights
Asociación para la Conservación de la Flora y Fauna,,PER,es,Lima,@acff_peru,not_sure,,Conservation NGO,other,Focus on flora and fauna conservation
Centro de Estudios y Promoción del Desarrollo Económico,,PER,es,Lima,@cepde_peru,not_sure,,Economic Development NGO,other,Promotes economic development and sustainability
Asociación para la Defensa de los Derechos de los Pueblos Indígenas,,PER,es,Lima,@addpi_peru,not_sure,,Indigenous Rights NGO,other,Advocates for indigenous rights and protection
Asociación para la Conservación de la Vida Silvestre,,PER,es,Lima,@acvs_peru,not_sure,,Wildlife Conservation NGO,other,Focus on wildlife conservation
Centro de Estudios y Promoción del Desarrollo Cultural,,PER,es,Lima,@cepdc_peru,not_sure,,Cultural Development NGO,other,Promotes cultural development and heritage
Asociación para la Conservación de los Recursos Naturales,,PER,es,Lima,@acrn_peru,not_sure,,Resource Conservation NGO,other,Focus on natural resource conservation
Centro de Estudios y Promoción del Desarrollo Tecnológico,,PER,es,Lima,@cepdt_peru,not_sure,,Technological Development NGO,other,Promotes technological development and innovation
Asociación para la Defensa de los Derechos de los Trabajadores,,PER,es,Lima,@addt_peru,not_sure,,Labor Rights NGO,other,Advocates for workers' rights and protection
Asociación para la Conservación de los Ecosistemas Marinos,,PER,es,Lima,@acem_peru,not_sure,,Marine Conservation NGO,other,Focus on marine ecosystem conservation
Centro de Estudios y Promoción del Desarrollo Agrícola,,PER,es,Lima,@cepda_peru,not_sure,,Agricultural Development NGO,other,Promotes agricultural development and sustainability
Asociación para la Defensa de los Derechos de los Consumidores,,PER,es,Lima,@addc_peru,not_sure,,Consumer Rights NGO,other,Advocates for consumer rights and protection
Asociación para la Conservación de los Humedales,,PER,es,Lima,@ach_peru,not_sure,,Wetland Conservation NGO,other,Focus on wetland conservation
Centro de Estudios y Promoción del Desarrollo Pesquero,,PER,es,Lima,@cepdp_peru,not_sure,,Fisheries Development NGO,other,Promotes fisheries development and sustainability
Asociación para la Defensa de los Derechos de los Migrantes,,PER,es,Lima,@addm_peru,not_sure,,Migrant Rights NGO,other,Advocates for migrant rights and protection
