name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Legambiente Lazio,,ITA,it,Rome,@legambientelazio,@Legambiente,,Legambiente,other,Regional branch of national environmental NGO
WWF Italia,,ITA,it,Rome,@wwfitalia,@WWFitalia,,WWF,other,National office with strong presence in Rome
Greenpeace Italia,,ITA,it,Rome,@greenpeace_italia,@Greenpeace_ITA,,Greenpeace,other,Active in climate and environmental campaigns
FAI - Fondo Ambiente Italiano,,ITA,it,Rome,@fondoambiente,not_sure,,FAI,other,Focus on cultural and environmental heritage
Amnesty International Italia,,ITA,it,Rome,@amnestyitalia,@amnestyitalia,,Amnesty International,other,Human rights and peace initiatives
Cittadini per l'Aria,,ITA,it,Rome,@cittadiniperlaria,not_sure,,Cittadini per l'Aria,other,Focus on air quality and pollution
Italia Nostra,,ITA,it,Rome,@italianostraonlus,not_sure,,Italia Nostra,other,Heritage and environmental conservation
Rete Clima,,ITA,it,Rome,@reteclima,not_sure,,Rete Clima,other,Climate change and sustainability projects
Slow Food Italia,,ITA,it,Rome,@slowfood_italia,@SlowFoodItaly,,Slow Food,other,Promotes sustainable food practices
LIPU - Lega Italiana Protezione Uccelli,,ITA,it,Rome,@lipu_onlus,@LIPU_Italia,,LIPU,other,Bird protection and biodiversity
Greenaccord,,ITA,it,Rome,@greenaccord,not_sure,,Greenaccord,other,Environmental journalism and education
Forum Terzo Settore,,ITA,it,Rome,@forumterzosettore,not_sure,,Forum Terzo Settore,other,Network of social and environmental NGOs
Earth Day Italia,,ITA,it,Rome,@earthdayitalia,@EarthDayItalia,,Earth Day,other,Organizes Earth Day events in Italy
Federazione Italiana Amici della Bicicletta (FIAB),,ITA,it,Rome,@fiab_onlus,@FIABonlus,,FIAB,other,Promotes cycling and sustainable mobility
Cittadinanzattiva,,ITA,it,Rome,@cittadinanzattiva,@cittadinanzatt,,Cittadinanzattiva,other,Active in civic rights and environmental issues
Associazione Italiana Agricoltura Biologica (AIAB),,ITA,it,Rome,@aiab_italia,not_sure,,AIAB,other,Promotes organic farming practices
Fondazione UniVerde,,ITA,it,Rome,@fondazioneuniverde,not_sure,,Fondazione UniVerde,other,Focus on environmental education and policy
Associazione Italiana per la Wilderness,,ITA,it,Rome,@wilderness_italia,not_sure,,Wilderness Italia,other,Conservation of natural areas
Green Cross Italia,,ITA,it,Rome,@greencrossitalia,@GreenCrossIt,,Green Cross,other,Environmental sustainability and peace initiatives
Associazione Italiana Cultura Sport (AICS),,ITA,it,Rome,@aics_italia,not_sure,,AICS,other,Promotes sports and environmental activities
Associazione Italiana per il World Social Forum,,ITA,it,Rome,@wsf_italia,not_sure,,World Social Forum,other,Focus on social justice and peace
Associazione Nazionale Comuni Italiani (ANCI),,ITA,it,Rome,@anci_nazionale,@comuni_anci,,ANCI,other,"Represents Italian municipalities, including environmental policies"
Associazione Italiana per l'Agricoltura Biodinamica,,ITA,it,Rome,@biodinamica_italia,not_sure,,Agricoltura Biodinamica,other,Promotes biodynamic agriculture
Associazione Italiana per la Protezione degli Animali e dell'Ambiente (AIDAA),,ITA,it,Rome,@aidaa_italia,not_sure,,AIDAA,other,Animal and environmental protection
Associazione Italiana per la Ricerca sul Cancro (AIRC),,ITA,it,Rome,@airc_italia,@AIRC_it,,AIRC,other,Research on cancer and environmental factors
Associazione Italiana per la Promozione della Cultura della Pace,,ITA,it,Rome,@culturadellapace,not_sure,,Cultura della Pace,other,Promotes peace and conflict resolution
Associazione Italiana per la Solidarietà tra i Popoli (AISPO),,ITA,it,Rome,@aispo_italia,not_sure,,AISPO,other,International solidarity and peace initiatives
Associazione Italiana per la Tutela della Natura (AITN),,ITA,it,Rome,@aitn_italia,not_sure,,AITN,other,Nature conservation and biodiversity
Associazione Italiana per la Valorizzazione delle Aree Protette (AIVAP),,ITA,it,Rome,@aivap_italia,not_sure,,AIVAP,other,Focus on protected areas and biodiversity
Associazione Italiana per le Energie Rinnovabili (AIER),,ITA,it,Rome,@aier_italia,not_sure,,AIER,other,Promotes renewable energy sources
Associazione Italiana per le Foreste Modello (AIFM),,ITA,it,Rome,@forestemodello,not_sure,,AIFM,other,Sustainable forest management
Associazione Italiana per le Scienze Ambientali (AISA),,ITA,it,Rome,@aisa_italia,not_sure,,AISA,other,Environmental science and education
Associazione Italiana per lo Sviluppo dell'Economia Circolare (AISEC),,ITA,it,Rome,@aisec_italia,not_sure,,AISEC,other,Promotes circular economy practices
Associazione Italiana per lo Sviluppo Sostenibile (ASviS),,ITA,it,Rome,@asvis_italia,@ASviSItalia,,ASviS,other,Focus on sustainable development goals
Associazione Italiana per l'Integrazione dei Migranti (AIIM),,ITA,it,Rome,@aiim_italia,not_sure,,AIIM,other,Integration and peace initiatives
Associazione Italiana per l'Organizzazione Internazionale (AIOI),,ITA,it,Rome,@aioi_italia,not_sure,,AIOI,other,International relations and peace
Associazione Italiana per l'Osservazione della Terra (AIOT),,ITA,it,Rome,@aiot_italia,not_sure,,AIOT,other,Earth observation and environmental monitoring
Associazione Italiana per l'Utilizzo delle Risorse Idriche (AIURI),,ITA,it,Rome,@aiuri_italia,not_sure,,AIURI,other,Water resource management
Associazione Italiana per l'Utilizzo Sostenibile delle Risorse (AIUSR),,ITA,it,Rome,@aiusr_italia,not_sure,,AIUSR,other,Sustainable resource use
Associazione Italiana per l'Utilizzo Sostenibile dell'Energia (AIUSE),,ITA,it,Rome,@aiuse_italia,not_sure,,AIUSE,other,Sustainable energy use
Associazione Italiana per l'Utilizzo Sostenibile delle Foreste (AIUSF),,ITA,it,Rome,@aiusf_italia,not_sure,,AIUSF,other,Sustainable forest use
Associazione Italiana per l'Utilizzo Sostenibile delle Risorse Marine (AIUSRM),,ITA,it,Rome,@aiusrm_italia,not_sure,,AIUSRM,other,Sustainable marine resource use
Associazione Italiana per l'Utilizzo Sostenibile delle Risorse Naturali (AIUSRN),,ITA,it,Rome,@aiusrn_italia,not_found,,AIUSRN,other,Sustainable natural resource use
Associazione Italiana per l'Utilizzo Sostenibile delle Risorse Umane (AIUSRU),,ITA,it,Rome,@aiusru_italia,not_found,,AIUSRU,other,Sustainable human resource use
