name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Wangari Maathai Foundation,,KEN,en,Nairobi,@wangarimaathai,not_found,,,other,Promotes environmental conservation and peace
Greenpeace Africa,,KEN,en,Nairobi,@greenpeaceafrica,@Greenpeaceafric,,,other,Active in climate and environmental advocacy
Kenya Climate Innovation Center,,KEN,en,Nairobi,@kenyacic,@KenyaCIC,,,other,Supports climate innovation and entrepreneurship
Nature Kenya,,KEN,en,Nairobi,@nature_kenya,@Nature_Kenya,,,other,Focuses on biodiversity conservation
African Wildlife Foundation,,KEN,en,Nairobi,@africanwildlifefoundation,@AWF_Official,,,other,Works on wildlife conservation and protection
Friends of Karura Forest,,KEN,en,Nairobi,@karurafriends,not_found,,,other,Protects and conserves Karura Forest
UN Environment Programme,,KEN,en,Nairobi,@unenvironment,@UNEP,,,other,Global environmental authority based in Nairobi
Kenya Red Cross Society,,KEN,en,Nairobi,@kenyaredcross,@KenyaRedCross,,,other,Engages in humanitarian and peace efforts
African Conservation Centre,,KEN,en,Nairobi,@africanconservationcentre,not_found,,,other,Promotes biodiversity conservation in Africa
WildlifeDirect,,KEN,en,Nairobi,@wildlifedirect,@wildlifedirect,,,other,Focuses on wildlife conservation and awareness
The Elephant Neighbors Center,,KEN,en,Nairobi,@elephantneighbors,not_found,,,other,Works on elephant conservation and community engagement
East African Wild Life Society,,KEN,en,Nairobi,@eawildlifesociety,@eawildlife,,,other,Conserves wildlife and natural resources
Kenya Forest Service,,KEN,en,Nairobi,@kenyaforestservice,@KeForestService,,,other,Manages and conserves forest resources
African Population and Health Research Center,,KEN,en,Nairobi,@aphrc,@aphrc,,,other,Researches health and population dynamics
Kenya Green Building Society,,KEN,en,Nairobi,@kenyagreenbuilding,not_found,,,other,Promotes sustainable building practices
Kenya Institute of Planners,,KEN,en,Nairobi,@kenyaplanners,not_found,,,other,Focuses on urban planning and sustainability
African Centre for Technology Studies,,KEN,en,Nairobi,@actsnet,@ACTSNET,,,other,Researches sustainable development and technology
Kenya Organic Agriculture Network,,KEN,en,Nairobi,@koan_kenya,not_found,,,other,Promotes organic farming and sustainability
The Green Belt Movement,,KEN,en,Nairobi,@greenbeltmovement,@GreenBeltMovmnt,,,other,Focuses on environmental conservation and community empowerment
