name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Thailand,,THA,th,Bangkok,@greenpeaceth,@greenpeaceth,,,ngo,Environmental advocacy and campaigns
WWF Thailand,,THA,th,Bangkok,@wwfthailand,@WWFThailand,,,ngo,Wildlife conservation and environmental protection
Thai Climate Justice Network,,THA,th,Bangkok,@thaiclimatejustice,not_sure,,,ngo,Climate justice and policy advocacy
Raks Thai Foundation,,THA,th,Bangkok,@raksthai,not_sure,,,ngo,Community development and environmental programs
Seub Nakhasathien Foundation,,THA,th,Bangkok,@seubfdn,@seubfdn,,,ngo,Wildlife conservation and forest protection
Ecological Alert and Recovery Thailand (EARTH),,THA,th,Bangkok,@earththailand,not_sure,,,ngo,Environmental health and pollution control
EnLAW Foundation,,THA,th,Bangkok,@enlawfoundation,not_sure,,,ngo,Environmental law and policy advocacy
Thai Volunteer Service Foundation,,THA,th,Bangkok,@tvsthailand,not_sure,,,ngo,Volunteerism and social development
Foundation for Environmental Education for Sustainable Development (Thailand),,THA,th,Bangkok,@feethailand,not_sure,,,ngo,Environmental education and sustainability
Biodiversity-Based Economy Development Office (BEDO),,THA,th,Bangkok,@bedothailand,not_sure,,,ngo,Biodiversity and sustainable economy initiatives
Thai Society of Environmental Journalists,,THA,th,Bangkok,@thaienvironmentaljournalists,not_sure,,,ngo,Environmental journalism and awareness
Foundation for Consumers,,THA,th,Bangkok,@foundationforconsumers,not_sure,,,ngo,Consumer rights and environmental health
Thai Health Promotion Foundation,,THA,th,Bangkok,@thaihealth,@thaihealth,,,ngo,Public health and environmental initiatives
Bangkok River Partners,,THA,th,Bangkok,@bangkokriver,not_sure,,,ngo,River conservation and urban sustainability
Thai Fund Foundation,,THA,th,Bangkok,@thaifundfoundation,not_sure,,,ngo,Social justice and environmental projects
Thai Green Network,,THA,th,Bangkok,@thaigreennetwork,not_sure,,,ngo,Environmental advocacy and green initiatives
Sustainable Development Foundation,,THA,th,Bangkok,@sdfthailand,not_sure,,,ngo,Sustainability and community development
Thai Environment Institute,,THA,th,Bangkok,@tei_thailand,not_sure,,,ngo,Environmental research and policy
Friends of the Asian Elephant Foundation,,THA,th,Bangkok,@foe_thailand,not_sure,,,ngo,Elephant conservation and welfare
Love Wildlife Foundation,,THA,th,Bangkok,@lovewildlife_th,not_sure,,,ngo,Wildlife conservation and education
Thai Society for the Conservation of Wild Animals,,THA,th,Bangkok,@tscwa_thailand,not_sure,,,ngo,Wildlife conservation and protection
Wildlife Friends Foundation Thailand,,THA,th,Bangkok,@wfft,not_sure,,,ngo,Wildlife rescue and rehabilitation
Plant A Tree Today Foundation,,THA,th,Bangkok,@pattfoundation,not_sure,,,ngo,Reforestation and environmental education
Thai Green Building Institute,,THA,th,Bangkok,@thaigreenbuilding,not_sure,,,ngo,Sustainable building and architecture
Thai Ecotourism and Adventure Travel Association,,THA,th,Bangkok,@teata_thailand,not_sure,,,ngo,Ecotourism and sustainable travel
Thai Water Partnership,,THA,th,Bangkok,@thaiwaterpartnership,not_sure,,,ngo,Water resource management and conservation
