name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Environmental Rights Action/Friends of the Earth Nigeria,,NGA,en,Lagos,@erafoen,not_sure,,,ngo,Focus on environmental justice in Nigeria
Nigerian Conservation Foundation,,NGA,en,Lagos,@nigerianconservationfoundation,not_sure,,,ngo,Promotes nature conservation and biodiversity
Women Environmental Programme,,NGA,en,Lagos,@wepnigeria,not_sure,,,ngo,Empowers women in environmental protection
Health of Mother Earth Foundation,,NGA,en,Lagos,@homef_ng,not_sure,,,ngo,Advocates for environmental health and justice
Lagos Urban Development Initiative,,NGA,en,Lagos,@lagos_urban_dev,not_sure,,,ngo,Focuses on sustainable urban development
Climate and Sustainable Development Network,,NGA,en,Lagos,@csdnetwork,not_sure,,,ngo,Works on climate change and sustainability
Green Fingers Wildlife Initiative,,NGA,en,Lagos,@greenfingerswildlife,not_sure,,,ngo,Promotes wildlife conservation education
Sustainable Environment Food and Agriculture Initiative,,NGA,en,Lagos,@sefainitiative,not_sure,,,ngo,Focuses on sustainable agriculture practices
Niger Delta Budget Monitoring Group,,NGA,en,Lagos,@ndbmgroup,not_sure,,,ngo,Monitors environmental budgets in Niger Delta
Lekki Bird Club,,NGA,en,Lagos,@lekkibirdclub,not_sure,,,ngo,Promotes bird conservation and awareness
African Clean Up Initiative,,NGA,en,Lagos,@africancleanupinitiative,not_sure,,,ngo,Organizes community clean-up events
Sustainable Research and Action for Environmental Development,,NGA,en,Lagos,@sraednigeria,not_sure,,,ngo,Focuses on research for sustainable development
Greenhill Recycling,,NGA,en,Lagos,@greenhillrecycling,not_sure,,,ngo,Promotes recycling and waste management
Nigeria Youth Climate Coalition,,NGA,en,Lagos,@nigeriayouthclimate,not_sure,,,ngo,Youth-led climate action group
Eco Restoration Foundation,,NGA,en,Lagos,@ecorestorationfoundation,not_sure,,,ngo,Focuses on ecological restoration projects
Waste Matters Nigeria,,NGA,en,Lagos,@wastemattersng,not_sure,,,ngo,Advocates for waste management solutions
Centre for 21st Century Issues,,NGA,en,Lagos,@c21stcenturyissues,not_sure,,,ngo,Focuses on climate change and gender issues
Green Institute Nigeria,,NGA,en,Lagos,@greeninstituteng,not_sure,,,ngo,Promotes green education and innovation
Lagos State Environmental Protection Agency,,NGA,en,Lagos,@lasepaofficial,not_sure,,,ngo,Government agency for environmental protection
Climate Aid Initiative,,NGA,en,Lagos,@climateaidinitiative,not_sure,,,ngo,Provides aid for climate change adaptation
Green Habitat Initiative,,NGA,en,Lagos,@greenhabitatinitiative,not_sure,,,ngo,Focuses on sustainable housing solutions
Lagos State Parks and Gardens Agency,,NGA,en,Lagos,@laspagaofficial,not_sure,,,ngo,Manages parks and gardens in Lagos
Green Earth Angels,,NGA,en,Lagos,@greenearthangels,not_sure,,,ngo,Promotes environmental awareness and action
Nigeria Network of NGOs,,NGA,en,Lagos,@nnngo,not_sure,,,ngo,Umbrella organization for Nigerian NGOs
Green Planet Initiative,,NGA,en,Lagos,@greenplanetinitiative,not_sure,,,ngo,Focuses on environmental sustainability projects
Eco Nigeria,,NGA,en,Lagos,@econigeria,not_sure,,,ngo,Promotes eco-friendly practices and policies
Lagos State Waste Management Authority,,NGA,en,Lagos,@lawma_gov,not_sure,,,ngo,Manages waste collection and disposal in Lagos
Green Energy and Biofuels,,NGA,en,Lagos,@gebiofuels,not_sure,,,ngo,Focuses on renewable energy solutions
Lagos State Environmental Sanitation Corps,,NGA,en,Lagos,@lagesc_ng,not_sure,,,ngo,Ensures environmental sanitation compliance
Green Africa Youth Organization,,NGA,en,Lagos,@greenafricayouth,not_sure,,,ngo,Youth-led environmental advocacy group
Lagos State Ministry of Environment,,NGA,en,Lagos,@lagosministryofenv,not_sure,,,ngo,Government body for environmental policy
Nigerian Conservation Foundation,,NGA,en,Lagos,@ncfnigeria,not_sure,,,ngo,Leading environmental NGO in Nigeria
Lagos Urban Development Initiative,,NGA,en,Lagos,@lagos_urban_development,not_sure,,,ngo,Focus on sustainable urban development
Climate Action Nigeria,,NGA,en,Lagos,@climateactionng,not_sure,,,ngo,Promotes climate change awareness
Health of Mother Earth Foundation,,NGA,en,Lagos,@homefng,not_sure,,,ngo,Focus on environmental justice
Friends of the Environment,,NGA,en,Lagos,@fote_nigeria,not_sure,,,ngo,Focus on environmental education
Green Fingers Garden,,NGA,en,Lagos,@greenfingersgarden,not_sure,,,ngo,Promotes urban gardening and greening
African Clean Up Initiative,,NGA,en,Lagos,@africancleanup,@AfricanCleanUp,,,ngo,Organizes community clean-up events
Nigeria Youth Climate Coalition,,NGA,en,Lagos,@nyccnigeria,@nyccnigeria,,,ngo,Youth-led climate advocacy group
Greenpeace Africa,,NGA,en,Lagos,@greenpeaceafrica,@Greenpeaceafric,,,ngo,International NGO with presence in Lagos
Nigerian Environmental Society,,NGA,en,Lagos,@nesnigeria,not_sure,,,ngo,Professional body for environmentalists
"Centre for Environment, Human Rights and Development",,NGA,en,Lagos,@cehrd_nigeria,not_sure,,,ngo,Focus on environmental and human rights
Lagos State Environmental Sanitation Corps,,NGA,en,Lagos,@lagesc_official,not_sure,,,ngo,Enforces sanitation laws in Lagos
Nigerian Youth SDGs Network,,NGA,en,Lagos,@youthsdgsng,not_sure,,,ngo,Youth network for sustainable development goals
Women Initiative for Sustainable Environment,,NGA,en,Lagos,@wise_nigeria,not_sure,,,ngo,Empowers women in environmental sustainability
Sustainable Development Goals Action Group,,NGA,en,Lagos,@sdgactiongroup,not_sure,,,ngo,Promotes SDGs in Nigeria
African Centre for Climate Actions and Rural Development,,NGA,en,Lagos,@accardnigeria,not_sure,,,ngo,Focus on climate actions in rural areas
Lagos State Ministry of Environment,,NGA,en,Lagos,@lagosministryofenvironment,not_sure,,,ngo,Government body for environmental policies
Nigeria Climate Innovation Center,,NGA,en,Lagos,@nigeriacic,not_sure,,,ngo,Supports climate innovation projects
Lagos State Environmental and Special Offences Unit,,NGA,en,Lagos,@taskforce_lagos,not_sure,,,ngo,Enforces environmental laws in Lagos
Nigeria Environmental Study/Action Team,,NGA,en,Lagos,@nesatnigeria,not_sure,,,ngo,Focus on environmental research and action
Lagos State Ministry of Physical Planning and Urban Development,,NGA,en,Lagos,@lagosphysicalplanning,not_found,,,ngo,Oversees urban development in Lagos
Lagos State Ministry of Agriculture,,NGA,en,Lagos,@lagosagriculture,not_found,,,ngo,Promotes sustainable agriculture in Lagos
Lagos State Ministry of Energy and Mineral Resources,,NGA,en,Lagos,@lagosenergy,not_found,,,ngo,Focus on sustainable energy solutions
Lagos State Ministry of Waterfront Infrastructure Development,,NGA,en,Lagos,@lagoswaterfront,not_found,,,ngo,Develops waterfront infrastructure in Lagos
Lagos State Ministry of Transportation,,NGA,en,Lagos,@lagostransportation,not_found,,,ngo,Focus on sustainable transportation solutions
Lagos State Ministry of Works and Infrastructure,,NGA,en,Lagos,@lagosworks,not_found,,,ngo,Oversees infrastructure development in Lagos
Lagos State Ministry of Science and Technology,,NGA,en,Lagos,@lagos_science,not_found,,,ngo,Promotes science and technology in Lagos
"Lagos State Ministry of Tourism, Arts and Culture",,NGA,en,Lagos,@lagostourism,not_found,,,ngo,Promotes cultural tourism in Lagos
Lagos State Ministry of Women Affairs and Poverty Alleviation,,NGA,en,Lagos,@lagoswomenaffairs,not_found,,,ngo,Empowers women in Lagos
Lagos State Ministry of Youth and Social Development,,NGA,en,Lagos,@lagosyouth,not_found,,,ngo,Focus on youth development in Lagos
Lagos State Ministry of Justice,,NGA,en,Lagos,@lagosjustice,not_found,,,ngo,Focus on legal affairs in Lagos
Lagos State Ministry of Finance,,NGA,en,Lagos,@lagosfinance,not_found,,,ngo,Manages financial policies in Lagos
Lagos State Ministry of Economic Planning and Budget,,NGA,en,Lagos,@lagoseconomicplanning,not_found,,,ngo,Focus on economic planning in Lagos
"Lagos State Ministry of Commerce, Industry and Cooperatives",,NGA,en,Lagos,@lagoscommerce,not_found,,,ngo,Promotes commerce and industry in Lagos
Lagos State Ministry of Education,,NGA,en,Lagos,@lagoseducation,not_found,,,ngo,Oversees education policies in Lagos
Lagos State Ministry of Health,,NGA,en,Lagos,@lagoshealth,not_found,,,ngo,Focus on health policies in Lagos
Lagos State Ministry of Housing,,NGA,en,Lagos,@lagoshousing,not_found,,,ngo,Focus on housing policies in Lagos
Lagos State Ministry of Information and Strategy,,NGA,en,Lagos,@lagosinfostrategy,not_found,,,ngo,Focus on information dissemination in Lagos
Lagos State Ministry of Local Government and Community Affairs,,NGA,en,Lagos,@lagoslocalgovt,not_found,,,ngo,Focus on local governance in Lagos
Lagos State Ministry of Special Duties and Intergovernmental Relations,,NGA,en,Lagos,@lagosspecialduties,not_found,,,ngo,Focus on special duties in Lagos
Lagos State Ministry of Wealth Creation and Employment,,NGA,en,Lagos,@lagoswealthcreation,not_sure,,,ngo,Focus on employment policies in Lagos
Sustainable Research and Action for Environmental Development,,NGA,en,Lagos,@sraed_ng,not_sure,,,ngo,Research and advocacy on environmental issues
Climate and Sustainable Development Network,,NGA,en,Lagos,@csdevnet,@csdevnet,,,ngo,Climate action and sustainable development
Green Campus Initiative,,NGA,en,Lagos,@gci_nigeria,@gci_nigeria,,,ngo,Promotes sustainability in campuses
Climate Wednesday,,NGA,en,Lagos,@climatewednesday,@climatewed,,,ngo,Weekly climate advocacy platform
Green Institute,,NGA,en,Lagos,@greeninstitute,not_sure,,,ngo,Environmental education and research
Nigeria Conservation Foundation,,NGA,en,Lagos,@ncf_nigeria,@NCFNigeria,,,ngo,Biodiversity conservation and advocacy
Nigeria Environmental Study Action Team,,NGA,en,Lagos,@nesat_nigeria,not_sure,,,ngo,Research and policy on environmental issues
Lagos State Environmental Sanitation Corps,,NGA,en,Lagos,@lagescgov,not_sure,,,ngo,Enforces sanitation laws in Lagos
Sustainable Development Goals Nigeria,,NGA,en,Lagos,@sdgsnigeria,@SDGsNigeria,,,ngo,Promotes SDGs in Nigeria
Lagos State Environmental and Special Offences Unit,,NGA,en,Lagos,@taskforce112,not_sure,,,ngo,Enforces environmental laws
Lagos State Environmental Sanitation and Special Offences Unit,,NGA,en,Lagos,@lagos_taskforce,not_sure,,,ngo,Handles environmental offences
