name,email,country,language,city,instagram,twitter,phone,organization,type,notes
David Suzuki Foundation,,CAN,en,Vancouver,@davidsuzukifdn,@DavidSuzukiFDN,,,ngo,Prominent environmental NGO in Canada
Ecojustice Canada,,CAN,en,Vancouver,@ecojustice_ca,@ecojustice_ca,,,ngo,Environmental law organization based in Vancouver
Sierra Club BC,,CAN,en,Vancouver,@sierraclubbc,@SierraClubBC,,,ngo,Focuses on climate action and nature protection
West Coast Environmental Law,,CAN,en,Vancouver,@wcelaw,not_sure,,,ngo,Provides legal support for environmental issues
Georgia Strait Alliance,,CAN,en,Vancouver,@georgiastraitbc,not_sure,,,ngo,Protects marine environment in Georgia Strait
Wildlife Rescue Association of BC,,CAN,en,Vancouver,@wildliferescuebc,not_sure,,,ngo,Rescues and rehabilitates wildlife in BC
Vancouver Foundation,,CAN,en,Vancouver,@vancouverfdn,not_sure,,,ngo,Funds community projects including environmental initiatives
SPEC (Society Promoting Environmental Conservation),,CAN,en,Vancouver,@specbc,not_sure,,,ngo,Focuses on urban sustainability and conservation
BC Sustainable Energy Association,,CAN,en,Vancouver,@bcsustainableenergy,not_sure,,,ngo,Promotes sustainable energy solutions in BC
Living Oceans Society,,CAN,en,Vancouver,@livingoceans,not_sure,,,ngo,Advocates for healthy oceans and marine life
Pacific Wild,,CAN,en,Vancouver,@pacificwild,not_sure,,,ngo,Protects wildlife and their habitat on BC coast
Raincoast Conservation Foundation,,CAN,en,Vancouver,@raincoastconservation,not_sure,,,ngo,Conserves coastal ecosystems and wildlife
Dogwood BC,,CAN,en,Vancouver,@dogwoodbc,not_sure,,,ngo,Empowers citizens to protect environment and democracy
Wilderness Committee,,CAN,en,Vancouver,@wildernesscommittee,not_sure,,,ngo,Advocates for wilderness and wildlife protection
Fraser Riverkeeper,,CAN,en,Vancouver,@fraserriverkeeper,not_sure,,,ngo,Protects water quality in Fraser River
Nature Vancouver,,CAN,en,Vancouver,@naturevancouver,not_sure,,,ngo,Promotes nature appreciation and conservation
Greenpeace Canada,,CAN,en,Vancouver,@greenpeace_canada,@GreenpeaceCA,,,ngo,International environmental NGO with Vancouver office
Ocean Wise,,CAN,en,Vancouver,@oceanwise,@OceanWise,,,ngo,Focuses on ocean conservation and education
BC Parks Foundation,,CAN,en,Vancouver,@bcparksfdn,not_sure,,,ngo,Supports BC parks and protected areas
Canadian Parks and Wilderness Society (CPAWS) BC,,CAN,en,Vancouver,@cpawsbc,not_sure,,,ngo,Protects wilderness and parks in BC
Vancouver Urban Farming Society,,CAN,en,Vancouver,@vanurbanfarmers,not_sure,,,ngo,Promotes urban agriculture and sustainability
Be The Change Earth Alliance,,CAN,en,Vancouver,@bethechangeearthalliance,not_sure,,,ngo,Educates on sustainable living and climate action
Environmental Youth Alliance,,CAN,en,Vancouver,@eyabc,not_sure,,,ngo,Empowers youth for environmental leadership
Vancouver Renewable Energy Cooperative,,CAN,en,Vancouver,@vrecsolar,not_found,,,ngo,Promotes renewable energy solutions in Vancouver
Wild Bird Trust of British Columbia,,CAN,en,Vancouver,@wildbirdtrustbc,not_found,,,ngo,Protects bird habitats and promotes bird conservation
Watershed Watch Salmon Society,,CAN,en,Vancouver,@watershedwatchbc,@WatershedWatch_,,,ngo,Protects wild salmon and their habitats
The Land Conservancy of BC,,CAN,en,Vancouver,@tlc4bc,@TLC4BC,,,ngo,Conserves land and cultural heritage in BC
BC Nature,,CAN,en,Vancouver,@bcnature,@BCNature,,,ngo,Federation of naturalist clubs in BC
Vancouver Humane Society,,CAN,en,Vancouver,@vancouverhumane,@VanHumane,,,ngo,Advocates for animal welfare and protection
Nature Trust of British Columbia,,CAN,en,Vancouver,@naturetrustbc,@NatureTrustBC,,,ngo,Acquires and manages ecologically significant land
BC Environmental Network,,CAN,en,Vancouver,@bceconet,not_found,,,ngo,Network of environmental groups in BC
Vancouver Aquarium,,CAN,en,Vancouver,@vanaqua,@vanaqua,,,ngo,Focuses on marine research and conservation
Burnaby Association for Community Inclusion,,CAN,en,Vancouver,@baci.bc,not_found,,,ngo,Supports inclusive communities and environmental projects
Canadian Wildlife Federation,,CAN,en,Vancouver,@cwf_fcf,@CWF_FCF,,,ngo,National NGO with strong presence in Vancouver
