name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Berlin,,DEU,de,Berlin,@greenpeace_de,@greenpeace_de,,Greenpeace,ngo,Environmental protection and climate action in Berlin
BUND Berlin,,DEU,de,Berlin,@bund_net,@BUND_net,,BUND,ngo,Focus on nature conservation and climate policy
WWF Deutschland,,DEU,de,Berlin,@wwf_deutschland,@WWF_Deutschland,,WWF,ngo,Biodiversity and climate change advocacy
Deutsche Umwelthilfe,,DEU,de,Berlin,@umwelthilfe,@Umwelthilfe,,DUH,ngo,Environmental protection and sustainable development
NABU Berlin,,DEU,de,Berlin,@nabu_deutschland,@NABU_de,,NABU,ngo,Nature conservation and biodiversity in Berlin
Germanwatch,,DEU,de,Berlin,@germanwatch_ev,@Germanwatch,,Germanwatch,ngo,Climate policy and global equity
Berliner Energietisch,,DEU,de,Berlin,@energietisch,not_sure,,Berliner Energietisch,ngo,Energy transition and climate justice
NaturFreunde Berlin,,DEU,de,Berlin,@naturfreunde_de,@naturfreunde_de,,NaturFreunde,ngo,Environmental education and sustainable tourism
Robin Wood,,DEU,de,Berlin,@robinwood_ev,@robin_wood,,Robin Wood,ngo,Forest conservation and climate activism
VCD Verkehrsclub Deutschland,,DEU,de,Berlin,@vcd_ev,@VCD_de,,VCD,ngo,Sustainable transport and urban mobility
Green City e.V.,,DEU,de,Berlin,@greencity_ev,not_found,,Green City,ngo,Urban sustainability and climate projects
Fossil Free Berlin,,DEU,de,Berlin,@fossilfreeberlin,not_found,,Fossil Free,ngo,Campaigns against fossil fuels in Berlin
BürgerBegehren Klimaschutz,,DEU,de,Berlin,@bbklimaschutz,not_found,,BBK,ngo,Climate protection initiatives in Berlin
Grüne Liga Berlin,,DEU,de,Berlin,@grueneliga,@GrueneLiga,,Grüne Liga,ngo,Environmental network and urban ecology
Klima-Allianz Deutschland,,DEU,de,Berlin,@klima_allianz,@Klima_Allianz,,Klima-Allianz,ngo,Climate policy and advocacy network
Brot für die Welt,,DEU,de,Berlin,@brotfuerdiewelt,@BrotfuerdieWelt,,Brot für die Welt,ngo,Global justice and climate change
