name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Natural Resources Defense Council,,YOR,en,New,@nrdc_org,@NRDC,,,ngo,Focus on climate and environmental advocacy
Environmental Defense Fund,,YOR,en,New,@edf_earth,@EnvDefenseFund,,,ngo,Works on climate and energy solutions
Rainforest Alliance,,YOR,en,New,@rainforestalliance,@RnfrstAlliance,,,ngo,Promotes biodiversity and sustainable livelihoods
Wildlife Conservation Society,,YOR,en,New,@thewcs,@TheWCS,,,ngo,Conserves wildlife and wild places globally
350.org,,YOR,en,New,@350org,@350,,,ngo,Global climate movement with NYC presence
The Nature Conservancy,,YOR,en,New,@nature_org,@nature_org,,,ngo,Focus on conservation and climate action
Greenpeace USA,,YOR,en,New,@greenpeaceusa,@greenpeaceusa,,,ngo,Environmental activism and advocacy
Earthjustice,,YOR,en,New,@earthjustice,@Earthjustice,,,ngo,Legal advocacy for environmental issues
Sierra Club,,YOR,en,New,@sierraclub,@SierraClub,,,ngo,Environmental organization with NYC chapter
Friends of the Earth,,YOR,en,New,@foe_us,@foe_us,,,ngo,Focus on environmental justice and sustainability
Audubon Society,,YOR,en,New,@audubonsociety,@audubonsociety,,,ngo,Bird conservation and environmental education
Ocean Conservancy,,YOR,en,New,@oceanconservancy,@OurOcean,,,ngo,Focus on ocean protection and policy
Union of Concerned Scientists,,YOR,en,New,@unionofconcernedscientists,@UCSUSA,,,ngo,Science-based advocacy on climate and security
World Wildlife Fund,,YOR,en,New,@world_wildlife,@World_Wildlife,,,ngo,Conservation and environmental protection
The Climate Reality Project,,YOR,en,New,@climatereality,@ClimateReality,,,ngo,Climate change education and advocacy
Earth Day Initiative,,YOR,en,New,@earthdayinitiative,not_sure,,,ngo,Promotes environmental action and awareness
New York Restoration Project,,YOR,en,New,@nyrp,@NYRP,,,ngo,Urban green spaces and community gardens
Riverkeeper,,YOR,en,New,@riverkeeper,@riverkeeper,,,ngo,Protects the Hudson River and its tributaries
The Solutions Project,,YOR,en,New,@thesolutionsproject,@100isNow,,,ngo,Promotes clean energy solutions
Global Green USA,,YOR,en,New,@globalgreen,@globalgreen,,,ngo,Focus on urban sustainability and climate action
The Ocean Cleanup,,YOR,en,New,@theoceancleanup,@TheOceanCleanup,,,ngo,Develops technologies to remove ocean plastic
Surfrider Foundation,,YOR,en,New,@surfrider,@Surfrider,,,ngo,Protects oceans and beaches
Clean Water Action,,YOR,en,New,@cleanwateraction,@cleanh2oaction,,,ngo,Focus on water quality and environmental health
Earthwatch Institute,,YOR,en,New,@earthwatch,@earthwatch_org,,,ngo,Citizen science and environmental research
The B Team,,YOR,en,New,@bteamhq,@bteamhq,,,ngo,Business leaders advocating for sustainability
The Nature Conservancy - New York,,YOR,en,New,@tncny,not_sure,,,ngo,Local chapter focusing on NY conservation
New York League of Conservation Voters,,YOR,en,New,@nylcv,@nylcv,,,ngo,Advocates for environmental policies in NY
New York City Audubon,,YOR,en,New,@nycaudubon,@nycaudubon,,,ngo,Bird conservation in NYC
The Trust for Public Land,,YOR,en,New,@trustforpublicland,@tpl_org,,,ngo,Creates parks and protects land for public use
American Museum of Natural History,,YOR,en,New,@amnh,@AMNH,,,ngo,Research and education on natural history
The Nature Conservancy - Long Island,,YOR,en,New,@tnclongisland,not_sure,,,ngo,Focus on Long Island conservation efforts
The Climate Group,,YOR,en,New,@climategroup,@ClimateGroup,,,ngo,Accelerates climate action globally
The Wildlife Conservation Film Festival,,YOR,en,New,@wcff_org,@WCFF_org,,,ngo,Promotes awareness through wildlife films
The Global Footprint Network,,YOR,en,New,@footprintnetwork,@EndOvershoot,,,ngo,Focus on ecological footprint and sustainability
The American Bird Conservancy,,YOR,en,New,@americanbirdconservancy,@ABCbirds,,,ngo,Bird conservation across the Americas
The Environmental and Energy Study Institute,,YOR,en,New,@eesionline,@EESIonline,,,ngo,Advocates for sustainable energy policies
The International Institute for Environment and Development,,YOR,en,New,@iied_org,@IIED,,,ngo,Focus on sustainable development and policy
The Global Alliance for the Rights of Nature,,YOR,en,New,@therightsofnature,not_sure,,,ngo,Advocates for legal rights of ecosystems
The International Union for Conservation of Nature,,YOR,en,New,@iucn_org,@IUCN,,,ngo,Global authority on nature conservation
The Global Green Growth Institute,,YOR,en,New,@gggi_hq,@gggi_hq,,,ngo,Promotes sustainable economic growth
The International Institute for Sustainable Development,,YOR,en,New,@iisd_news,@IISD_news,,,ngo,Focus on sustainable development research
The Global Environment Facility,,YOR,en,New,@thegef,@theGEF,,,ngo,Funds projects on environmental sustainability
