name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fundación Terram,,CHL,es,Santiago,@fundacionterram,not_sure,,,other,Environmental policy and advocacy organization
Greenpeace Chile,,CHL,es,Santiago,@greenpeacechile,@GreenpeaceCL,,,other,Global environmental organization with local presence
Fundación Basura,,CHL,es,Santiago,@fundacionbasura,not_sure,,,other,Promotes zero waste lifestyle in Chile
Red de Pobreza Energética,,CHL,es,Santiago,@redpobrezaenergetica,not_sure,,,other,Focuses on energy poverty and sustainability
Fundación Fungi,,CHL,es,Santiago,@fundacionfungi,not_sure,,,other,Conservation of fungi biodiversity
Fundación Huilo Huilo,,CHL,es,Santiago,@fundacionhuilohuilo,not_sure,,,other,Conservation and sustainable tourism
Fundación Chile,,CHL,es,Santiago,@fundacionchile,@fundchile,,,other,Innovation in sustainability and education
Fundación Casa de la Paz,,CHL,es,Santiago,@casadelapaz,not_sure,,,other,Promotes peace and environmental education
Fundación Pumalín,,CHL,es,Santiago,@fundacionpumalin,not_sure,,,other,Conservation of native forests
Fundación Lepe,,CHL,es,Santiago,@fundacionlepe,not_sure,,,other,Supports sustainable development projects
Fundación Ríos to Rivers,,CHL,es,Santiago,@riostorivers,not_sure,,,other,Focuses on river conservation and education
Fundación Mar Adentro,,CHL,es,Santiago,@fundacionmaradentro,not_sure,,,other,Promotes art and nature conservation
Fundación Kennedy,,CHL,es,Santiago,@fundacionkennedy,not_sure,,,other,Wetland conservation and restoration
Fundación Reforestemos,,CHL,es,Santiago,@reforestemos,@Reforestemos,,,other,Reforestation and native forest conservation
Fundación Avina,,CHL,es,Santiago,@fundacionavina,@FundacionAvina,,,other,Sustainable development and social innovation
Fundación Huella Local,,CHL,es,Santiago,@huellalocal,not_sure,,,other,Local development and sustainability projects
Fundación Ciudadano Inteligente,,CHL,es,Santiago,@ciudadanointeligente,@ciudadanoi,,,other,Promotes transparency and civic engagement
Fundación Iguales,,CHL,es,Santiago,@fundacioniguales,@IgualesChile,,,other,Advocates for equality and human rights
Fundación Proyecta Memoria,,CHL,es,Santiago,@proyectamemoria,not_sure,,,other,Preserves historical memory and promotes peace
Fundación Sol,,CHL,es,Santiago,@fundacionsol,@fundacionsol,,,other,Research on labor and social issues
Fundación Trascender,,CHL,es,Santiago,@fundaciontrascender,not_sure,,,other,Volunteerism and social development
Fundación Superación de la Pobreza,,CHL,es,Santiago,@superaciondelapobreza,@FSPobreza,,,other,Poverty alleviation and social inclusion
Fundación Mi Parque,,CHL,es,Santiago,@miparque,@miparque,,,other,Urban green spaces and community development
Fundación América Solidaria,,CHL,es,Santiago,@americasolidaria,@americasol,,,other,International cooperation and social development
Fundación Colunga,,CHL,es,Santiago,@fundacioncolunga,@FColunga,,,other,Social innovation and collaboration
Fundación Pro Bono,,CHL,es,Santiago,@probono_cl,@ProBonoChile,,,other,Legal assistance and social justice
Fundación Chile Descentralizado,,CHL,es,Santiago,@chiledescentralizado,not_sure,,,other,Promotes regional development and decentralization
Fundación Educación 2020,,CHL,es,Santiago,@educacion2020,@educacion2020,,,other,Education reform and policy advocacy
Fundación Emilia,,CHL,es,Santiago,@fundacionemilia,@FundacionEmilia,,,other,Road safety and accident prevention
CODEFF,,CHL,es,Santiago,@codeff_chile,@CODEFF,,,other,Oldest environmental NGO in Chile
Red de Acción por los Derechos Ambientales,,CHL,es,Santiago,@rada_chile,not_sure,,,other,Advocates for environmental rights
Fundación Mi Parque,,CHL,es,Santiago,@fundacionmiparque,@miparque,,,other,Urban green space development
Fundación Ronda,,CHL,es,Santiago,@fundacionronda,@FRonda,,,other,Social inclusion and environmental education
Fundación Sendero de Chile,,CHL,es,Santiago,@senderodechile,not_sure,,,other,Promotes outdoor activities and conservation
Fundación Vivir Más Feliz,,CHL,es,Santiago,@vivirmasfeliz,@vivirmasfeliz,,,other,Supports children with cancer and their families
Fundación Todo Mejora,,CHL,es,Santiago,@todomejora,@todomejora,,,other,LGBTQ+ youth support and mental health
Fundación Integra,,CHL,es,Santiago,@fundacionintegra,@FIntegra,,,other,Early childhood education and care
Fundación País Digital,,CHL,es,Santiago,@paisdigital,@paisdigital,,,other,Digital transformation and innovation
Fundación Descúbreme,,CHL,es,Santiago,@descubreme,@descubreme,,,other,Inclusion of people with disabilities
Fundación Tierra Austral,,CHL,es,Santiago,@fundaciontierraaustral,not_sure,,,other,Land conservation and sustainable use
Fundación Tompkins Conservation,,CHL,es,Santiago,@tompkins_conservation,@tompkinsconserv,,,other,Large-scale conservation projects in Chile
Fundación Vida Silvestre,,CHL,es,Santiago,@fundacionvidasilvestre,@vidasilvestre,,,other,Wildlife conservation and education
Instituto de Ecología y Biodiversidad,,CHL,es,Santiago,@iebchile,not_found,,,other,Research on ecology and biodiversity
Observatorio Ciudadano,,CHL,es,Santiago,@observatoriociudadano,not_found,,,other,Human rights and environmental justice
Sociedad Chilena de Ecología,,CHL,es,Santiago,@sochileco,not_found,,,other,Professional society for ecologists in Chile
Sustentable,,CHL,es,Santiago,@sustentable,not_found,,,other,Promotes sustainable development practices
Territorios Vivos,,CHL,es,Santiago,@territoriosvivos,not_found,,,other,Community-based conservation initiatives
Chile Sustentable,,CHL,es,Santiago,@chilesustentable,@chilesustentabl,,,other,Advocacy for sustainable policies in Chile
Fundación Junto al Barrio,,CHL,es,Santiago,@juntoalbarrio,@juntoalbarrio,,,other,Community development and empowerment
Fundación Urbanismo Social,,CHL,es,Santiago,@urbanismosocial,@urbanismosoc,,,other,Sustainable urban development and planning
Fundación Vivienda,,CHL,es,Santiago,@fundacionvivienda,not_found,,,other,Affordable housing and community development
Fundación para la Innovación Agraria,,CHL,es,Santiago,@fia_chile,@fia_chile,,,other,Agricultural innovation and sustainability
Fundación para la Promoción y Desarrollo de la Mujer,,CHL,es,Santiago,@prodemu,@prodemu,,,other,Women's empowerment and development
Fundación para la Vida,,CHL,es,Santiago,@fundacionparalavida,not_found,,,other,Promotes health and environmental well-being
Fundación Proyecto Propio,,CHL,es,Santiago,@proyectopropio,not_found,,,other,Supports local entrepreneurship and innovation
Fundación Rodelillo,,CHL,es,Santiago,@fundacionrodelillo,not_found,,,other,Family support and community development
Fundación San Carlos de Maipo,,CHL,es,Santiago,@fundacionsancarlos,@fscmaipo,,,other,Social development and environmental projects
Fundación Semilla,,CHL,es,Santiago,@fundacionsemilla,not_found,,,other,Education and environmental awareness
Fundación Servicio Jesuita a Migrantes,,CHL,es,Santiago,@sjmchile,@sjmchile,,,other,Supports migrants and refugees in Chile
