name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fundación Natura Colombia,,COL,es,Bogota,@fundacionnaturacolombia,not_sure,,,ngo,Focus on biodiversity and conservation
WWF Colombia,,COL,es,Bogota,@wwfcolombia,@WWFColombia,,,ngo,Global environmental NGO with local projects
Greenpeace Colombia,,COL,es,Bogota,@greenpeacecolombia,@GreenpeaceColom,,,ngo,International NGO active in climate campaigns
CEMPRE Colombia,,COL,es,Bogota,@cemprecolombia,not_sure,,,ngo,Promotes recycling and waste management
Fundación Humedales Bogotá,,COL,es,Bogota,@humedalesbogota,not_sure,,,ngo,Protects urban wetlands in Bogotá
Red de Jóvenes de Ambiente,,COL,es,Bogota,@redjovenesambiente,not_sure,,,ngo,Youth network for environmental action
Fundación Cerros de Bogotá,,COL,es,Bogota,@cerrosdebogota,not_sure,,,ngo,Conserves Bogotá's mountain ecosystems
Tierra Digna,,COL,es,Bogota,@tierradigna,not_sure,,,ngo,Focuses on environmental justice
Fundación para la Conservación y el Desarrollo Sostenible,,COL,es,Bogota,@fcdscolombia,not_sure,,,ngo,Works on sustainable development
Asociación Ambiente y Sociedad,,COL,es,Bogota,@ambientesociedad,not_sure,,,ngo,Focus on environmental governance
Fundación Gaia Amazonas,,COL,es,Bogota,@gaiaamazonas,not_sure,,,ngo,Supports Amazon conservation
Fundación Natura,,COL,es,Bogota,@fundacionnatura,not_sure,,,ngo,Focus on biodiversity and conservation
Fundación ProAves,,COL,es,Bogota,@proavescolombia,not_sure,,,ngo,Conserves bird species and habitats
Fundación Omacha,,COL,es,Bogota,@fundacionomacha,not_sure,,,ngo,Focus on aquatic ecosystems
Fundación Alma,,COL,es,Bogota,@fundacionalma,not_sure,,,ngo,Promotes sustainable agriculture
Fundación Orinoquia Biodiversa,,COL,es,Bogota,@orinoquiabiodiversa,not_sure,,,ngo,Conserves Orinoquia region biodiversity
Fundación Caminos de Identidad,,COL,es,Bogota,@fundacioncaminos,not_sure,,,ngo,Supports indigenous communities
Fundación Ecológica Terranostra,,COL,es,Bogota,@fundacionterranostra,not_sure,,,ngo,Promotes ecological awareness
Fundación Río Urbano,,COL,es,Bogota,@riourbano,not_sure,,,ngo,Focus on urban river restoration
Fundación Natura Colombia,,COL,es,Bogota,@fundacionnaturacol,not_sure,,,ngo,Focus on biodiversity and conservation
Greenpeace Colombia,,COL,es,Bogota,@greenpeacecol,@GreenpeaceCol,,,ngo,Environmental activism and campaigns
Fundación ProAves,,COL,es,Bogota,@fundacionproaves,not_sure,,,ngo,Bird conservation and habitat protection
Fundación Ambiente y Sociedad,,COL,es,Bogota,@ambienteysociedad,not_sure,,,ngo,Environmental governance and policy advocacy
Fundación Al Verde Vivo,,COL,es,Bogota,@alverdevivo,not_sure,,,ngo,Urban agriculture and sustainability
Fundación Caminos de Identidad,,COL,es,Bogota,@fucai_colombia,not_sure,,,ngo,Supports indigenous communities and biodiversity
Fundación Planeta Azul,,COL,es,Bogota,@planetazulcolombia,not_sure,,,ngo,Water conservation and environmental education
Fundación Biocolombia,,COL,es,Bogota,@biocolombia,not_sure,,,ngo,Biodiversity conservation and research
Fundación Tropenbos Colombia,,COL,es,Bogota,@tropenboscolombia,not_sure,,,ngo,Forest conservation and indigenous rights
Fundación Amigos del Chocó,,COL,es,Bogota,@amigosdelchoco,not_sure,,,ngo,Conservation of Chocó's biodiversity
Fundación Pro Sierra Nevada de Santa Marta,,COL,es,Bogota,@prosierracol,not_sure,,,ngo,Conservation of Sierra Nevada ecosystems
Fundación Yubarta,,COL,es,Bogota,@fundacionyubarta,not_sure,,,ngo,Marine conservation and research
Fundación Zoológica de Cali,,COL,es,Bogota,@zoologicocali,not_sure,,,ngo,Wildlife conservation and education
Fundación Vida Silvestre,,COL,es,Bogota,@fundacionvidas,not_sure,,,ngo,Wildlife protection and habitat restoration
Fundación para la Investigación y el Desarrollo Sostenible,,COL,es,Bogota,@fidescolombia,not_sure,,,ngo,Research and sustainable development
Fundación para la Protección del Medio Ambiente,,COL,es,Bogota,@proambientecol,not_sure,,,ngo,Environmental protection and advocacy
Fundación para la Restauración de Ecosistemas,,COL,es,Bogota,@restauracionecologica,not_sure,,,ngo,Ecosystem restoration and conservation
