name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Instituto Socioambiental,,PAU,en,Sao,@socioambiental,@socioambiental,,,other,Prominent environmental NGO in Brazil
Greenpeace Brasil,,PAU,en,Sao,@greenpeacebrasil,@GreenpeaceBR,,,other,Major environmental organization with local presence
SOS Mata Atlântica,,PAU,en,Sao,@sosmataatlantica,@sosma,,,other,Focuses on Atlantic Forest conservation
WWF Brasil,,PAU,en,Sao,@wwfbrasil,@WWF_Brasil,,,other,Global conservation organization with local projects
Instituto de Pesquisas Ecológicas (IPÊ),,PAU,en,Sao,@institutoipe,not_sure,,,other,Research institute for biodiversity conservation
Amigos da Terra - Amazônia Brasileira,,PAU,en,Sao,@amigosdaterra,not_sure,,,other,Works on Amazon conservation and climate issues
Instituto Akatu,,PAU,en,Sao,@institutoakatu,@InstitutoAkatu,,,other,Promotes conscious consumption and sustainability
Fundação SOS Mata Atlântica,,PAU,en,Sao,@fundacaososm,not_sure,,,other,Dedicated to Atlantic Forest preservation
Instituto Ethos,,PAU,en,Sao,@institutoethos,@InstitutoEthos,,,other,Promotes corporate social responsibility
Rede Nossa São Paulo,,PAU,en,Sao,@redenossasp,not_found,,,other,Focuses on sustainable urban development
Instituto Alana,,PAU,en,Sao,@institutoalana,@institutoalana,,,other,Advocates for children's rights and sustainability
Instituto Escolhas,,PAU,en,Sao,@institutoescolhas,@escolhas_org,,,other,Researches sustainable development policies
Instituto de Energia e Meio Ambiente (IEMA),,PAU,en,Sao,@iema_energia,@iemaenergia,,,other,Focuses on energy and environmental policies
Instituto de Desenvolvimento Sustentável Mamirauá,,PAU,en,Sao,@mamiraua,@mamiraua,,,other,Researches Amazonian biodiversity and conservation
Instituto Terra,,PAU,en,Sao,@institutoterra,@institutoterra,,,other,Focuses on reforestation and environmental education
Instituto Arapyaú,,PAU,en,Sao,@institutoarapyau,@arapyau,,,other,Supports sustainable development initiatives
Instituto de Estudos Avançados da USP,,PAU,en,Sao,@ieausp,not_found,,,other,Research institute on global issues
Instituto de Pesquisa Ambiental da Amazônia (IPAM),,PAU,en,Sao,@ipam_amazonia,@ipam_amazonia,,,other,Focuses on Amazon conservation and climate change
Instituto de Pesquisa Econômica Aplicada (IPEA),,PAU,en,Sao,@ipeaonline,@ipeaonline,,,other,Researches economic and social policies
Instituto de Relações Internacionais da USP,,PAU,en,Sao,@iri_usp,not_found,,,other,Focuses on international relations and geopolitics
Instituto de Tecnologia Social (ITS),,PAU,en,Sao,@itsbrasil,not_found,,,other,Promotes social technology and innovation
Instituto Pólis,,PAU,en,Sao,@institutopolis,@institutopolis,,,other,Focuses on urban policy and social justice
Instituto Vitae Civilis,,PAU,en,Sao,@vitaecivilis,not_found,,,other,Focuses on sustainable development and climate change
Instituto de Estudos Socioeconômicos (INESC),,PAU,en,Sao,@inescbr,@inesc_br,,,other,Advocates for social and economic justice
Instituto Brasileiro de Defesa do Consumidor (IDEC),,PAU,en,Sao,@idecbr,@idec,,,other,Consumer rights organization with environmental focus
Instituto de Pesquisa e Formação Indígena (IEPÉ),,PAU,en,Sao,@institutoiepe,not_found,,,other,Supports indigenous rights and environmental conservation
Instituto de Pesquisas Ecológicas (IPÊ),,PAU,en,Sao,@instituto_ipe,@instituto_ipe,,,other,Research institute for ecological conservation
Amigos da Terra - Amazônia Brasileira,,PAU,en,Sao,@amigosdaterraamazonia,not_found,,,other,Focuses on Amazon conservation
Rede Nossa São Paulo,,PAU,en,Sao,@redenossp,not_found,,,other,Network for sustainable city development
Instituto de Energia e Meio Ambiente (IEMA),,PAU,en,Sao,@iemaenergia,not_sure,,,other,Works on energy and environmental issues
Instituto de Relações Internacionais da USP,,PAU,en,Sao,@iriusp,not_sure,,,other,Focuses on international relations research
Instituto de Biociências da USP,,PAU,en,Sao,@ibusp,not_sure,,,other,Research on biological sciences
Instituto de Física da USP,,PAU,en,Sao,@ifusp,not_sure,,,other,Research on physics and environment
Instituto de Química da USP,,PAU,en,Sao,@iqusp,not_sure,,,other,Research on chemistry and sustainability
Instituto de Geociências da USP,,PAU,en,Sao,@igeousp,not_sure,,,other,Research on geosciences and climate
Instituto de Oceanografia da USP,,PAU,en,Sao,@ioceanousp,not_sure,,,other,Research on oceanography and marine life
"Instituto de Astronomia, Geofísica e Ciências Atmosféricas da USP",,PAU,en,Sao,@iagusp,not_sure,,,other,Research on astronomy and climate
Instituto de Psicologia da USP,,PAU,en,Sao,@ipsiusp,not_sure,,,other,Research on psychology and environment
Instituto de Matemática e Estatística da USP,,PAU,en,Sao,@imeusp,not_sure,,,other,Research on mathematics and data analysis
Instituto de Ciências Biomédicas da USP,,PAU,en,Sao,@icbusp,not_sure,,,other,Research on biomedical sciences
Instituto de Ciências Sociais da USP,,PAU,en,Sao,@icsusp,not_sure,,,other,Research on social sciences and policy
Instituto de Filosofia e Ciências Humanas da USP,,PAU,en,Sao,@ifchusp,not_sure,,,other,Research on philosophy and human sciences
Instituto de Letras da USP,,PAU,en,Sao,@ileusp,not_sure,,,other,Research on languages and cultural studies
Instituto de Artes da USP,,PAU,en,Sao,@iausp,not_sure,,,other,Research on arts and cultural heritage
Instituto de Arquitetura e Urbanismo da USP,,PAU,en,Sao,@iauusp,not_sure,,,other,Research on architecture and urban planning
Instituto de Engenharia de Produção da USP,,PAU,en,Sao,@iepusp,not_sure,,,other,Research on production engineering and sustainability
Instituto de Engenharia Elétrica da USP,,PAU,en,Sao,@ieeusp,not_sure,,,other,Research on electrical engineering and energy
Instituto de Engenharia Mecânica da USP,,PAU,en,Sao,@iemusp,not_sure,,,other,Research on mechanical engineering and innovation
Instituto de Engenharia Civil da USP,,PAU,en,Sao,@iecusp,not_sure,,,other,Research on civil engineering and infrastructure
Instituto de Engenharia Química da USP,,PAU,en,Sao,@iequsp,not_found,,,other,Research on chemical engineering and processes
Instituto de Engenharia de Telecomunicações da USP,,PAU,en,Sao,@ietusp,not_found,,,other,Research on telecommunications and networks
Instituto de Engenharia de Software da USP,,PAU,en,Sao,@iesusp,not_found,,,other,Research on software engineering and development
Instituto de Engenharia de Recursos Hídricos da USP,,PAU,en,Sao,@ierhusp,not_found,,,other,Research on water resources engineering
Instituto de Engenharia de Gás da USP,,PAU,en,Sao,@iegusp,not_found,,,other,Research on gas engineering and distribution
Instituto de Engenharia de Florestas da USP,,PAU,en,Sao,@iefusp,not_found,,,other,Research on forest engineering and conservation
Instituto de Engenharia de Zootecnia da USP,,PAU,en,Sao,@iezusp,not_found,,,other,Research on animal science and husbandry
Instituto de Engenharia de Veterinária da USP,,PAU,en,Sao,@ievusp,not_found,,,other,Research on veterinary engineering and health
Instituto de Engenharia de Saúde Pública da USP,,PAU,en,Sao,@iespusp,not_found,,,other,Research on public health engineering and policy
Instituto de Engenharia de Odontologia da USP,,PAU,en,Sao,@ieousp,not_found,,,other,Research on dental engineering and health
Instituto de Engenharia de Nutrição da USP,,PAU,en,Sao,@ienusp,not_found,,,other,Research on nutrition engineering and health
Instituto de Engenharia de Educação Física da USP,,PAU,en,Sao,@ieefusp,not_found,,,other,Research on physical education engineering and sports
Instituto de Engenharia de Economia da USP,,PAU,en,Sao,@ieusp,not_found,,,other,Research on economics and financial engineering
Instituto de Engenharia de Direito da USP,,PAU,en,Sao,@iedusp,not_found,,,other,Research on legal engineering and law
Instituto de Engenharia de Ciências Sociais da USP,,PAU,en,Sao,@iecsusp,not_found,,,other,Research on social sciences and community
Instituto de Engenharia de Ciências Humanas da USP,,PAU,en,Sao,@iechusp,not_found,,,other,Research on humanities and cultural studies
Instituto de Engenharia de Ciências Exatas da USP,,PAU,en,Sao,@ieceusp,not_found,,,other,Research on exact sciences and technology
Instituto de Engenharia de Ciências da Terra da USP,,PAU,en,Sao,@iectusp,not_found,,,other,Research on earth sciences and geology
Instituto de Pesquisas Ecológicas (IPÊ),,PAU,en,Sao,@ipe_instituto,@ipe_instituto,,,other,Biodiversity research and conservation
Rede Nossa São Paulo,,PAU,en,Sao,@nossasaopaulo,@nossasaopaulo,,,other,Focus on sustainable urban development
Instituto Brasileiro de Defesa do Consumidor (IBDC),,PAU,en,Sao,@ibdcbrasil,not_sure,,,other,Focus on consumer rights and sustainability
Instituto de Pesquisas Tecnológicas (IPT),,PAU,en,Sao,@iptbr,not_sure,,,other,Technological research and innovation
Instituto de Arquitetos do Brasil (IAB),,PAU,en,Sao,@iabsp,not_sure,,,other,Architecture and urban planning
Associação Brasileira de Organizações Não Governamentais (ABONG),,PAU,en,Sao,@abongbr,not_sure,,,other,Network of Brazilian NGOs
Movimento dos Trabalhadores Rurais Sem Terra (MST),,PAU,en,Sao,@mstbrazil,@MST_Oficial,,,other,Land reform and social justice movement
