name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fridays for Future Santiago,,CHL,es,Santiago,@fffchile,not_sure,,,activist,Youth-led climate action group in Santiago
Greenpeace Chile,,CHL,es,Santiago,@greenpeacechile,@GreenpeaceCL,,,activist,Environmental NGO with strong presence in Santiago
Fundación Terram,,CHL,es,Santiago,@fundacionterram,not_sure,,,activist,Focuses on environmental policy and advocacy
CODEFF,,CHL,es,Santiago,@codeff_chile,not_sure,,,activist,Oldest environmental NGO in Chile
Red de Acción por los Derechos Ambientales,,CHL,es,Santiago,@rada_chile,not_sure,,,activist,Advocates for environmental justice in Santiago
Observatorio Latinoamericano de Conflictos Ambientales,,CHL,es,Santiago,@olca_chile,not_sure,,,activist,Monitors environmental conflicts in Latin America
Fundación Basura,,CHL,es,Santiago,@fundacionbasura,not_sure,,,activist,Promotes waste reduction and recycling
Ecosistemas Chile,,CHL,es,Santiago,@ecosistemas_chile,not_sure,,,activist,Focuses on biodiversity and ecosystem protection
Fundación FIMA,,CHL,es,Santiago,@fundacionfima,not_sure,,,activist,Legal defense for environmental protection
Chile Sustentable,,CHL,es,Santiago,@chilesustentable,not_sure,,,activist,Promotes sustainable development policies
Movimiento por el Agua y los Territorios,,CHL,es,Santiago,@mat_chile,not_sure,,,activist,Advocates for water rights and territorial protection
Fundación Pumalín,,CHL,es,Santiago,@fundacionpumalin,not_sure,,,activist,Conservation of natural ecosystems in Chile
Fundación Huilo Huilo,,CHL,es,Santiago,@fundacionhuilohuilo,not_sure,,,activist,Biodiversity conservation in southern Chile
Fundación Altiplano,,CHL,es,Santiago,@fundacionaltiplano,not_sure,,,activist,Cultural and environmental heritage preservation
Fundación Lepe,,CHL,es,Santiago,@fundacionlepe,not_sure,,,activist,Supports sustainable community development
Fundación Mar Adentro,,CHL,es,Santiago,@fundacionmaradentro,not_sure,,,activist,Promotes art and nature integration
Fundación Ríos to Rivers,,CHL,es,Santiago,@riostorivers,not_sure,,,activist,Focuses on river conservation and education
Fundación Casa de la Paz,,CHL,es,Santiago,@casadelapaz,not_sure,,,activist,Promotes peace and environmental sustainability
Fundación Kennedy,,CHL,es,Santiago,@fundacionkennedy,not_sure,,,activist,Wetland conservation and restoration
Fundación Sendero de Chile,,CHL,es,Santiago,@senderodechile,not_sure,,,activist,Promotes outdoor education and conservation
Fundación Patagonia Sur,,CHL,es,Santiago,@patagoniasur,not_sure,,,activist,Conservation and sustainable development in Patagonia
Fundación Tierra Austral,,CHL,es,Santiago,@fundaciontierraaustral,not_sure,,,activist,Land conservation and stewardship
Fundación Reforestemos,,CHL,es,Santiago,@reforestemos,@reforestemos,,,activist,Reforestation and native forest restoration
Fundación Huinay,,CHL,es,Santiago,@fundacionhuinay,not_sure,,,activist,Marine and terrestrial ecosystem research
Fundación Senda Darwin,,CHL,es,Santiago,@sendadarwin,not_sure,,,activist,Biodiversity research and conservation
Fundación Alerce 3000,,CHL,es,Santiago,@alerce3000,not_sure,,,activist,Conservation of ancient forests
Fridays for Future Chile,,CHL,es,Santiago,@fridaysforfuturechile,@fffchile,,,activist,Youth-led climate action group in Santiago
Fundación Terram,contacto@terram.cl,CHL,es,Santiago,,@fundacionterram,,,activist,Focuses on environmental policy and advocacy
CODEFF,info@codeff.cl,CHL,es,Santiago,,not_sure,,,activist,Oldest environmental NGO in Chile
Fundación Huilo Huilo,info@huilohuilo.org,CHL,es,Santiago,,not_sure,,,activist,Conservation and biodiversity in southern Chile
Observatorio Latinoamericano de Conflictos Ambientales,olca@olca.cl,CHL,es,Santiago,,not_sure,,,activist,Monitors environmental conflicts in Latin America
Ecoceanos,info@ecoceanos.cl,CHL,es,Santiago,,not_sure,,,activist,Marine conservation and policy
Fundación Casa de la Paz,info@casadelapaz.cl,CHL,es,Santiago,,not_sure,,,activist,Promotes peace and environmental sustainability
Fundación Chile Sustentable,info@chilesustentable.net,CHL,es,Santiago,,not_sure,,,activist,Sustainable development and environmental policy
Fundación Newenko,,CHL,es,Santiago,@fundacionnewenko,not_sure,,,activist,Water conservation and indigenous rights
Fundación Pumalín,info@fundacionpumalin.cl,CHL,es,Santiago,,not_sure,,,activist,Conservation of native forests and biodiversity
Fundación Altiplano,contacto@fundacionaltiplano.cl,CHL,es,Santiago,,not_sure,,,activist,Cultural and environmental heritage conservation
Fundación Ríos to Rivers,info@riostorivers.org,CHL,es,Santiago,,not_sure,,,activist,River conservation and youth education
Fundación Kennedy,info@fundacionkennedy.cl,CHL,es,Santiago,,not_sure,,,activist,Wetland conservation and environmental education
Fundación Rompientes,,CHL,es,Santiago,@fundacionrompientes,not_sure,,,activist,Marine conservation and surfing community
Fundación Plantae,,CHL,es,Santiago,@fundacionplantae,not_sure,,,activist,Urban gardening and environmental education
Fundación Alerce 3000,info@alerce3000.cl,CHL,es,Santiago,,not_sure,,,activist,Conservation of ancient forests in Chile
Fundación La Semilla,info@fundacionlasemilla.cl,CHL,es,Santiago,,not_sure,,,activist,Sustainable agriculture and community development
Fundación Punta de Lobos,,CHL,es,Santiago,@fundacionpuntadelobos,not_sure,,,activist,Coastal conservation and surfing community
Fundación Tierra Austral,info@tierraaustral.org,CHL,es,Santiago,,not_sure,,,activist,Land conservation and environmental education
Fundación Trile,,CHL,es,Santiago,@fundaciontrile,not_sure,,,activist,Bird conservation and environmental education
Fundación WCS Chile,info@wcs.cl,CHL,es,Santiago,,not_sure,,,activist,Wildlife conservation and research
Fundación Yendegaia,,CHL,es,Santiago,@fundacionyendegaia,not_sure,,,activist,Patagonian conservation and sustainable development
