name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Fundación Vida Silvestre Argentina,,AIR,en,Buenos,@vidasilvestre,@VidaSilvestreAR,,Fundación Vida Silvestre,other,Prominent environmental NGO in Argentina
Greenpeace Argentina,,AIR,en,Buenos,@greenpeacearg,@GreenpeaceArg,,Greenpeace,other,Global NGO with strong local presence
Amigos de la Tierra Argentina,,AIR,en,Buenos,@amigosdelatierrarg,@AmigosTierraArg,,Amigos de la Tierra,other,Focus on environmental justice and sustainability
Banco de Bosques,,AIR,en,Buenos,@bancodebosques,@bancodebosques,,Banco de Bosques,other,Works on forest conservation in Argentina
Fundación Ambiente y Recursos Naturales (FARN),,AIR,en,Buenos,@farnargentina,@farnargentina,,FARN,other,Advocates for environmental policy and law
CICODI,,AIR,en,Buenos,@cicodi,not_sure,,CICODI,other,Focus on sustainable development and climate action
Eco House Global,,AIR,en,Buenos,@ecohouseglobal,@EcoHouseGlobal,,Eco House,other,Promotes environmental education and activism
Fundación Huerta Niño,,AIR,en,Buenos,@huertanino,@HuertaNino,,Fundación Huerta Niño,other,Supports sustainable agriculture and education
Red de Acción Climática Argentina,,AIR,en,Buenos,@redaccionclimatica,not_sure,,Red de Acción Climática,other,Network for climate change advocacy
Asociación Civil por la Igualdad y la Justicia (ACIJ),,AIR,en,Buenos,@acijargentina,@acijargentina,,ACIJ,other,Focus on social justice and environmental rights
Fundación Patagonia Natural,,AIR,en,Buenos,@patagonianatural,not_sure,,Fundación Patagonia Natural,other,Conserves Patagonia's natural resources
Fundación ProYungas,,AIR,en,Buenos,@proyungas,@ProYungas,,Fundación ProYungas,other,Works on biodiversity in Yungas region
Fundación R21,,AIR,en,Buenos,@r21_,not_sure,,Fundación R21,other,Promotes sustainable development in Latin America
Fundación Temaikèn,,AIR,en,Buenos,@temaiken,@temaiken,,Fundación Temaikèn,other,Focus on wildlife conservation and education
Fundación Vida,,AIR,en,Buenos,@fundacionvida,not_sure,,Fundación Vida,other,Promotes environmental awareness and action
Fundación YPF,,AIR,en,Buenos,@fundacionypf,@FundacionYPF,,Fundación YPF,other,Focus on energy sustainability and education
Green Film Fest,,AIR,en,Buenos,@greenfilmfest,not_sure,,Green Film Fest,other,Environmental film festival in Buenos Aires
Instituto de Conservación de Ballenas,,AIR,en,Buenos,@icbargentina,not_sure,,ICB,other,Focus on whale conservation and research
Jóvenes por el Clima Argentina,,AIR,en,Buenos,@jovenesxelclima,@jovenesclimarg,,Jóvenes por el Clima,other,Youth-led climate action group
La Bioguía,,AIR,en,Buenos,@labioguia,@labioguia,,La Bioguía,other,Online platform for sustainable living
Red de Mujeres en Conservación de Latinoamérica y el Caribe,,AIR,en,Buenos,@redmujeresconservacion,not_sure,,Red de Mujeres en Conservación,other,Network for women in conservation
Revista Ecomanía,,AIR,en,Buenos,@revistaecomania,@revistaecomania,,Revista Ecomanía,other,Magazine on sustainable living and ecology
Surfrider Argentina,,AIR,en,Buenos,@surfriderarg,@surfriderarg,,Surfrider Foundation,other,Focus on ocean and beach conservation
Unión de Trabajadores de la Tierra (UTT),,AIR,en,Buenos,@uttnacional,@uttnacional,,UTT,other,Supports sustainable agriculture and farmers' rights
WWF Argentina,,AIR,en,Buenos,@wwfargentina,@WWF_Argentina,,WWF,other,Global conservation organization with local projects
