name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Jamie Margolin,,FRA,en,San,@jamie_s_margolin,@Jamie_Margolin,,Zero Hour,activist,"Co-founder of Zero Hour, climate activist"
Bill McKibben,,FRA,en,San,@billmckibben,@billmckibben,,350.org,activist,"Founder of 350.org, climate change advocate"
May Boeve,,FRA,en,San,@mayboeve,@mayboeve,,350.org,activist,Executive Director of 350.org
Annie Leonard,,FRA,en,San,@annie_leonard,not_sure,,Greenpeace USA,activist,Executive Director of Greenpeace USA
Xiuhtezcatl Martinez,,FRA,en,San,@xiuhtezcatl,@xiuhtezcatl,,Earth Guardians,activist,Youth Director of Earth Guardians
Varshini Prakash,,FRA,en,San,@varshprakasht,@VarshPrakash,,Sunrise Movement,activist,Co-founder of Sunrise Movement
Kumi Naidoo,,FRA,en,San,@kuminaidoo,@kuminaidoo,,Amnesty International,activist,Former Secretary General of Amnesty International
Erica Fernandez Zamora,,FRA,en,San,@ericafernandezzamora,not_sure,,Environmental Justice Advocate,activist,Environmental justice advocate
Nikki Silvestri,,FRA,en,San,@nikkisilvestri,@nikkisilvestri,,Soil and Shadow,activist,"Founder of Soil and Shadow, climate equity"
Julian Brave NoiseCat,,FRA,en,San,@jnoisecat,@jnoisecat,,Climate Justice Advocate,activist,Climate justice advocate and writer
Leah Thomas,,FRA,en,San,@greengirlleah,@Greengirlleah,,Intersectional Environmentalist,activist,Founder of Intersectional Environmentalist
Rhiana Gunn-Wright,,FRA,en,San,@rgunns,@rgunns,,Roosevelt Institute,activist,Climate policy expert
Tara Houska,,FRA,en,San,@zhaabowekwe,@zhaabowekwe,,Honor the Earth,activist,Founder of Giniw Collective
Favianna Rodriguez,,FRA,en,San,@favianna1,@favianna,,CultureStrike,activist,Cultural organizer and climate activist
Alec Loorz,,FRA,en,San,@alecloorz,not_sure,,Our Children's Trust,activist,Founder of Kids vs. Global Warming
Emily Atkin,,FRA,en,San,@emorwee,@emorwee,,Heated,activist,Climate journalist and activist
Bill Weihl,,FRA,en,San,@billweihl,not_sure,,ClimateVoice,activist,Founder of ClimateVoice
Rolf Skar,,FRA,en,San,@rolfskar,not_sure,,Greenpeace USA,activist,Forest campaign director at Greenpeace USA
Katherine Hayhoe,,FRA,en,San,@kathhayhoe,@KHayhoe,,Climate Scientist,activist,Climate scientist and communicator
Naomi Klein,,FRA,en,San,@naomiklein,@NaomiAKlein,,Author and Activist,activist,Author and climate activist
Paul Hawken,,FRA,en,San,@paulhawken,not_sure,,Project Drawdown,activist,Founder of Project Drawdown
Rebecca Solnit,,FRA,en,San,@rebeccasolnit,@RebeccaSolnit,,Author and Activist,activist,Author and climate activist
Tom Steyer,,FRA,en,San,@tomsteyer,@TomSteyer,,NextGen America,activist,Founder of NextGen America
