name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Environment Support Group,info@esgindia.org,IND,hi,Bangalore,@esgindia,@esgindia,,,ngo,Focus on environmental justice and governance
Ashoka Trust for Research in Ecology and the Environment,info@atree.org,IND,hi,Bangalore,@atree_org,@atree_org,,,ngo,Research on biodiversity and conservation
Centre for Environment Education,ceebangalore@ceeindia.org,IND,hi,Bangalore,@ceeindia,@cee_india,,,ngo,Environmental education and awareness
Bangalore Environment Trust,contact@bet.org.in,IND,hi,Bangalore,@bangaloreenvironmenttrust,not_sure,,,ngo,Urban environmental issues and solutions
Wildlife Conservation Society India,info@wcsindia.org,IND,hi,Bangalore,@wcsindia,@wcsindia,,,ngo,Wildlife conservation and research
Greenpeace India,connect.india@greenpeace.org,IND,hi,Bangalore,@greenpeaceindia,@greenpeaceindia,,,ngo,Environmental activism and campaigns
The Energy and Resources Institute,teri@teri.res.in,IND,hi,Bangalore,@teriin,@teriin,,,ngo,Research on sustainable development
Sustainability Initiatives,info@sustainability-initiatives.org,IND,hi,Bangalore,@sustainability.initiatives,not_sure,,,ngo,Promotes sustainable urban development
Indian Youth Climate Network,info@iycn.in,IND,hi,Bangalore,@iycn.in,@iycn,,,ngo,Youth-led climate action network
Centre for Science and Environment,cse@cseindia.org,IND,hi,Bangalore,@cseindia,@cseindia,,,ngo,Research and advocacy on environmental issues
Janaagraha Centre for Citizenship and Democracy,contact@janaagraha.org,IND,hi,Bangalore,@janaagraha,@janaagraha,,,ngo,Urban governance and civic engagement
SankalpTaru Foundation,info@sankalptaru.org,IND,hi,Bangalore,@sankalptaru,@sankalptaru,,,ngo,Tree plantation and environmental conservation
Indian Institute of Science - Centre for Ecological Sciences,ces@iisc.ac.in,IND,hi,Bangalore,@iiscbangalore,@iiscbangalore,,,ngo,Research on ecology and environment
Bangalore Sustainability Forum,info@bangaloresustainabilityforum.org,IND,hi,Bangalore,@bangaloresustainabilityforum,not_sure,,,ngo,Platform for sustainability discussions
Hasiru Dala,info@hasirudala.in,IND,hi,Bangalore,@hasirudala,not_sure,,,ngo,Waste management and social inclusion
Centre for Wildlife Studies,info@cwsindia.org,IND,hi,Bangalore,@cwsindia,@cwsindia,,,ngo,Wildlife research and conservation
Bangalore Political Action Committee,info@bpac.in,IND,hi,Bangalore,@bpacofficial,@BPACofficial,,,ngo,Civic and political engagement
Namma Bengaluru Foundation,info@nammabengaluru.org,IND,hi,Bangalore,@nammabengalurufoundation,@namma_bengaluru,,,ngo,Urban development and civic issues
The Nature Conservancy India,india@tnc.org,IND,hi,Bangalore,@tncindia,@TNC_India,,,ngo,Conservation and sustainable development
Biome Environmental Trust,biometrust@gmail.com,IND,hi,Bangalore,@biome_trust,not_sure,,,ngo,Water conservation and sustainable architecture
Sustainable Alternatives for Poverty Reduction and Ecological Justice,info@sapnaindia.org,IND,hi,Bangalore,@sapna_india,not_sure,,,ngo,Poverty reduction and ecological justice
Centre for Sustainable Development,info@csdindia.org,IND,hi,Bangalore,@csdindia,not_sure,,,ngo,Sustainable development initiatives
Bangalore Climate Change Initiative - Karnataka,info@bcci-k.org,IND,hi,Bangalore,@bcci_karnataka,not_sure,,,ngo,Climate change policy and action
Indian Institute for Human Settlements,info@iihs.co.in,IND,hi,Bangalore,@iihsbangalore,@IIHSin,,,ngo,Urban research and education
The Indian Institute of World Culture,info@iiwcindia.org,IND,hi,Bangalore,@iiwcindia,not_sure,,,ngo,Cultural exchange and education
Centre for Policy Research,cprindia@cprindia.org,IND,hi,Bangalore,@cpr_india,@CPR_India,,,ngo,Policy research and advocacy
"Srishti Institute of Art, Design and Technology",info@srishti.ac.in,IND,hi,Bangalore,@srishti_institute,not_sure,,,ngo,Art and design education with sustainability focus
The Indian Institute of Science - Divecha Centre for Climate Change,dccc@iisc.ac.in,IND,hi,Bangalore,@iiscbangalore,@iiscbangalore,,,ngo,Climate change research and policy
Centre for Internet and Society,info@cis-india.org,IND,hi,Bangalore,@cis_india,@cis_india,,,ngo,Digital rights and internet policy
Bangalore Little Theatre,info@bangalorelittletheatre.org,IND,hi,Bangalore,@bangalorelittletheatre,not_sure,,,ngo,Theatre with social themes
The Indian Institute of Science - Centre for Atmospheric and Oceanic Sciences,caos@iisc.ac.in,IND,hi,Bangalore,@iiscbangalore,@iiscbangalore,,,ngo,Research on atmospheric sciences
The Indian Institute of Science - Centre for Sustainable Technologies,cst@iisc.ac.in,IND,hi,Bangalore,@iiscbangalore,@iiscbangalore,,,ngo,Sustainable technology research
"The Indian Institute of Science - Centre for Infrastructure, Sustainable Transportation and Urban Planning",cistup@iisc.ac.in,IND,hi,Bangalore,@iiscbangalore,@iiscbangalore,,,ngo,Urban planning and sustainable transport
The Indian Institute of Science - Centre for Nano Science and Engineering,cense@iisc.ac.in,IND,hi,Bangalore,@iiscbangalore,@iiscbangalore,,,ngo,Nanotechnology and sustainability research
The Indian Institute of Science - Centre for Product Design and Manufacturing,cpdm@iisc.ac.in,IND,hi,Bangalore,@iiscbangalore,not_sure,,,ngo,Design and manufacturing for sustainability
The Indian Institute of Science - Centre for Earth Sciences,ceas@iisc.ac.in,IND,hi,Bangalore,@iiscbangalore,not_sure,,,ngo,Earth sciences research
Bangalore Environment Trust,bangaloreenvironmenttrust@gmail.com,IND,hi,Bangalore,,not_found,,Bangalore Environment Trust,ngo,Promotes sustainable urban development
Sustainability Initiatives,contact@sustainability-initiatives.org,IND,hi,Bangalore,,not_found,,Sustainability Initiatives,ngo,Promotes sustainable practices in urban areas
Greenpeace India,contact.in@greenpeace.org,IND,hi,Bangalore,@greenpeaceindia,@greenpeaceindia,,Greenpeace India,ngo,Environmental activism and awareness
The Energy and Resources Institute (TERI),contact@teri.res.in,IND,hi,Bangalore,@teriin,@teriin,,TERI,ngo,Research on energy and environment
Indian Institute of Science - Centre for Ecological Sciences,cesoffice@iisc.ac.in,IND,hi,Bangalore,,not_sure,,IISc CES,ngo,Ecological research and education
Janaagraha Centre for Citizenship and Democracy,janaagraha@janaagraha.org,IND,hi,Bangalore,@janaagraha,@janaagraha,,Janaagraha,ngo,Urban governance and civic engagement
Biome Environmental Trust,info@biometrust.org,IND,hi,Bangalore,@biome_trust,not_sure,,Biome Environmental Trust,ngo,Water conservation and sustainable architecture
Centre for Environment Education,cee@ceeindia.org,IND,hi,Bangalore,@ceeindia,@cee_india,,CEE,ngo,Environmental education and awareness
Sahaja Samrudha,sahajasamrudha@gmail.com,IND,hi,Bangalore,@sahajasamrudha,not_sure,,Sahaja Samrudha,ngo,Organic farming and seed conservation
Bangalore Political Action Committee (B.PAC),contact@bpac.in,IND,hi,Bangalore,@bpacofficial,@bpacofficial,,B.PAC,ngo,Civic participation and governance
