name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Africa,,ZAF,en,Johannesburg,@greenpeaceafrica,@GreenpeaceAfric,,,ngo,Regional office for environmental campaigns
WWF South Africa,,ZAF,en,Johannesburg,@wwfsouthafrica,@WWFSouthAfrica,,,ngo,Focus on biodiversity and conservation
South African Institute of International Affairs,,ZAF,en,Johannesburg,@saiia_info,@SAIIA_info,,,ngo,Geopolitics and international affairs research
African Climate Reality Project,,ZAF,en,Johannesburg,@climatereality,@AfricaCRP,,,ngo,Climate change advocacy and education
Endangered Wildlife Trust,,ZAF,en,Johannesburg,@endangeredwildlifetrust,@TheEWT,,,ngo,Wildlife conservation and protection
Institute for Security Studies,,ZAF,en,Johannesburg,@issafrica,@issafrica,,,ngo,Peace and security research
African Centre for Biodiversity,,ZAF,en,Johannesburg,@africanbiodiversity,not_sure,,,ngo,Biodiversity and sustainable agriculture
Earthlife Africa Johannesburg,,ZAF,en,Johannesburg,@earthlife_africa,not_sure,,,ngo,Environmental justice and activism
Centre for Environmental Rights,,ZAF,en,Johannesburg,@cer.org.za,@CentreEnvRights,,,ngo,Legal advocacy for environmental rights
African Parks,,ZAF,en,Johannesburg,@africanparksnetwork,@AfricanParks,,,ngo,Conservation and park management
South African National Biodiversity Institute,,ZAF,en,Johannesburg,@sanbi_za,@SANBI_ZA,,,ngo,Biodiversity research and conservation
Climate Action Network South Africa,,ZAF,en,Johannesburg,@cansa_za,not_found,,,ngo,Climate policy and advocacy
BirdLife South Africa,,ZAF,en,Johannesburg,@birdlife_sa,@BirdLife_SA,,,ngo,Bird conservation and protection
South African Faith Communities Environment Institute,,ZAF,en,Johannesburg,@safcei,@SAFCEI,,,ngo,Faith-based environmental advocacy
Centre for the Study of Violence and Reconciliation,,ZAF,en,Johannesburg,@csvr_za,not_found,,,ngo,Peacebuilding and reconciliation
African Wildlife Foundation,,ZAF,en,Johannesburg,@africanwildlifefoundation,@AWF_Official,,,ngo,Wildlife conservation and community engagement
Sustainable Energy Africa,,ZAF,en,Johannesburg,@sustainableenergyafrica,not_found,,,ngo,Promotes sustainable energy solutions
GreenMatter,,ZAF,en,Johannesburg,@greenmatterza,not_found,,,ngo,Biodiversity skills development
Project 90 by 2030,,ZAF,en,Johannesburg,@project90by2030,not_found,,,ngo,Climate change and energy advocacy
African Climate and Development Initiative,,ZAF,en,Johannesburg,@acdi_uct,not_found,,,ngo,Climate and development research
WESSA (Wildlife and Environment Society of South Africa),,ZAF,en,Johannesburg,@wessa_za,@WESSA_za,,,ngo,Environmental education and conservation
South African Water Caucus,,ZAF,en,Johannesburg,@sawatercaucus,not_found,,,ngo,Water rights and advocacy
African Centre for the Constructive Resolution of Disputes,,ZAF,en,Johannesburg,@accord_online,@ACCORD_online,,,ngo,Conflict resolution and peacebuilding
South African Youth Climate Change Coalition,,ZAF,en,Johannesburg,@sayccc,not_found,,,ngo,Youth-led climate action
GenderCC Southern Africa,,ZAF,en,Johannesburg,@genderccsa,not_found,,,ngo,Gender and climate change advocacy
Right2Know Campaign,,ZAF,en,Johannesburg,@r2kcampaign,@r2kcampaign,,,ngo,Freedom of information and advocacy
South African National Energy Development Institute,,ZAF,en,Johannesburg,@sanedi_za,not_found,,,ngo,Energy research and development
