name,email,country,language,city,instagram,twitter,phone,organization,type,notes
TEMA Vakfı,,TUR,tr,Istanbul,@temavakfi,@temavakfi,,TEMA Foundation,other,Prominent environmental NGO in Turkey
Greenpeace Türkiye,,TUR,tr,Istanbul,@greenpeacetr,@greenpeacetr,,Greenpeace,other,International NGO with local environmental campaigns
WWF Türkiye,,TUR,tr,Istanbul,@wwfturkiye,@wwfturkiye,,World Wildlife Fund,other,Focus on biodiversity and conservation
Doğa Derneği,,TUR,tr,Istanbul,@dogadernegi,not_sure,,Nature Association,other,Works on nature conservation projects
Buğday Derneği,,TUR,tr,Istanbul,@bugdayorg,not_sure,,Buğday Association,other,Promotes ecological living and sustainability
Sürdürülebilir Yaşam Derneği,,TUR,tr,Istanbul,@surdurulebiliryasam,not_sure,,Sustainable Living Association,other,Focus on sustainable living practices
İstanbul Politikalar Merkezi,,TUR,tr,Istanbul,@ipcistanbul,not_sure,,Istanbul Policy Center,other,Research center on climate and policy
Yeşil Düşünce Derneği,,TUR,tr,Istanbul,@yesildusunce,not_sure,,Green Thought Association,other,Promotes green politics and sustainability
Ekolojik Yaşam Derneği,,TUR,tr,Istanbul,@ekolojikyasam,not_sure,,Ecological Life Association,other,Advocates for ecological living
İklim Haber,,TUR,tr,Istanbul,@iklimhaber,not_sure,,Climate News,other,Media outlet focused on climate news
Sivil Düşün,,TUR,tr,Istanbul,@sivildusun,not_sure,,Sivil Düşün,other,Supports civil society initiatives
İstanbul Çevre Konseyi,,TUR,tr,Istanbul,@istanbulcevre,not_sure,,Istanbul Environment Council,other,Local environmental advocacy group
Kuzey Ormanları Savunması,,TUR,tr,Istanbul,@kuzeyormanlari,not_sure,,Northern Forests Defense,other,Protects Istanbul's northern forests
İstanbul Bilgi Üniversitesi Sürdürülebilirlik Merkezi,,TUR,tr,Istanbul,@bilgiuniversitesi,not_sure,,Bilgi University Sustainability Center,other,University center on sustainability
İstanbul Büyükşehir Belediyesi Çevre Koruma Müdürlüğü,,TUR,tr,Istanbul,@ibbcevre,@ibbcevre,,Istanbul Municipality Environmental Protection,other,City's environmental protection department
İstanbul Üniversitesi Çevre Kulübü,,TUR,tr,Istanbul,@iucevre,not_sure,,Istanbul University Environment Club,other,Student club focused on environment
ÇEKÜL Vakfı,,TUR,tr,Istanbul,@cekulvakfi,@cekulvakfi,,ÇEKÜL Foundation,other,Cultural and natural heritage conservation
İstanbul Kent Konseyi,,TUR,tr,Istanbul,@istanbulkentkonseyi,@istanbulkentkonseyi,,Istanbul City Council,other,Facilitates civic engagement in city planning
İstanbul Barosu Çevre Komisyonu,,TUR,tr,Istanbul,@istanbulbarosu,@istanbulbarosu,,Istanbul Bar Association Environment Commission,other,Legal advocacy for environmental issues
İstanbul Teknik Üniversitesi Çevre Mühendisliği Bölümü,,TUR,tr,Istanbul,@itucevre,not_sure,,ITU Environmental Engineering Department,other,Academic department focused on environmental engineering
İstanbul Üniversitesi İklim Değişikliği Uygulama ve Araştırma Merkezi,,TUR,tr,Istanbul,@iuiklim,not_sure,,Istanbul University Climate Change Center,other,Research center on climate change
İstanbul Şehir Üniversitesi Çevre ve Enerji Kulübü,,TUR,tr,Istanbul,@sehircevre,not_sure,,Istanbul Şehir University Environment and Energy Club,other,Student club on environment and energy
İstanbul Üniversitesi Sürdürülebilirlik Kulübü,,TUR,tr,Istanbul,@iusurdurulebilirlik,not_sure,,Istanbul University Sustainability Club,other,Student club focused on sustainability
İstanbul Bilgi Üniversitesi Çevre Kulübü,,TUR,tr,Istanbul,@bilgicevre,not_sure,,Bilgi University Environment Club,other,Student club focused on environmental issues
İstanbul Üniversitesi Çevre ve Şehircilik Fakültesi,,TUR,tr,Istanbul,@iucevresehircilik,not_sure,,Istanbul University Faculty of Environment and Urbanization,other,Academic faculty on environment and urbanization
İstanbul Üniversitesi İklim ve Enerji Kulübü,,TUR,tr,Istanbul,@iuiklimenerji,not_sure,,Istanbul University Climate and Energy Club,other,Student club on climate and energy
İstanbul Üniversitesi Çevre ve Doğa Kulübü,,TUR,tr,Istanbul,@iucevreve,not_sure,,Istanbul University Environment and Nature Club,other,Student club focused on environment and nature
İstanbul Üniversitesi Çevre ve İklim Kulübü,,TUR,tr,Istanbul,@iucevreiklim,not_sure,,Istanbul University Environment and Climate Club,other,Student club on environment and climate
İstanbul Üniversitesi Çevre ve Enerji Araştırma Merkezi,,TUR,tr,Istanbul,@iucevreenerji,not_sure,,Istanbul University Environment and Energy Research Center,other,Research center on environment and energy
