name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace East Asia,,CHN,zh,Beijing,@greenpeaceeastasia,@GreenpeaceEA,,Greenpeace,other,Environmental advocacy in Beijing
Friends of Nature,,CHN,zh,Beijing,@fonchina,not_sure,,Friends of Nature,other,Oldest environmental NGO in China
China Biodiversity Conservation and Green Development Foundation,,CHN,zh,Beijing,@cbcgdf,not_sure,,CBCGDF,other,Focus on biodiversity conservation
Beijing Energy Network,,CHN,zh,Beijing,@beijingenergynetwork,not_sure,,BEN,other,Promotes sustainable energy solutions
China Youth Climate Action Network,,CHN,zh,Beijing,@cycanetwork,not_sure,,CYCAN,other,Youth-led climate action network
Institute of Public & Environmental Affairs,,CHN,zh,Beijing,@ipechina,not_sure,,IPE,other,Environmental data transparency
The Nature Conservancy China,,CHN,zh,Beijing,@tnc_china,not_sure,,TNC,other,Conservation projects across China
China Council for International Cooperation on Environment and Development,,CHN,zh,Beijing,@cciced,not_sure,,CCICED,other,Policy advisory on environment and development
Global Environmental Institute,,CHN,zh,Beijing,@geichina,not_sure,,GEI,other,Sustainable development initiatives
World Wildlife Fund China,,CHN,zh,Beijing,@wwfchina,not_sure,,WWF,other,Wildlife conservation efforts in China
China Green Foundation,,CHN,zh,Beijing,@chinagreenfoundation,not_sure,,CGF,other,Forestry and greening projects
Beijing Forestry Society,,CHN,zh,Beijing,@beijingforestrysociety,not_sure,,BFS,other,Promotes urban forestry
China Environmental Protection Foundation,,CHN,zh,Beijing,@cepfchina,not_sure,,CEPF,other,Supports environmental protection projects
China Association for NGO Cooperation,,CHN,zh,Beijing,@cango_china,not_sure,,CANGO,other,Facilitates NGO cooperation
Beijing Environmental Protection Bureau,,CHN,zh,Beijing,@beijingepb,not_sure,,BEPB,other,Governmental environmental agency
China Climate Change Info-Net,,CHN,zh,Beijing,@chinaclimatechange,not_sure,,CCIC,other,Climate change information dissemination
China Green Carbon Foundation,,CHN,zh,Beijing,@chinagreencarbon,not_sure,,CGCF,other,Carbon offset projects
China Environmental United Certification Center,,CHN,zh,Beijing,@ceucc,not_sure,,CEUCC,other,Environmental certification services
China National Environmental Monitoring Center,,CHN,zh,Beijing,@cnemc,not_sure,,CNEMC,other,National environmental monitoring
China Environmental Science Society,,CHN,zh,Beijing,@cesschina,not_sure,,CESS,other,Promotes environmental science research
China Renewable Energy Society,,CHN,zh,Beijing,@creschina,not_sure,,CRES,other,Advocates for renewable energy
China Institute of Water Resources and Hydropower Research,,CHN,zh,Beijing,@ciwrhr,not_sure,,IWHR,other,Research on water resources
China National Nuclear Corporation,,CHN,zh,Beijing,@cnnc_china,not_sure,,CNNC,other,Nuclear energy development
China National Petroleum Corporation,,CHN,zh,Beijing,@cnpc_china,not_sure,,CNPC,other,Petroleum and energy sector
China National Offshore Oil Corporation,,CHN,zh,Beijing,@cnooc_china,not_sure,,CNOOC,other,Offshore oil and gas exploration
China Three Gorges Corporation,,CHN,zh,Beijing,@ctg_china,not_sure,,CTG,other,Hydropower development
China Huaneng Group,,CHN,zh,Beijing,@huaneng_china,not_sure,,CHG,other,Electricity generation and supply
China Datang Corporation,,CHN,zh,Beijing,@datang_china,not_sure,,CDC,other,Power generation company
China Guodian Corporation,,CHN,zh,Beijing,@guodian_china,not_sure,,CGC,other,Electricity production and supply
China Huadian Corporation,,CHN,zh,Beijing,@huadian_china,not_sure,,CHC,other,Energy production and distribution
China Energy Conservation and Environmental Protection Group,,CHN,zh,Beijing,@cecep_china,not_sure,,CECEP,other,Energy conservation projects
China Southern Power Grid,,CHN,zh,Beijing,@csg_china,not_sure,,CSG,other,Electricity transmission and distribution
China National Building Material Group Corporation,,CHN,zh,Beijing,@cnbm_china,not_sure,,CNBM,other,Building materials and construction
China National Chemical Corporation,,CHN,zh,Beijing,@chemchina,not_sure,,ChemChina,other,Chemical industry leader
China National Offshore Oil Engineering Company,,CHN,zh,Beijing,@cooec_china,not_sure,,COOEC,other,Offshore engineering services
China National Aviation Fuel Group Corporation,,CHN,zh,Beijing,@cnaf_china,not_sure,,CNAF,other,Aviation fuel supply
China National Coal Group Corporation,,CHN,zh,Beijing,@cncgc_china,not_sure,,CNCGC,other,Coal mining and production
China National Gold Group Corporation,,CHN,zh,Beijing,@cngc_china,not_sure,,CNGC,other,Gold mining and production
China National Salt Industry Corporation,,CHN,zh,Beijing,@cnsalt_china,not_sure,,CNSIC,other,Salt production and supply
China National Tobacco Corporation,,CHN,zh,Beijing,@cntc_china,not_sure,,CNTC,other,Tobacco production and distribution
China National Machinery Industry Corporation,,CHN,zh,Beijing,@sinomach_china,not_sure,,Sinomach,other,Machinery manufacturing
China National Pharmaceutical Group Corporation,,CHN,zh,Beijing,@sinopharm_china,not_sure,,Sinopharm,other,Pharmaceutical production
China National Offshore Oil Corporation Energy Technology & Services,,CHN,zh,Beijing,@cnoocet_china,not_sure,,CNOOC ET,other,Energy technology services
China National Offshore Oil Corporation Gas & Power Group,,CHN,zh,Beijing,@cnoocgp_china,not_sure,,CNOOC GP,other,Gas and power services
China National Offshore Oil Corporation International,,CHN,zh,Beijing,@cnooci_china,not_sure,,CNOOC International,other,International oil and gas operations
China National Offshore Oil Corporation Research Institute,,CHN,zh,Beijing,@cnoocri_china,not_found,,CNOOC RI,other,Research and development
China National Offshore Oil Corporation Safety & Environmental Protection,,CHN,zh,Beijing,@cnoocsep_china,not_found,,CNOOC SEP,other,Safety and environmental protection
China National Offshore Oil Corporation Technical Services,,CHN,zh,Beijing,@cnoocts_china,not_found,,CNOOC TS,other,Technical services for oil and gas
China National Offshore Oil Corporation Well Services,,CHN,zh,Beijing,@cnoocws_china,not_found,,CNOOC WS,other,Well services for oil and gas
China National Offshore Oil Corporation Engineering & Construction,,CHN,zh,Beijing,@cnoocec_china,not_found,,CNOOC EC,other,Engineering and construction services
China National Offshore Oil Corporation Logistics,,CHN,zh,Beijing,@cnoocl_china,not_found,,CNOOC Logistics,other,Logistics services for oil and gas
China National Offshore Oil Corporation Marine Services,,CHN,zh,Beijing,@cnoocms_china,not_found,,CNOOC MS,other,Marine services for oil and gas
China National Offshore Oil Corporation Offshore Oil Engineering,,CHN,zh,Beijing,@cnoocooe_china,not_found,,CNOOC OOE,other,Offshore oil engineering services
China National Offshore Oil Corporation Offshore Oil Production,,CHN,zh,Beijing,@cnoocop_china,not_found,,CNOOC OOP,other,Offshore oil production services
China National Offshore Oil Corporation Offshore Oil Transportation,,CHN,zh,Beijing,@cnoocot_china,not_found,,CNOOC OT,other,Offshore oil transportation services
China National Offshore Oil Corporation Offshore Oil Drilling,,CHN,zh,Beijing,@cnoocod_china,not_found,,CNOOC OD,other,Offshore oil drilling services
China National Offshore Oil Corporation Offshore Oil Exploration,,CHN,zh,Beijing,@cnoocoe_china,not_found,,CNOOC OE,other,Offshore oil exploration services
China National Offshore Oil Corporation Offshore Oil Refining,,CHN,zh,Beijing,@cnoocor_china,not_found,,CNOOC OR,other,Offshore oil refining services
China National Offshore Oil Corporation Offshore Oil Marketing,,CHN,zh,Beijing,@cnoocom_china,not_found,,CNOOC OM,other,Offshore oil marketing services
China National Offshore Oil Corporation Offshore Oil Sales,,CHN,zh,Beijing,@cnoocos_china,not_found,,CNOOC OS,other,Offshore oil sales services
China National Offshore Oil Corporation Offshore Oil Trading,,CHN,zh,Beijing,@cnoocotd_china,not_found,,CNOOC OTD,other,Offshore oil trading services
China National Offshore Oil Corporation Offshore Oil Finance,,CHN,zh,Beijing,@cnoocof_china,not_found,,CNOOC OF,other,Offshore oil finance services
China National Offshore Oil Corporation Offshore Oil Insurance,,CHN,zh,Beijing,@cnoocoi_china,not_found,,CNOOC OI,other,Offshore oil insurance services
China National Offshore Oil Corporation Offshore Oil Legal,,CHN,zh,Beijing,@cnoocol_china,not_found,,CNOOC OL,other,Offshore oil legal services
China National Offshore Oil Corporation Offshore Oil HR,,CHN,zh,Beijing,@cnoochr_china,not_found,,CNOOC HR,other,Offshore oil human resources services
China National Offshore Oil Corporation Offshore Oil IT,,CHN,zh,Beijing,@cnoocit_china,not_sure,,CNOOC IT,other,Offshore oil IT services
China National Offshore Oil Corporation Offshore Oil R&D,,CHN,zh,Beijing,@cnoocrd_china,not_sure,,CNOOC R&D,other,Offshore oil research and development
China National Offshore Oil Corporation Offshore Oil Procurement,,CHN,zh,Beijing,@cnoocoproc_china,not_sure,,CNOOC Procurement,other,Offshore oil procurement services
China National Offshore Oil Corporation Offshore Oil Supply Chain,,CHN,zh,Beijing,@cnoocsc_china,not_sure,,CNOOC SC,other,Offshore oil supply chain services
China National Offshore Oil Corporation Offshore Oil Logistics,,CHN,zh,Beijing,@cnooclog_china,not_sure,,CNOOC Logistics,other,Offshore oil logistics services
China National Offshore Oil Corporation Offshore Oil Maintenance,,CHN,zh,Beijing,@cnoocmaint_china,not_sure,,CNOOC Maintenance,other,Offshore oil maintenance services
China National Offshore Oil Corporation Offshore Oil Operations,,CHN,zh,Beijing,@cnoocoop_china,not_sure,,CNOOC Operations,other,Offshore oil operations services
China National Offshore Oil Corporation Offshore Oil Projects,,CHN,zh,Beijing,@cnoocoproj_china,not_sure,,CNOOC Projects,other,Offshore oil projects services
China National Offshore Oil Corporation Offshore Oil Quality,,CHN,zh,Beijing,@cnoocqual_china,not_sure,,CNOOC Quality,other,Offshore oil quality services
China National Offshore Oil Corporation Offshore Oil Safety,,CHN,zh,Beijing,@cnoocsafe_china,not_sure,,CNOOC Safety,other,Offshore oil safety services
China National Offshore Oil Corporation Offshore Oil Security,,CHN,zh,Beijing,@cnoocsec_china,not_sure,,CNOOC Security,other,Offshore oil security services
China National Offshore Oil Corporation Offshore Oil Strategy,,CHN,zh,Beijing,@cnoocstrat_china,not_sure,,CNOOC Strategy,other,Offshore oil strategy services
China National Offshore Oil Corporation Offshore Oil Sustainability,,CHN,zh,Beijing,@cnoocsust_china,not_sure,,CNOOC Sustainability,other,Offshore oil sustainability services
China National Offshore Oil Corporation Offshore Oil Technology,,CHN,zh,Beijing,@cnooctech_china,not_sure,,CNOOC Technology,other,Offshore oil technology services
China National Offshore Oil Corporation Offshore Oil Training,,CHN,zh,Beijing,@cnooctrain_china,not_sure,,CNOOC Training,other,Offshore oil training services
China National Offshore Oil Corporation Offshore Oil Transport,,CHN,zh,Beijing,@cnooctrans_china,not_sure,,CNOOC Transport,other,Offshore oil transport services
China National Offshore Oil Corporation Offshore Oil Ventures,,CHN,zh,Beijing,@cnoocvent_china,not_sure,,CNOOC Ventures,other,Offshore oil ventures services
China National Offshore Oil Corporation Offshore Oil Waste Management,,CHN,zh,Beijing,@cnoocwm_china,not_sure,,CNOOC Waste Management,other,Offshore oil waste management services
The Climate Group China,,CHN,zh,Beijing,@theclimategroup,not_sure,,The Climate Group,other,Advocates for climate action in China
China Environmental Protection Foundation,,CHN,zh,Beijing,@chinaepf,not_sure,,CEPF,other,Supports environmental protection projects
Beijing Climate Center,,CHN,zh,Beijing,@beijingclimatecenter,not_sure,,Beijing Climate Center,other,Research on climate change impacts
Beijing Green Exchange,,CHN,zh,Beijing,@beijinggreenexchange,not_sure,,Beijing Green Exchange,other,Platform for green finance and trading
