name,email,country,language,city,instagram,twitter,phone,organization,type,notes
David Suzuki Foundation,,CAN,en,Toronto,@davidsuzukifdn,@DavidSuzukiFDN,,David Suzuki Foundation,other,Prominent environmental NGO in Canada
Environmental Defence Canada,,CAN,en,Toronto,@envirodefence,@envirodefence,,Environmental Defence,other,Advocates for clean water and climate action
Toronto Environmental Alliance,,CAN,en,Toronto,@toenviro,@TOenviro,,Toronto Environmental Alliance,other,Local environmental advocacy group
Greenpeace Canada,,CAN,en,Toronto,@greenpeace_canada,@GreenpeaceCA,,Greenpeace Canada,other,International NGO with Toronto presence
Ontario Nature,,CAN,en,Toronto,@ontarionature,@ontarionature,,Ontario Nature,other,Protects wild species and spaces in Ontario
Nature Conservancy of Canada,,CAN,en,Toronto,@naturecanada,@NCC_CNC,,Nature Conservancy of Canada,other,Conserves Canada's natural heritage
Evergreen Canada,,CAN,en,Toronto,@evergreencanada,@EvergreenCanada,,Evergreen Canada,other,Focuses on sustainable urban development
World Wildlife Fund Canada,,CAN,en,Toronto,@wwfcanada,@WWFCanada,,WWF Canada,other,Conservation organization with Toronto office
Toronto Wildlife Centre,,CAN,en,Toronto,@torontowildlifecentre,@TWC_Wildlife,,Toronto Wildlife Centre,other,Rehabilitates sick and injured wildlife
Canadian Environmental Law Association,,CAN,en,Toronto,@cela_facts,@CELA_Facts,,CELA,other,Provides legal aid for environmental issues
Friends of the Earth Canada,,CAN,en,Toronto,@foecanada,@foecanada,,Friends of the Earth Canada,other,Environmental advocacy organization
Toronto and Region Conservation Authority,,CAN,en,Toronto,@trca_hq,@TRCA_HQ,,TRCA,other,Manages natural resources in Toronto area
Pollution Probe,,CAN,en,Toronto,@pollutionprobe,@PollutionProbe,,Pollution Probe,other,Focuses on environmental health and sustainability
Canadian Parks and Wilderness Society,,CAN,en,Toronto,@cpaws,@cpaws,,CPAWS,other,Protects Canada's wilderness areas
Ecojustice Canada,,CAN,en,Toronto,@ecojustice_ca,@ecojustice_ca,,Ecojustice Canada,other,Environmental law charity
Ontario Clean Air Alliance,,CAN,en,Toronto,@cleanairalliance,@oncleanair,,Ontario Clean Air Alliance,other,Advocates for clean air policies
Toronto Climate Action Network,,CAN,en,Toronto,@tcanetwork,not_sure,,TCAN,other,Network of climate-focused groups in Toronto
Canadian Association of Physicians for the Environment,,CAN,en,Toronto,@cape_doctors,@CAPE_ACME,,CAPE,other,Doctors advocating for environmental health
Climate Action Network Canada,,CAN,en,Toronto,@climateactionca,@CANRacCanada,,Climate Action Network,other,Coalition of climate organizations
Green Neighbours Network of Toronto,,CAN,en,Toronto,@green_neighbours,not_sure,,Green Neighbours Network,other,Community-based environmental action group
Canadian Urban Institute,,CAN,en,Toronto,@canurb,@CanUrb,,Canadian Urban Institute,other,Focuses on urban policy and development
Toronto Green Community,,CAN,en,Toronto,@torontogreencommunity,not_sure,,Toronto Green Community,other,Promotes sustainable living in Toronto
Sierra Club Canada Foundation,,CAN,en,Toronto,@sierraclubcanada,@SierraClubCan,,Sierra Club Canada,other,Environmental organization with Toronto chapter
Canadian Environmental Network,,CAN,en,Toronto,@rcenetwork,not_sure,,RCEN,other,Network of environmental NGOs
Toronto Field Naturalists,,CAN,en,Toronto,@torontofieldnaturalists,not_sure,,Toronto Field Naturalists,other,Promotes nature appreciation and conservation
Ontario Federation of Labour,,CAN,en,Toronto,@ontariofedlabour,@OFLabour,,Ontario Federation of Labour,other,Advocates for workers' rights and environmental justice
Canadian Voice of Women for Peace,,CAN,en,Toronto,@vowpeace,@VOWPeace,,VOW,other,Women's peace organization
Peace Brigades International Canada,,CAN,en,Toronto,@pbicanada,@PBIcanada,,PBI Canada,other,Supports human rights and peace initiatives
Canadian Centre for Policy Alternatives,,CAN,en,Toronto,@ccpa,@ccpa,,CCPA,other,Progressive policy research institute
Amnesty International Canada,,CAN,en,Toronto,@amnestycanada,@AmnestyNow,,Amnesty International Canada,other,Human rights organization with Toronto office
Canadian Friends Service Committee,,CAN,en,Toronto,@cfscquakers,@CFSCQuakers,,CFSC,other,Quaker peace and social justice organization
