name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Environment Support Group,,IND,hi,Bangalore,@esgindia,@esgindia,,Environment Support Group,other,Local environmental advocacy group
Ashoka Trust for Research in Ecology and the Environment,,IND,hi,Bangalore,@atree_org,@ATREE_org,,ATREE,other,Research on ecology and environment
Bangalore Sustainability Forum,,IND,hi,Bangalore,@bangaloresustainabilityforum,not_sure,,Bangalore Sustainability Forum,other,Promotes sustainable urban living
Indian Institute of Science,,IND,hi,Bangalore,@iiscbangalore,@iiscbangalore,,IISc,other,Research on climate and sustainability
Centre for Environment Education,,IND,hi,Bangalore,@ceebangalore,not_sure,,CEE,other,Environmental education and awareness
Bangalore Political Action Committee,,IND,hi,Bangalore,@bpacofficial,@BPACofficial,,B.PAC,other,Civic and political engagement
Jhatkaa.org,,IND,hi,Bangalore,@jhatkaadotorg,@jhatkaadotorg,,Jhatkaa.org,other,Digital advocacy for social change
Citizen Matters,,IND,hi,Bangalore,@citizenmatters,@citizenmatters,,Citizen Matters,other,Covers urban issues and civic engagement
Hasiru Dala,,IND,hi,Bangalore,@hasirudala,@hasirudala,,Hasiru Dala,other,Waste management and social justice
The Energy and Resources Institute,,IND,hi,Bangalore,@teriin,@teriin,,TERI,other,Research on energy and environment
Greenpeace India,,IND,hi,Bangalore,@greenpeaceindia,@greenpeaceindia,,Greenpeace India,other,Environmental activism and campaigns
Wildlife Conservation Society India,,IND,hi,Bangalore,@wcsindia,@WCSIndia,,WCS India,other,Wildlife conservation and research
The Nature Conservancy India,,IND,hi,Bangalore,@tnc_india,@TNC_India,,TNC India,other,Nature conservation and climate action
Bangalore Environment Trust,,IND,hi,Bangalore,@bangaloreenvironmenttrust,not_sure,,Bangalore Environment Trust,other,Environmental protection initiatives
Sustainability Initiatives,,IND,hi,Bangalore,@sustainability_initiatives,not_sure,,Sustainability Initiatives,other,Promotes sustainable practices
Centre for Science and Environment,,IND,hi,Bangalore,@cseindia,@CSEINDIA,,CSE,other,Research and advocacy on environment
Bangalore Climate Action Group,,IND,hi,Bangalore,@bangaloreclimateaction,not_sure,,Bangalore Climate Action Group,other,Local climate action initiatives
Indian Youth Climate Network,,IND,hi,Bangalore,@iycn.in,@IYCN_India,,IYCN,other,Youth-led climate action network
Sustainable Alternatives for Poverty Reduction and Ecological Justice,,IND,hi,Bangalore,@sapindia,not_sure,,SAP,other,Focus on sustainability and justice
Bangalore Eco Team,,IND,hi,Bangalore,@bangaloreecoteam,not_sure,,Bangalore Eco Team,other,Community-driven environmental projects
Bangalore Green Brigade,,IND,hi,Bangalore,@bangaloregreenbrigade,not_sure,,Bangalore Green Brigade,other,Urban greening and conservation efforts
Centre for Wildlife Studies,,IND,hi,Bangalore,@cwsindia,@cwsindia,,CWS,other,Wildlife research and conservation
Bangalore Peace Initiative,,IND,hi,Bangalore,@bangalorepeaceinitiative,not_sure,,Bangalore Peace Initiative,other,Promotes peace and conflict resolution
Bangalore Biodiversity Network,,IND,hi,Bangalore,@bangalorebiodiversitynetwork,not_sure,,Bangalore Biodiversity Network,other,Biodiversity conservation efforts
Bangalore Urban Farming Collective,,IND,hi,Bangalore,@bangaloreurbanfarming,not_sure,,Bangalore Urban Farming Collective,other,Promotes urban agriculture and sustainability
Bangalore Water Warriors,,IND,hi,Bangalore,@bangalorewaterwarriors,not_sure,,Bangalore Water Warriors,other,Water conservation and management
