name,email,country,language,city,instagram,twitter,phone,organization,type,notes
TEMA Vakfı,,TUR,tr,Istanbul,@temavakfi,@temavakfi,,,ngo,Focus on reforestation and soil conservation.
Greenpeace Akdeniz,,TUR,tr,Istanbul,@greenpeaceakdeniz,@greenpeace_mediterranean,,,ngo,Environmental protection and climate action.
WWF Türkiye,,TUR,tr,Istanbul,@wwfturkiye,@WWF_Turkiye,,,ngo,Nature conservation and biodiversity.
Buğday Derneği,,TUR,tr,Istanbul,@bugdayorg,not_sure,,,ngo,Sustainable living and organic farming.
Doğa Derneği,,TUR,tr,Istanbul,@dogadernegi,@dogadernegi,,,ngo,Biodiversity and nature conservation.
ÇEKÜL Vakfı,,TUR,tr,Istanbul,@cekulvakfi,@cekulvakfi,,,ngo,Cultural and natural heritage protection.
Sürdürülebilir Kalkınma Derneği,,TUR,tr,Istanbul,@skdturkiye,@skdturkiye,,,ngo,Sustainable development advocacy.
Yeşil Düşünce Derneği,,TUR,tr,Istanbul,@yesildusunce,not_sure,,,ngo,Promotes green politics and sustainability.
İstanbul Permakültür Kolektifi,,TUR,tr,Istanbul,@istanbulpermakultur,not_sure,,,ngo,Permaculture and sustainable practices.
Ekolojik Yaşam Derneği,,TUR,tr,Istanbul,@ekolojikyasamdernegi,not_sure,,,ngo,Focus on ecological living.
Kuzey Ormanları Savunması,,TUR,tr,Istanbul,@kuzeyormanlari,not_sure,,,ngo,Protects Northern Forests of Istanbul.
Yeryüzü Derneği,,TUR,tr,Istanbul,@yeryuzudernegi,not_sure,,,ngo,Focus on sustainable urban living.
Sivil Toplum Geliştirme Merkezi,,TUR,tr,Istanbul,@stgmorgtr,@stgmorgtr,,,ngo,Supports civil society development.
İstanbul Çevre Konseyi,,TUR,tr,Istanbul,@istanbulcevre,not_found,,,ngo,Environmental advocacy in Istanbul.
Kadıköy Belediyesi Çevre Koruma,,TUR,tr,Istanbul,@kadikoybelediyesi,not_found,,,ngo,Municipal environmental initiatives.
İstanbul Kent Konseyi,,TUR,tr,Istanbul,@istanbulkentkonseyi,not_found,,,ngo,Urban policy and sustainability.
Sosyal İklim Derneği,,TUR,tr,Istanbul,@sosyaliklim,not_found,,,ngo,Focus on climate change awareness.
İklim İçin Biz,,TUR,tr,Istanbul,@iklimicinbiz,not_found,,,ngo,Climate action and advocacy.
Ekosfer Derneği,,TUR,tr,Istanbul,@ekosferorg,not_found,,,ngo,Environmental protection and climate action.
Sürdürülebilir Yaşam Derneği,,TUR,tr,Istanbul,@surdurulebiliryasam,not_found,,,ngo,Promotes sustainable living practices.
İstanbul Çevre Derneği,,TUR,tr,Istanbul,@istanbulcevred,not_found,,,ngo,Local environmental advocacy.
Doğal Hayatı Koruma Vakfı,,TUR,tr,Istanbul,@dogalhayatikorumavakfi,not_found,,,ngo,Wildlife and habitat conservation.
İstanbul Doğa Koruma Derneği,,TUR,tr,Istanbul,@istanbuldogakoruma,not_found,,,ngo,Nature conservation in Istanbul.
Sürdürülebilir Enerji Derneği,,TUR,tr,Istanbul,@surdurulebilirenerji,not_found,,,ngo,Focus on renewable energy advocacy.
İstanbul İklim Platformu,,TUR,tr,Istanbul,@istanbuliklim,not_found,,,ngo,Climate change initiatives in Istanbul.
Çevre ve Kültür Değerlerini Koruma Vakfı,,TUR,tr,Istanbul,@cevrevekultur,not_found,,,ngo,Protects environmental and cultural values.
İstanbul Sürdürülebilirlik Derneği,,TUR,tr,Istanbul,@istanbulsurdurulebilirlik,not_found,,,ngo,Promotes sustainability in Istanbul.
İstanbul Çevre ve Şehircilik Derneği,,TUR,tr,Istanbul,@istanbulcevresehircilik,not_found,,,ngo,Focus on urban environmental issues.
İstanbul Doğa ve Çevre Derneği,,TUR,tr,Istanbul,@istanbuldogacevre,not_found,,,ngo,Nature and environment advocacy.
İstanbul İklim ve Enerji Derneği,,TUR,tr,Istanbul,@istanbuliklimenerji,not_found,,,ngo,Climate and energy initiatives.
İstanbul Çevre ve Doğa Derneği,,TUR,tr,Istanbul,@istanbulcevredoga,not_found,,,ngo,Environmental and nature protection.
İstanbul Sürdürülebilir Kalkınma Derneği,,TUR,tr,Istanbul,@istanbulsurdurulebilirkalkinma,not_found,,,ngo,Focus on sustainable development.
İstanbul Çevre ve İklim Derneği,,TUR,tr,Istanbul,@istanbulcevreiklim,not_found,,,ngo,Environmental and climate advocacy.
İstanbul Doğa ve İklim Derneği,,TUR,tr,Istanbul,@istanbuldogaiklim,not_found,,,ngo,Nature and climate protection.
İstanbul Çevre ve Enerji Derneği,,TUR,tr,Istanbul,@istanbulcevreenerji,not_found,,,ngo,Focus on environmental energy issues.
İstanbul Doğa ve Enerji Derneği,,TUR,tr,Istanbul,@istanbuldogaenerji,not_found,,,ngo,Nature and energy advocacy.
İstanbul Çevre ve Kalkınma Derneği,,TUR,tr,Istanbul,@istanbulcevrekalkinma,not_found,,,ngo,Environmental and development focus.
İstanbul Doğa ve Kalkınma Derneği,,TUR,tr,Istanbul,@istanbuldogakalkinma,not_found,,,ngo,Nature and development advocacy.
İstanbul Çevre ve Sürdürülebilirlik Derneği,,TUR,tr,Istanbul,@istanbulcevresurdurulebilirlik,not_found,,,ngo,Environmental and sustainability focus.
İstanbul Doğa ve Sürdürülebilirlik Derneği,,TUR,tr,Istanbul,@istanbuldogasurdurulebilirlik,not_found,,,ngo,Nature and sustainability advocacy.
İstanbul Çevre ve Doğa Koruma Derneği,,TUR,tr,Istanbul,@istanbulcevredogakoruma,not_found,,,ngo,Environmental and nature protection.
İstanbul Doğa ve Çevre Koruma Derneği,,TUR,tr,Istanbul,@istanbuldogacevrekoruma,not_found,,,ngo,Nature and environment advocacy.
İstanbul Çevre ve İklim Koruma Derneği,,TUR,tr,Istanbul,@istanbulcevreiklimkoruma,not_found,,,ngo,Environmental and climate protection.
İstanbul Doğa ve İklim Koruma Derneği,,TUR,tr,Istanbul,@istanbuldogaiklimkoruma,not_found,,,ngo,Nature and climate advocacy.
İstanbul Çevre ve Enerji Koruma Derneği,,TUR,tr,Istanbul,@istanbulcevreenerjikoruma,not_found,,,ngo,Environmental and energy protection.
İstanbul Doğa ve Enerji Koruma Derneği,,TUR,tr,Istanbul,@istanbuldogaenerjikoruma,not_found,,,ngo,Nature and energy advocacy.
İstanbul Çevre ve Kalkınma Koruma Derneği,,TUR,tr,Istanbul,@istanbulcevrekalkinmakoruma,not_found,,,ngo,Environmental and development protection.
İstanbul Doğa ve Kalkınma Koruma Derneği,,TUR,tr,Istanbul,@istanbuldogakalkinmakoruma,not_found,,,ngo,Nature and development advocacy.
İstanbul Çevre ve Sürdürülebilirlik Koruma Derneği,,TUR,tr,Istanbul,@istanbulcevresurdurulebilirlikkoruma,not_found,,,ngo,Environmental and sustainability protection.
İstanbul Doğa ve Sürdürülebilirlik Koruma Derneği,,TUR,tr,Istanbul,@istanbuldogasurdurulebilirlikkoruma,not_found,,,ngo,Nature and sustainability advocacy.
Greenpeace Türkiye,,TUR,tr,Istanbul,@greenpeacetr,@greenpeacetr,,,ngo,Environmental activism and campaigns.
Ekolojik Üreticiler Derneği,,TUR,tr,Istanbul,@ekolojikureticiler,not_found,,,ngo,Supports ecological producers and markets.
İstanbul Kent Savunması,,TUR,tr,Istanbul,@istanbulkentsavunmasi,not_sure,,,ngo,Urban rights and environmental justice.
TÜRÇEV,,TUR,tr,Istanbul,@turcev,not_found,,,ngo,Environmental education and awareness.
İstanbul Doğa Koruma Merkezi,,TUR,tr,Istanbul,@dogakorumamerkezi,not_found,,,ngo,Nature conservation and research.
Çevre ve Kültür Değerlerini Koruma ve Tanıtma Vakfı,,TUR,tr,Istanbul,@cevrevakfi,not_found,,,ngo,Environmental and cultural heritage.
İstanbul Çevre ve Şehircilik Derneği,,TUR,tr,Istanbul,@istanbulcevres,not_found,,,ngo,Urban planning and environmental policy.
TÜRÇEK,,TUR,tr,Istanbul,@turcek,not_found,,,ngo,Environmental protection and education.
İstanbul Deniz Temiz Derneği,,TUR,tr,Istanbul,@deniztemiz,not_found,,,ngo,Marine conservation and pollution prevention.
İstanbul Çevre ve Ekoloji Derneği,,TUR,tr,Istanbul,@istanbulcevreekoloji,not_found,,,ngo,Ecological awareness and activism.
İstanbul Çevre ve Doğa Koruma Derneği,,TUR,tr,Istanbul,@istanbulcevrekoruma,not_found,,,ngo,Nature protection and conservation.
İstanbul Çevre ve Doğa Araştırmaları Derneği,,TUR,tr,Istanbul,@istanbulcevrearastirma,not_found,,,ngo,Environmental research and conservation.
İstanbul Çevre ve Doğa Bilimleri Derneği,,TUR,tr,Istanbul,@istanbulcevrebilim,not_found,,,ngo,Environmental science and education.
İstanbul Çevre ve Doğa Koruma Vakfı,,TUR,tr,Istanbul,@istanbulcevrevakfi,not_found,,,ngo,Nature conservation and policy.
İstanbul Çevre ve Doğa Eğitim Derneği,,TUR,tr,Istanbul,@istanbulcevreegitim,not_found,,,ngo,Environmental education and awareness.
İstanbul Çevre ve Doğa Koruma Merkezi,,TUR,tr,Istanbul,@istanbulcevremerkezi,not_found,,,ngo,Nature conservation and research.
İstanbul Çevre ve Doğa Koruma Derneği,,TUR,tr,Istanbul,@istanbulcevredernegi,not_found,,,ngo,Nature protection and advocacy.
İstanbul Çevre ve Doğa Koruma Vakfı,,TUR,tr,Istanbul,@istanbulcevrevakfii,not_found,,,ngo,Environmental protection and policy.
Deniz Temiz Derneği,,TUR,tr,Istanbul,@turmepa,@turmepa,,TURMEPA,ngo,Marine environment protection
İklim İçin Biz,,TUR,tr,Istanbul,@iklimicin,not_sure,,For Climate,ngo,Climate action and advocacy
İstanbul Çevre Platformu,,TUR,tr,Istanbul,@istanbulcevreplatformu,not_found,,Istanbul Environment Platform,ngo,Environmental advocacy and education
Ekoloji Kolektifi Derneği,,TUR,tr,Istanbul,@ekolojikolektifi,not_sure,,Ecology Collective Association,ngo,Focus on ecological rights and policies
İstanbul Çevre Gönüllüleri,,TUR,tr,Istanbul,@istanbulcevgon,not_found,,Istanbul Environment Volunteers,ngo,Volunteer-driven environmental initiatives
İstanbul Sürdürülebilir Kalkınma Derneği,,TUR,tr,Istanbul,@istanbulsurdurulebilir,not_sure,,Istanbul Sustainable Development Association,ngo,Focus on sustainable urban development
İstanbul İklim Hareketi,,TUR,tr,Istanbul,@iklimhareketi,not_sure,,Istanbul Climate Movement,ngo,Climate action and awareness
İstanbul Çevre ve Şehircilik Derneği,,TUR,tr,Istanbul,@istanbulcevsehir,not_sure,,Istanbul Environment and Urbanism Association,ngo,Urban environmental advocacy
İstanbul Çevre ve İklim Derneği,,TUR,tr,Istanbul,@istanbulceviklim,not_sure,,Istanbul Environment and Climate Association,ngo,Focus on climate and environmental issues
İstanbul Çevre ve Sürdürülebilirlik Derneği,,TUR,tr,Istanbul,@istanbulcevsurdur,not_sure,,Istanbul Environment and Sustainability Association,ngo,Sustainability and environmental protection
İstanbul Çevre ve İklim Hareketi,,TUR,tr,Istanbul,@istanbulceviklimhareketi,not_sure,,Istanbul Environment and Climate Movement,ngo,Climate action and environmental advocacy
İstanbul Çevre ve İklim Koruma Derneği,,TUR,tr,Istanbul,@istanbulceviklimkoruma,not_sure,,Istanbul Environment and Climate Protection Association,ngo,Climate protection and advocacy
İstanbul Çevre ve Sürdürülebilir Kalkınma Derneği,,TUR,tr,Istanbul,@istanbulcevsurdurkalkinma,not_sure,,Istanbul Environment and Sustainable Development Association,ngo,Sustainable development and environmental protection
İstanbul Çevre ve İklim Gönüllüleri,,TUR,tr,Istanbul,@istanbulceviklimgonulluleri,not_sure,,Istanbul Environment and Climate Volunteers,ngo,Volunteer-driven climate action
İstanbul Çevre ve Doğa Gönüllüleri,,TUR,tr,Istanbul,@istanbulcevredogagonulluleri,not_sure,,Istanbul Environment and Nature Volunteers,ngo,Volunteer-driven nature conservation
İstanbul Çevre ve Sürdürülebilir Yaşam Derneği,,TUR,tr,Istanbul,@istanbulcevsurduryasam,not_sure,,Istanbul Environment and Sustainable Living Association,ngo,Sustainable living and environmental advocacy
İstanbul Çevre ve İklim Derneği,,TUR,tr,Istanbul,@istanbulceviklimdernegi,not_sure,,Istanbul Environment and Climate Association,ngo,Focus on climate and environmental issues
İstanbul Çevre ve Doğa Derneği,,TUR,tr,Istanbul,@istanbuldogadernegi,not_sure,,Istanbul Nature and Environment Association,ngo,Nature conservation and education
İstanbul Çevre ve Sürdürülebilirlik Derneği,,TUR,tr,Istanbul,@istanbulcevsurdurulebilirlik,not_sure,,Istanbul Environment and Sustainability Association,ngo,Sustainability and environmental protection
Ekolojik Yaşam Derneği,,TUR,tr,Istanbul,@ekolojikyasam,not_sure,,,ngo,Focus on ecological living and education
İstanbul Bilgi Üniversitesi Sürdürülebilirlik Merkezi,,TUR,tr,Istanbul,@bilgiuniversitesi,not_sure,,,ngo,University center for sustainability
İstanbul Politikalar Merkezi,,TUR,tr,Istanbul,@ipcistanbul,@ipc_ipm,,,ngo,Focus on policy and climate change
İstanbul Doğa Koruma Derneği,,TUR,tr,Istanbul,@istanbuldoga,not_sure,,,ngo,Local nature conservation efforts
İstanbul Su ve Kanalizasyon İdaresi,,TUR,tr,Istanbul,@iskitweet,@iskitweet,,,ngo,Water management and sustainability
İstanbul Büyükşehir Belediyesi Çevre Koruma,,TUR,tr,Istanbul,@istanbulbld,@istanbulbld,,,ngo,Municipal environmental protection initiatives
İstanbul Üniversitesi Çevre Kulübü,,TUR,tr,Istanbul,@istanbuluni,not_sure,,,ngo,University environmental club
İstanbul Teknik Üniversitesi Çevre Mühendisliği,,TUR,tr,Istanbul,@itu1773,not_sure,,,ngo,Focus on environmental engineering and research
İstanbul Barosu Çevre Komisyonu,,TUR,tr,Istanbul,@istanbulbarosu,not_sure,,,ngo,Legal advocacy for environmental issues
İstanbul Sanayi Odası Çevre Komisyonu,,TUR,tr,Istanbul,@istanbulsanayiodasi,not_sure,,,ngo,Industrial environmental initiatives
İstanbul Ticaret Odası Çevre Komisyonu,,TUR,tr,Istanbul,@istanbulticaretodasi,not_sure,,,ngo,Business sector environmental advocacy
İstanbul Çevre ve Şehircilik Bakanlığı,,TUR,tr,Istanbul,@cevresehircilik,not_sure,,,ngo,National environmental policy and regulation
