name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Africa,,COD,en,Kinshasa,@greenpeaceafrica,@GreenpeaceAfric,,,other,Active in environmental advocacy
WWF DRC,,COD,en,Kinshasa,@wwf_drc,@WWF_DRC,,,other,Focus on wildlife conservation
Congo Basin Forest Partnership,,COD,en,Kinshasa,@cbfp_cpf,not_sure,,,other,Promotes sustainable forest management
Réseau CREF,,COD,en,Kinshasa,@reseau_cref,not_sure,,,other,Environmental network in DRC
Institut Congolais pour la Conservation de la Nature,,COD,en,Kinshasa,@iccn_rdc,not_sure,,,other,Manages national parks and reserves
Centre de Recherche en Sciences Naturelles,,COD,en,Kinshasa,@crsn_lwiro,not_sure,,,other,Research on natural sciences
Observatoire Satellital des Forêts d'Afrique Centrale,,COD,en,Kinshasa,@osfac_drc,not_sure,,,other,Monitors forest cover changes
Young Volunteers for the Environment DRC,,COD,en,Kinshasa,@yvdrdc,not_sure,,,other,Youth-led environmental initiatives
Réseau des Femmes Africaines pour le Développement Durable,,COD,en,Kinshasa,@refadd_rdc,not_sure,,,other,Empowers women in sustainable development
Centre d'Etudes pour l'Action Sociale,,COD,en,Kinshasa,@ceas_rdc,not_sure,,,other,Focus on social and environmental issues
Réseau pour la Conservation et la Réhabilitation des Ecosystèmes Forestiers,,COD,en,Kinshasa,@recref_rdc,not_sure,,,other,Forest ecosystem conservation
Union pour l'Emancipation de la Femme Autochtone,,COD,en,Kinshasa,@uefa_rdc,not_sure,,,other,Supports indigenous women's rights
Action pour la Protection de l'Environnement et le Développement Durable,,COD,en,Kinshasa,@aped_rdc,not_sure,,,other,Promotes environmental protection
Réseau des Educateurs des Enfants et Jeunes de la Rue,,COD,en,Kinshasa,@reejr_rdc,not_sure,,,other,Supports street children education
Centre de Recherche et d'Information en Population et Développement,,COD,en,Kinshasa,@cripd_rdc,not_sure,,,other,Research on population and development
Réseau pour la Promotion de la Démocratie et des Droits Economiques et Sociaux,,COD,en,Kinshasa,@repdes_rdc,not_sure,,,other,Focus on democracy and social rights
Centre de Recherche et d'Appui aux Initiatives de Développement,,COD,en,Kinshasa,@craide_rdc,not_sure,,,other,Supports development initiatives
Réseau des Journalistes pour la Promotion de la Santé,,COD,en,Kinshasa,@rjps_rdc,not_sure,,,other,Health promotion journalism
Observatoire Congolais des Droits de l'Homme,,COD,en,Kinshasa,@ocdh_rdc,not_sure,,,other,Human rights advocacy
Réseau des Femmes Africaines Ministres et Parlementaires,,COD,en,Kinshasa,@refamp_rdc,not_sure,,,other,Empowers women in politics
Réseau des Organisations des Jeunes Leaders Africains,,COD,en,Kinshasa,@rojla_rdc,not_sure,,,other,Youth leadership network
Réseau des Femmes pour la Protection de l'Environnement,,COD,en,Kinshasa,@refep_rdc,not_sure,,,other,Women-led environmental protection
Réseau des Femmes pour la Paix et la Sécurité,,COD,en,Kinshasa,@refeps_rdc,not_sure,,,other,Focus on peace and security
Réseau des Femmes pour la Promotion de la Santé,,COD,en,Kinshasa,@refps_rdc,not_sure,,,other,Promotes women's health
Réseau des Femmes pour la Promotion de l'Education,,COD,en,Kinshasa,@refpe_rdc,not_sure,,,other,Focus on women's education
Réseau des Femmes pour la Promotion de l'Agriculture,,COD,en,Kinshasa,@refpa_rdc,not_sure,,,other,Women in agriculture
Réseau des Femmes pour la Promotion de l'Artisanat,,COD,en,Kinshasa,@refpa_artisanat,not_sure,,,other,Supports women artisans
Réseau des Femmes pour la Promotion de l'Entrepreneuriat,,COD,en,Kinshasa,@refpe_entrepreneur,not_found,,,other,Women entrepreneurship network
Réseau des Femmes pour la Promotion de la Technologie,,COD,en,Kinshasa,@refpt_tech,not_found,,,other,Women in technology
Réseau des Femmes pour la Promotion de la Culture,,COD,en,Kinshasa,@refpc_culture,not_found,,,other,Focus on cultural promotion
Réseau des Femmes pour la Promotion de la Communication,,COD,en,Kinshasa,@refpc_communication,not_found,,,other,Women in communication
Réseau des Femmes pour la Promotion de la Science,,COD,en,Kinshasa,@refps_science,not_found,,,other,Women in science
Réseau des Femmes pour la Promotion de la Technologie de l'Information,,COD,en,Kinshasa,@refpti_information,not_found,,,other,Women in IT
Réseau des Femmes pour la Promotion de la Santé Reproductive,,COD,en,Kinshasa,@refpsr_reproductive,not_found,,,other,Focus on reproductive health
Réseau des Femmes pour la Promotion de la Sécurité Alimentaire,,COD,en,Kinshasa,@refpsa_food,not_found,,,other,Food security advocacy
Réseau des Femmes pour la Promotion de l'Energie,,COD,en,Kinshasa,@refpe_energy,not_found,,,other,Women in energy sector
Réseau des Femmes pour la Promotion de l'Eau,,COD,en,Kinshasa,@refpe_water,not_found,,,other,Focus on water resources
Réseau des Femmes pour la Promotion de l'Environnement Urbain,,COD,en,Kinshasa,@refpe_urban,not_found,,,other,Urban environmental advocacy
Réseau des Femmes pour la Promotion de la Santé Mentale,,COD,en,Kinshasa,@refpsm_mental,not_found,,,other,Mental health promotion
Réseau des Femmes pour la Promotion de la Santé Publique,,COD,en,Kinshasa,@refpsp_public,not_found,,,other,Public health advocacy
Réseau des Femmes pour la Promotion de la Santé Communautaire,,COD,en,Kinshasa,@refpsc_community,not_found,,,other,Community health initiatives
Réseau des Femmes pour la Promotion de la Santé Environnementale,,COD,en,Kinshasa,@refpse_environmental,not_found,,,other,Environmental health focus
Réseau des Femmes pour la Promotion de la Santé des Adolescents,,COD,en,Kinshasa,@refpsa_adolescents,not_found,,,other,Adolescent health advocacy
Réseau des Femmes pour la Promotion de la Santé des Enfants,,COD,en,Kinshasa,@refpse_children,not_found,,,other,Child health initiatives
Réseau des Femmes pour la Promotion de la Santé des Personnes Agées,,COD,en,Kinshasa,@refpspa_aged,not_found,,,other,Elderly health focus
Réseau des Femmes pour la Promotion de la Santé des Personnes Handicapées,,COD,en,Kinshasa,@refpsph_disabled,not_found,,,other,Disability health advocacy
Réseau des Femmes pour la Promotion de la Santé des Migrants,,COD,en,Kinshasa,@refpsm_migrants,not_found,,,other,Migrant health initiatives
Réseau des Femmes pour la Promotion de la Santé des Réfugiés,,COD,en,Kinshasa,@refpsr_refugees,not_found,,,other,Refugee health focus
Réseau des Femmes pour la Promotion de la Santé des Victimes de Conflits,,COD,en,Kinshasa,@refpsvc_conflict,not_found,,,other,Conflict victim health advocacy
Réseau des Femmes pour la Promotion de la Santé des Victimes de Violences,,COD,en,Kinshasa,@refpsvv_violence,not_found,,,other,Violence victim health focus
Réseau des Femmes pour la Promotion de la Santé des Victimes de Traumatismes,,COD,en,Kinshasa,@refpsvt_trauma,not_found,,,other,Trauma victim health initiatives
Réseau des Femmes pour la Promotion de la Santé des Victimes de Catastrophes,,COD,en,Kinshasa,@refpsvc_disaster,not_found,,,other,Disaster victim health advocacy
Réseau des Femmes pour la Promotion de la Santé des Victimes de Pandémies,,COD,en,Kinshasa,@refpsvp_pandemic,not_found,,,other,Pandemic victim health focus
Réseau des Femmes pour la Promotion de la Santé des Victimes de Maladies,,COD,en,Kinshasa,@refpsvm_disease,not_found,,,other,Disease victim health initiatives
Réseau des Femmes pour la Promotion de la Santé des Victimes de Discriminations,,COD,en,Kinshasa,@refpsvd_discrimination,not_found,,,other,Discrimination victim health advocacy
Réseau des Femmes pour la Promotion de la Santé des Victimes de Stigmatisations,,COD,en,Kinshasa,@refpsvs_stigma,not_found,,,other,Stigma victim health focus
Réseau des Femmes pour la Promotion de la Santé des Victimes de Marginalisations,,COD,en,Kinshasa,@refpsvm_marginalization,not_found,,,other,Marginalization victim health initiatives
Réseau des Femmes pour la Promotion de la Santé des Victimes de Pauvreté,,COD,en,Kinshasa,@refpsvp_poverty,not_found,,,other,Poverty victim health advocacy
Réseau des Femmes pour la Promotion de la Santé des Victimes de Précarité,,COD,en,Kinshasa,@refpsvp_precarity,not_found,,,other,Precarity victim health focus
Réseau des Femmes pour la Promotion de la Santé des Victimes de Vulnérabilité,,COD,en,Kinshasa,@refpsvv_vulnerability,not_found,,,other,Vulnerability victim health initiatives
Réseau des Femmes pour la Promotion de la Santé des Victimes de Dépendance,,COD,en,Kinshasa,@refpsvd_dependence,not_found,,,other,Dependence victim health advocacy
Réseau des Femmes pour la Promotion de la Santé des Victimes de Toxicomanie,,COD,en,Kinshasa,@refpsvt_toxicomania,not_found,,,other,Toxicomania victim health focus
Réseau des Femmes pour la Promotion de la Santé des Victimes de Délinquance,,COD,en,Kinshasa,@refpsvd_delinquency,not_found,,,other,Delinquency victim health initiatives
Réseau des Femmes pour la Promotion de la Santé des Victimes de Criminalité,,COD,en,Kinshasa,@refpsvc_crime,not_found,,,other,Crime victim health advocacy
Réseau des Femmes pour la Promotion de la Santé des Victimes de Corruption,,COD,en,Kinshasa,@refpsvc_corruption,not_found,,,other,Corruption victim health focus
