name,email,country,language,city,instagram,twitter,phone,organization,type,notes
Greenpeace Japan,,JPN,ja,Tokyo,@greenpeacejp,@greenpeacejp,,Greenpeace,activist,Environmental protection and climate change advocacy
FoE Japan,,JPN,ja,Tokyo,@foejapan,@foejapan,,Friends of the Earth,activist,Focus on climate and energy issues
350 Japan,,JPN,ja,Tokyo,@350japan,@350japan,,350.org,activist,Climate change movement
Peace Boat,,JPN,ja,Tokyo,@peace_boat,@peace_boat,,Peace Boat,activist,Promotes peace and sustainability
Japan Youth Platform for Sustainability,,JPN,ja,Tokyo,@japanyouthplatform,not_sure,,JYPS,activist,Youth-led sustainability initiatives
Tokyo Urban Permaculture,,JPN,ja,Tokyo,@tokyo_urban_permaculture,not_sure,,Tokyo Urban Permaculture,activist,Urban permaculture and sustainability
No Nukes Asia Forum Japan,,JPN,ja,Tokyo,@nonukesasiaforum,not_sure,,No Nukes Asia Forum,activist,Anti-nuclear advocacy
Japan Climate Initiative,,JPN,ja,Tokyo,@japanclimateinitiative,not_sure,,Japan Climate Initiative,activist,Climate action network
Institute for Sustainable Energy Policies,,JPN,ja,Tokyo,@isep_japan,not_sure,,ISEP,activist,Promotes renewable energy policies
Kiko Network,,JPN,ja,Tokyo,@kikonetwork,not_sure,,Kiko Network,activist,Climate change policy advocacy
Japan Association for the UN Environment,,JPN,ja,Tokyo,@jaune_official,not_sure,,JAUNE,activist,Supports UN environmental initiatives
Citizens' Nuclear Information Center,,JPN,ja,Tokyo,@cnicjapan,not_sure,,CNIC,activist,Nuclear safety and policy advocacy
Green Alliance Japan,,JPN,ja,Tokyo,@greenalliancejapan,not_sure,,Green Alliance Japan,activist,Environmental policy and advocacy
Japan Environmental Lawyers Federation,,JPN,ja,Tokyo,@jelffed,not_sure,,JELF,activist,Environmental law and policy
Japan Center for a Sustainable Environment and Society,,JPN,ja,Tokyo,@jacses,not_sure,,JACSES,activist,Sustainability and environmental policy
Tokyo Zero Waste Academy,,JPN,ja,Tokyo,@tokyozerowasteacademy,not_sure,,Tokyo Zero Waste Academy,activist,Zero waste initiatives
Japan Wildlife Conservation Society,,JPN,ja,Tokyo,@jwcs_japan,not_sure,,JWCS,activist,Wildlife conservation efforts
Japan Network for Climate Change Actions,,JPN,ja,Tokyo,@jnccajapan,not_sure,,JNCCA,activist,Climate change advocacy network
Tokyo Green Drinks,,JPN,ja,Tokyo,@tokyogreendrinks,not_sure,,Tokyo Green Drinks,activist,Environmental networking events
Japan Organic Agriculture Association,,JPN,ja,Tokyo,@joaa_official,not_sure,,JOAA,activist,Promotes organic farming practices
Tokyo Environmental Council,,JPN,ja,Tokyo,@tokyoec,not_sure,,Tokyo Environmental Council,activist,Environmental policy and advocacy
Japan Renewable Energy Foundation,,JPN,ja,Tokyo,@jref_official,not_sure,,JREF,activist,Promotes renewable energy solutions
Tokyo River Friends,,JPN,ja,Tokyo,@tokyoriverfriends,not_sure,,Tokyo River Friends,activist,River clean-up and conservation
Japan Biodiversity Fund,,JPN,ja,Tokyo,@japanbiodiversityfund,not_sure,,Japan Biodiversity Fund,activist,Biodiversity conservation initiatives
Tokyo Climate Action Network,,JPN,ja,Tokyo,@tokyoclimatenetwork,not_sure,,Tokyo Climate Action Network,activist,Local climate action efforts
Japan Environmental Education Forum,,JPN,ja,Tokyo,@jeef_japan,not_sure,,JEEF,activist,Environmental education initiatives
Tokyo Sustainability Forum,,JPN,ja,Tokyo,@tokyosustainabilityforum,not_sure,,Tokyo Sustainability Forum,activist,Sustainability discussions and events
Japan Eco Action Network,,JPN,ja,Tokyo,@jean_japan,not_sure,,JEAN,activist,Environmental action and advocacy
Tokyo Green Space,,JPN,ja,Tokyo,@tokyogreenspace,not_sure,,Tokyo Green Space,activist,Urban green space advocacy
Japan Climate Youth Movement,,JPN,ja,Tokyo,@japanclimateyouth,not_sure,,Japan Climate Youth Movement,activist,Youth-led climate action
Tokyo Environmental Design Lab,,JPN,ja,Tokyo,@tokyoedl,not_sure,,Tokyo Environmental Design Lab,activist,Environmental design and innovation
Japan Society for the Promotion of Science,,JPN,ja,Tokyo,@jspsofficial,not_sure,,JSPS,activist,Science and environmental research
Tokyo Eco Club,,JPN,ja,Tokyo,@tokyoecoclub,not_sure,,Tokyo Eco Club,activist,Eco-friendly lifestyle promotion
Japan Green Building Council,,JPN,ja,Tokyo,@jgbc_japan,not_sure,,JGBC,activist,Sustainable building practices
Tokyo Environmental Research Institute,,JPN,ja,Tokyo,@tokyoeri,not_sure,,Tokyo Environmental Research Institute,activist,Environmental research and policy
Japan Sustainable Development Network,,JPN,ja,Tokyo,@jsdn_japan,not_sure,,JSDN,activist,Sustainable development advocacy
Tokyo Environmental Action Group,,JPN,ja,Tokyo,@tokyoeag,not_sure,,Tokyo Environmental Action Group,activist,Local environmental initiatives
Japan Society of Environmental Science,,JPN,ja,Tokyo,@japanenvironmentalscience,not_sure,,JSES,activist,Environmental science research
Tokyo Green Innovation Hub,,JPN,ja,Tokyo,@tokyogreeninnovation,not_sure,,Tokyo Green Innovation Hub,activist,Green technology and innovation
Japan Environmental Action Network,,JPN,ja,Tokyo,@jeanetwork,not_sure,,JEAN,activist,Environmental advocacy and action
Tokyo Nature Conservation Society,,JPN,ja,Tokyo,@tokyonatureconservation,not_sure,,Tokyo Nature Conservation Society,activist,Nature conservation efforts
Japan Society for Environmental Economics and Policy Studies,,JPN,ja,Tokyo,@jseepsofficial,not_sure,,JSEEPS,activist,Environmental economics and policy
Tokyo Environmental Education Network,,JPN,ja,Tokyo,@tokyoeen,not_sure,,Tokyo Environmental Education Network,activist,Environmental education programs
Japan Society for the Promotion of Environmental Conservation,,JPN,ja,Tokyo,@jspec_japan,not_sure,,JSPEC,activist,Environmental conservation advocacy
Tokyo Green Building Council,,JPN,ja,Tokyo,@tokyogbc,not_sure,,Tokyo Green Building Council,activist,Sustainable building and design
Japan Environmental Management Association for Industry,,JPN,ja,Tokyo,@jemai_japan,not_sure,,JEMAI,activist,Industrial environmental management
Tokyo Environmental Policy Forum,,JPN,ja,Tokyo,@tokyoepf,not_sure,,Tokyo Environmental Policy Forum,activist,Environmental policy discussions
Japan Society for Environmental Chemistry,,JPN,ja,Tokyo,@jsec_japan,not_sure,,JSEC,activist,Environmental chemistry research
Tokyo Environmental Design Forum,,JPN,ja,Tokyo,@tokyoedf,not_sure,,Tokyo Environmental Design Forum,activist,Environmental design and policy
Japan Society for Environmental Education,,JPN,ja,Tokyo,@jsee_japan,not_sure,,JSEE,activist,Environmental education initiatives
Tokyo Environmental Science Society,,JPN,ja,Tokyo,@tokyoess,not_sure,,Tokyo Environmental Science Society,activist,Environmental science research
Japan Society for Environmental Sociology,,JPN,ja,Tokyo,@jses_japan,not_sure,,JSES,activist,Environmental sociology research
Tokyo Environmental Policy Network,,JPN,ja,Tokyo,@tokyoepn,not_sure,,Tokyo Environmental Policy Network,activist,Environmental policy advocacy
Japan Society for Environmental Studies,,JPN,ja,Tokyo,@jses_official,not_sure,,JSES,activist,Environmental studies research
Tokyo Environmental Research Network,,JPN,ja,Tokyo,@tokyoern,not_sure,,Tokyo Environmental Research Network,activist,Environmental research collaboration
Japan Society for Environmental Technology,,JPN,ja,Tokyo,@jset_japan,not_sure,,JSET,activist,Environmental technology research
Tokyo Environmental Innovation Forum,,JPN,ja,Tokyo,@tokyoeif,not_sure,,Tokyo Environmental Innovation Forum,activist,Environmental innovation discussions
Japan Society for Environmental Science and Technology,,JPN,ja,Tokyo,@jsest_japan,not_sure,,JSEST,activist,Environmental science and technology
Tokyo Environmental Action Network,,JPN,ja,Tokyo,@tokyoean,not_sure,,Tokyo Environmental Action Network,activist,Local environmental action
Japan Society for Environmental Education and Communication,,JPN,ja,Tokyo,@jseec_japan,not_sure,,JSEEC,activist,Environmental education and communication
Tokyo Environmental Design Network,,JPN,ja,Tokyo,@tokyoedn,not_sure,,Tokyo Environmental Design Network,activist,Environmental design collaboration
Japan Society for Environmental Management,,JPN,ja,Tokyo,@jsem_japan,not_sure,,JSEM,activist,Environmental management practices
Tokyo Environmental Policy Group,,JPN,ja,Tokyo,@tokyoepg,not_sure,,Tokyo Environmental Policy Group,activist,Environmental policy advocacy
Japan Society for Environmental Science and Policy,,JPN,ja,Tokyo,@jsesp_japan,not_sure,,JSESP,activist,Environmental science and policy
Tokyo Environmental Innovation Network,,JPN,ja,Tokyo,@tokyoein,not_sure,,Tokyo Environmental Innovation Network,activist,Environmental innovation collaboration
